parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
fcr_improve_livestock,S-BASE,ALL,0.4,% a year,assumption: trend efficiency gain in feed per kg output,QNT-model,Low,
fcr_improve_aqua,S-BASE,ALL,0.3,% a year,assumption: trend efficiency gain,QNT-model,Low,
fcr_improve_livestock,S-EFF,ALL,1.0,% a year,"assumption: genetics, precision feeding, health; about 22% less feed per kg by 2050",QNT-model,Low,
fcr_improve_aqua,S-EFF,ALL,0.8,% a year,assumption,QNT-model,Low,
fcr_improve_livestock,SENS-LOW,ALL,0.0,% a year,sensitivity: no efficiency gain (aquaculture also 0.0),QNT-model,Low,
fcr_improve_livestock,SENS-HIGH,ALL,1.0,% a year,sensitivity: S-EFF rate (aquaculture 0.8),QNT-model,Low,
fcr_improve_aqua,SENS-LOW,ALL,0.0,% a year,sensitivity (paired with livestock),QNT-model,Low,
fcr_improve_aqua,SENS-HIGH,ALL,0.8,% a year,sensitivity (paired with livestock),QNT-model,Low,
sbm_incl_pig,ALL,ALL,0.18,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_poultry,ALL,ALL,0.28,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_other_livestock,ALL,ALL,0.08,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_pangasius,ALL,ALL,0.28,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_whiteleg,ALL,ALL,0.28,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_othershrimp,ALL,ALL,0.25,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_otherfish,ALL,ALL,0.25,share of compound feed (before calibration),assumption: typical formulation share; all groups are scaled by one factor so 2025 total equals 7.2 Mt,QNT-model; MAC-04,Low,
sbm_incl_trend,S-BASE,ALL,0.0,% a year,assumption: trend diets keep soybean-meal intensity constant,QNT-model,Low,
sbm_incl_trend,S-EFF,ALL,-1.0,% a year,"assumption: synthetic amino acids, low-protein diets, by-products; about 22% lower intensity by 2050",QNT-model,Low,
sbm_incl_trend,SENS-LOW,ALL,-1.0,% a year,sensitivity,QNT-model,Low,
sbm_incl_trend,SENS-HIGH,ALL,0.5,% a year,"sensitivity: more soy per tonne (e.g. higher-protein aquafeeds, less DDGS)",QNT-model,Low,
other_meals_trend,S-BASE,ALL,0.0,% a year,assumption,QNT-model,Low,
other_meals_trend,S-EFF,ALL,0.5,% a year,"assumption: diversified feed proteins (by-products, rapeseed, DDGS) partly replace soy",QNT-model,Low,
fm_incl_pig,ALL,ALL,0.0005,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_poultry,ALL,ALL,0.0005,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_other_livestock,ALL,ALL,0.0,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_pangasius,ALL,ALL,0.01,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_whiteleg,ALL,ALL,0.12,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_othershrimp,ALL,ALL,0.08,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_otherfish,ALL,ALL,0.025,share of compound feed,"assumption within edition 1.0 ranges (shrimp 10 to 20%, pangasius 1 to 2%; other fish blends tilapia 1 to 2% with snakehead and marine fish)",FM-05; FM-07; FM-08; QNT-model,Low,"Gives about 0.26 Mt fishmeal in 2025, between OECD-FAO apparent feed use (0.22 Mt) and the top of edition 1.0 central pool (0.245 Mt)."
fm_incl_trend,S-BASE,ALL,-1.5,% a year,"assumption: continued substitution, slower than the 1997 to 2017 fall of one-half to two-thirds",FM-05; QNT-model,Low,
fm_incl_trend,S-EFF,ALL,-3.0,% a year,assumption: close to the historical rate of decline,FM-05; QNT-model,Low,
maize_incl_pig,ALL,ALL,0.45,share of compound feed (before calibration),assumption; scaled so 2025 compound-feed maize equals 10.9 Mt,FS-23; QNT-model,Low,
maize_incl_poultry,ALL,ALL,0.52,share of compound feed (before calibration),assumption; scaled so 2025 compound-feed maize equals 10.9 Mt,FS-23; QNT-model,Low,
maize_incl_other_livestock,ALL,ALL,0.3,share of compound feed (before calibration),assumption; scaled so 2025 compound-feed maize equals 10.9 Mt,FS-23; QNT-model,Low,
maize_incl_aqua,ALL,ALL,0.05,share of compound feed (before calibration),assumption; scaled so 2025 compound-feed maize equals 10.9 Mt,FS-23; QNT-model,Low,
maize_fsi_other_mt,ALL,ALL,1.61,Mt,"derived 2025: supply (imports 11.91 + production 4.1) minus feed and residual 14.4; food, seed, industrial and stock change",MAC-08; MAC-01,Low,"Held constant. E10 ethanol could raise it (one ethanol plant is moving to imported maize, FS-09)."
maize_fsi_other_mt,SENS-LOW,ALL,1.61,Mt,sensitivity: same as base (one-sided test),MAC-08; MAC-01,Low,
maize_fsi_other_mt,SENS-HIGH,2035,3.0,Mt,"sensitivity: non-feed maize rises towards the OECD-FAO 2035 level (consumption 21.2 minus feed 16.8 = 4.4 Mt), e.g. if domestic E10 ethanol shifts to maize",QNT-01; FS-09; GT-10,Low,"OECD and USDA split feed and non-feed maize differently; this is a stress test, not a projection."
maize_fsi_other_mt,SENS-HIGH,2040,3.7,Mt,"sensitivity: non-feed maize rises towards the OECD-FAO 2035 level (consumption 21.2 minus feed 16.8 = 4.4 Mt), e.g. if domestic E10 ethanol shifts to maize",QNT-01; FS-09; GT-10,Low,"OECD and USDA split feed and non-feed maize differently; this is a stress test, not a projection."
maize_fsi_other_mt,SENS-HIGH,2050,4.4,Mt,"sensitivity: non-feed maize rises towards the OECD-FAO 2035 level (consumption 21.2 minus feed 16.8 = 4.4 Mt), e.g. if domestic E10 ethanol shifts to maize",QNT-01; FS-09; GT-10,Low,"OECD and USDA split feed and non-feed maize differently; this is a stress test, not a projection."
maize_prod_growth,S-BASE,ALL,0.0,% a year,"assumption: area loss offsets yield gains (810,000 ha in 2025, down from 820,000)",MAC-01; QNT-model,Low,OECD-FAO projects +1.4% a year to 2035 (QNT-01).
maize_prod_growth,SENS-LOW,ALL,-2.0,% a year,sensitivity: area loss and climate stress,QNT-model,Low,
maize_prod_growth,SENS-HIGH,ALL,1.4,% a year,sensitivity: OECD-FAO 2025 to 2035 rate,QNT-01,Medium,
soy_yield_2025,ALL,ALL,3.16,t beans per ha,"derived: OECD-FAO 2025 yields (Argentina 2.91, Brazil 3.62, United States 3.56, others 3.0) weighted by the origin of Vietnam's soy protein (meal imports mainly Argentina; beans Brazil and United States)",QNT-01; MAC-04; MAC-09,Medium,
soy_yield_growth,ALL,ALL,0.6,% a year,"projection: OECD-FAO 2025 to 2035 soybean yield growth in the three origins, about 0.4 to 0.7% a year; extended to 2050",QNT-01,Medium,
land_alloc_meal,ALL,ALL,0.8,share of soybean land attributed to meal,assumption: mass allocation (meal about 80% of product mass); economic allocation about 0.65; gross 1.0,QNT-model,Low,
maize_yield_2025,ALL,ALL,7.28,t per ha,"derived: 2025 yields (Argentina 7.69, Brazil 6.11, United States 11.68, others 6.5) weighted by 2025 import origins (46.5%, 34.8%, 13%, 5.7%)",QNT-01; MAC-08; MAC-01,Medium,
maize_yield_growth,ALL,ALL,0.3,% a year,"projection: OECD-FAO 2025 to 2035 maize yields in origin mix, extended",QNT-01,Low,
alt_feed_sbm_share,S-ALT,2030,0.01,share of soybean-meal protein replaced by microbial protein,"what-if assumption (not a forecast); at 2026 costs microbial protein is 4.6 to 5.1 times soybean-meal protein (edition 1.0), so 10% by 2050 implies large cost falls or policy support",QNT-model; COST-43,Low,
alt_feed_sbm_share,S-ALT,2035,0.03,share of soybean-meal protein replaced by microbial protein,"what-if assumption (not a forecast); at 2026 costs microbial protein is 4.6 to 5.1 times soybean-meal protein (edition 1.0), so 10% by 2050 implies large cost falls or policy support",QNT-model; COST-43,Low,
alt_feed_sbm_share,S-ALT,2040,0.05,share of soybean-meal protein replaced by microbial protein,"what-if assumption (not a forecast); at 2026 costs microbial protein is 4.6 to 5.1 times soybean-meal protein (edition 1.0), so 10% by 2050 implies large cost falls or policy support",QNT-model; COST-43,Low,
alt_feed_sbm_share,S-ALT,2050,0.1,share of soybean-meal protein replaced by microbial protein,"what-if assumption (not a forecast); at 2026 costs microbial protein is 4.6 to 5.1 times soybean-meal protein (edition 1.0), so 10% by 2050 implies large cost falls or policy support",QNT-model; COST-43,Low,
alt_feed_sbm_share,ALL,ALL,0.0,share,no substitution outside S-ALT,QNT-model,High,
alt_feed_sbm_share,SENS-LOW,ALL,0.0,share,used only in the S-ALT comparison row,QNT-model,Low,
alt_feed_sbm_share,SENS-HIGH,2050,0.2,share,used only in the S-ALT comparison row,QNT-model,Low,
alt_feed_fm_share,S-ALT,2030,0.1,share of fishmeal protein replaced by microbial protein,what-if assumption; trials replace 25 to 60% of fishmeal without growth loss (edition 1.0 H9),QNT-model; FM-08; FM-22,Low,
alt_feed_fm_share,S-ALT,2035,0.18,share of fishmeal protein replaced by microbial protein,what-if assumption; trials replace 25 to 60% of fishmeal without growth loss (edition 1.0 H9),QNT-model; FM-08; FM-22,Low,
alt_feed_fm_share,S-ALT,2040,0.25,share of fishmeal protein replaced by microbial protein,what-if assumption; trials replace 25 to 60% of fishmeal without growth loss (edition 1.0 H9),QNT-model; FM-08; FM-22,Low,
alt_feed_fm_share,S-ALT,2050,0.4,share of fishmeal protein replaced by microbial protein,what-if assumption; trials replace 25 to 60% of fishmeal without growth loss (edition 1.0 H9),QNT-model; FM-08; FM-22,Low,
alt_feed_fm_share,ALL,ALL,0.0,share,no substitution outside S-ALT,QNT-model,High,
alt_food_meat_share,S-ALT,2030,0.01,share of meat consumption (protein basis) replaced by plant-based and fermented foods,what-if assumption (not a forecast; no consumer research in scope),QNT-model,Low,Domestic meat production falls in proportion (self-sufficiency held constant).
alt_food_meat_share,S-ALT,2035,0.03,share of meat consumption (protein basis) replaced by plant-based and fermented foods,what-if assumption (not a forecast; no consumer research in scope),QNT-model,Low,Domestic meat production falls in proportion (self-sufficiency held constant).
alt_food_meat_share,S-ALT,2040,0.05,share of meat consumption (protein basis) replaced by plant-based and fermented foods,what-if assumption (not a forecast; no consumer research in scope),QNT-model,Low,Domestic meat production falls in proportion (self-sufficiency held constant).
alt_food_meat_share,S-ALT,2050,0.1,share of meat consumption (protein basis) replaced by plant-based and fermented foods,what-if assumption (not a forecast; no consumer research in scope),QNT-model,Low,Domestic meat production falls in proportion (self-sufficiency held constant).
alt_food_meat_share,ALL,ALL,0.0,share,no substitution outside S-ALT,QNT-model,High,
feed_route_gas_share,S-ALT,2030,0.0,share of feed microbial protein from hydrogen gas fermentation (rest sugar or starch based),what-if assumption,QNT-model,Low,
feed_route_gas_share,S-ALT,2035,0.1,share of feed microbial protein from hydrogen gas fermentation (rest sugar or starch based),what-if assumption,QNT-model,Low,
feed_route_gas_share,S-ALT,2040,0.3,share of feed microbial protein from hydrogen gas fermentation (rest sugar or starch based),what-if assumption,QNT-model,Low,
feed_route_gas_share,S-ALT,2050,0.5,share of feed microbial protein from hydrogen gas fermentation (rest sugar or starch based),what-if assumption,QNT-model,Low,
food_route_fermented_share,S-ALT,2030,0.3,share of food substitute protein from fermentation on sugar (rest plant-based from soy),what-if assumption,QNT-model,Low,
food_route_fermented_share,S-ALT,2035,0.35,share of food substitute protein from fermentation on sugar (rest plant-based from soy),what-if assumption,QNT-model,Low,
food_route_fermented_share,S-ALT,2040,0.4,share of food substitute protein from fermentation on sugar (rest plant-based from soy),what-if assumption,QNT-model,Low,
food_route_fermented_share,S-ALT,2050,0.5,share of food substitute protein from fermentation on sugar (rest plant-based from soy),what-if assumption,QNT-model,Low,
glucose_per_protein,ALL,ALL,4.0,t glucose per t protein,"derived from edition 1.0 cost stack A: 2.0 to 2.2 t glucose per t product at 45 to 55% protein; range 3.0 (bacterial, 70% CP) to 4.4",COST-43; QNT-model,Medium,
elec_sugar_route,ALL,ALL,3.5,kWh per kg protein,"derived from edition 1.0 cost stack A electricity lines (USD 65 to 234 per t product at USD 0.075 per kWh), range 1.7 to 6.2",COST-01; QNT-model,Low,Steam not included.
urea_per_protein_sugar,ALL,ALL,0.37,t urea per t protein,derived from edition 1.0 cost stack A (0.17 to 0.20 t urea per t product at 45 to 55% protein),COST-30; COST-33,Medium,
elec_gas_route,ALL,ALL,41.0,kWh per kg protein,"derived: 25 kWh per kg dry biomass (Sillman et al. lower-efficiency case, electrolysis plus bioreactor) plus about 2 kWh for processing, divided by 65% protein; range 17 (9.86 kWh case, 70% protein) to 55",QNT-10; QNT-09,Low,Cross-check against FTG stream factors when available.
h2_gas_route,ALL,ALL,0.72,kg H2 per kg protein,"derived: 25 kWh per kg biomass / 53 kWh per kg H2 = 0.47 kg H2 per kg biomass, divided by 0.65",QNT-10,Low,
co2_gas_route,ALL,ALL,2.7,kg CO2 per kg protein,derived: 1.76 kg CO2 per kg dry biomass / 0.65,QNT-09,Medium,
nh3_gas_route,ALL,ALL,0.17,kg NH3 per kg protein,derived: 0.112 kg NH3 per kg dry biomass / 0.65,QNT-09,Medium,
cp_feed_sugar_product,ALL,ALL,0.55,share,"assumption: yeast, fungal or bacterial biomass on sugar",COST-43; QNT-model,Low,
cp_feed_gas_product,ALL,ALL,0.65,share,within 55 to 75% usable protein range,QNT-09,Medium,
cp_food_plant_ingredient,ALL,ALL,0.55,share,textured soy protein 50 to 55% protein,COST-28,Medium,
cp_food_fermented_ingredient,ALL,ALL,0.45,share,"assumption: mycoprotein-type biomass, dry basis",QNT-model,Low,
cp_food_finished,ALL,ALL,0.15,share,assumption: finished plant-based or fermented product at meat-like protein,QNT-model,Low,
starch_per_glucose,ALL,ALL,0.926,t starch per t glucose,hydrolysis gain: 1.08 t glucose per t starch in practice (1.11 theoretical),QNT-model,Medium,
roots_per_starch,ALL,ALL,4.4,t fresh roots per t starch,Thai factory material balance used in edition 1.0,FS-05,Medium,
cassava_yield,ALL,ALL,20.5,t fresh roots per ha,"derived 2025: 10.24 Mt from 499,100 ha",FS-01,High,Held constant (climate risk offsets yield gains).
sugar_per_glucose,ALL,ALL,0.95,t sucrose per t glucose equivalent,sucrose hydrolysis gives 1.053 t hexose per t,QNT-model,High,
soy_per_food_protein,ALL,ALL,3.3,t soybeans per t food protein,"assumption: beans 36% protein, about 84% recovered in concentrate or textured protein",QNT-model,Low,
grid_ef,ALL,2025,0.659,t CO2 per MWh,official 2023 grid factor (latest),COST-08; GT-11,High,"Target-derived path, not a forecast; assumes PDP8 is delivered."
grid_ef,ALL,2030,0.38,t CO2 per MWh,derived: PDP8 power-sector emissions 197 to 199 Mt / 500.4 to 557.8 TWh commercial electricity,COST-08; GT-11,Medium,"Target-derived path, not a forecast; assumes PDP8 is delivered."
grid_ef,ALL,2035,0.29,t CO2 per MWh,linear interpolation 2030 to 2040,COST-08; GT-11,Low,"Target-derived path, not a forecast; assumes PDP8 is delivered."
grid_ef,ALL,2040,0.2,t CO2 per MWh,linear interpolation 2030 to 2050,COST-08; GT-11,Low,"Target-derived path, not a forecast; assumes PDP8 is delivered."
grid_ef,ALL,2050,0.021,t CO2 per MWh,"derived: PDP8 about 27 Mt power-sector emissions / 1,237.7 to 1,375.1 TWh",COST-08; GT-11,Medium,"Target-derived path, not a forecast; assumes PDP8 is delivered."
sbm_ci,ALL,ALL,0.85,kg CO2e per kg protein,published average for soybean meal (land-use change treatment not checked),QNT-11,Low,
fm_ci,ALL,ALL,2.72,kg CO2e per kg protein,published average for fishmeal,QNT-11,Low,
