term_id,category,term_en,term_vi,abbreviation,definition_en,definition_vi
GL-148,Futures and foresight (edition 1.1),protein and feed balance,bảng cân đối đạm và thức ăn chăn nuôi,,An account of feed protein supply and use by source and origin; Vietnam does not yet publish one.,Bảng tổng hợp cung và sử dụng đạm trong thức ăn chăn nuôi theo nguồn và xuất xứ; Việt Nam hiện chưa công bố.
GL-149,Futures and foresight (edition 1.1),domestic-origin share of feed protein,tỷ lệ đạm thức ăn chăn nuôi có nguồn gốc trong nước,,The share of feed protein produced in the country; a possible national indicator once a balance exists.,Tỷ lệ đạm trong thức ăn chăn nuôi được sản xuất trong nước; có thể trở thành chỉ tiêu quốc gia khi đã có bảng cân đối.
GL-150,Futures and foresight (edition 1.1),learning rate,tỷ lệ học hỏi (mức giảm chi phí đơn vị mỗi khi sản lượng cộng dồn tăng gấp đôi),,The percentage fall in unit cost each time cumulative output doubles.,Tỷ lệ phần trăm giảm chi phí đơn vị mỗi khi sản lượng cộng dồn tăng gấp đôi.
GL-151,Futures and foresight (edition 1.1),power-to-protein,đạm từ điện,,"Protein made by bacteria that grow on hydrogen from electrolysis, CO2 and minerals, so that electricity is the main input.","Đạm do vi khuẩn tạo ra khi sinh trưởng trên hydro từ điện phân, CO2 và khoáng chất, nên điện năng là đầu vào chính."
GL-152,Futures and foresight (edition 1.1),hydrogen-oxidising bacteria,vi khuẩn oxy hóa hydro,,Bacteria that use hydrogen as their energy source and CO2 as their carbon source; the basis of power-to-protein.,Vi khuẩn dùng hydro làm nguồn năng lượng và CO2 làm nguồn carbon; là nền tảng của công nghệ đạm từ điện.
GL-153,Futures and foresight (edition 1.1),green hydrogen,hydro xanh,,Hydrogen made by electrolysis of water with renewable power.,Hydro sản xuất bằng điện phân nước sử dụng điện tái tạo.
GL-154,Futures and foresight (edition 1.1),electrolyser,thiết bị điện phân,,Equipment that splits water into hydrogen and oxygen using electricity.,Thiết bị dùng điện để tách nước thành hydro và oxy.
GL-155,Futures and foresight (edition 1.1),levelised cost of electricity,chi phí điện quy dẫn,LCOE,"The average cost of each unit of electricity over a plant's life, including capital.","Chi phí bình quân của mỗi đơn vị điện trong suốt vòng đời nhà máy, đã tính cả vốn đầu tư."
GL-156,Futures and foresight (edition 1.1),weighted average cost of capital,chi phí vốn bình quân gia quyền,WACC,The blended cost of debt and equity; a large driver of fermentation-plant economics.,Chi phí bình quân của vốn vay và vốn chủ sở hữu; là yếu tố ảnh hưởng lớn đến hiệu quả kinh tế của nhà máy lên men.
GL-157,Futures and foresight (edition 1.1),second-generation (cellulosic) sugar,đường thế hệ thứ hai (từ xenluloza),2G sugar,"Sugar released from crop residues such as rice straw or bagasse, rather than from starch or cane juice.","Đường thu được từ phụ phẩm cây trồng như rơm rạ hay bã mía, thay vì từ tinh bột hoặc nước mía."
GL-158,Futures and foresight (edition 1.1),one-carbon feedstock,nguyên liệu một carbon,C1,"Carbon sources with one carbon atom, such as methanol, methane or CO2, used to grow microbes.","Nguồn carbon có một nguyên tử carbon như methanol, methane hoặc CO2, dùng để nuôi vi sinh vật."
GL-159,Futures and foresight (edition 1.1),first-of-a-kind plant,nhà máy đầu tiên cùng loại,FOAK,"The first commercial plant of a new technology, usually far costlier than later plants.","Nhà máy thương mại đầu tiên của một công nghệ mới, thường đắt hơn nhiều so với các nhà máy sau."
GL-160,Futures and foresight (edition 1.1),biofoundry,xưởng sinh học tự động (biofoundry),,"An automated laboratory that designs, builds and tests engineered strains at high throughput.","Phòng thí nghiệm tự động hóa để thiết kế, tạo và thử nghiệm các chủng vi sinh được biến đổi với năng suất cao."
GL-161,Futures and foresight (edition 1.1),cell-free protein synthesis,tổng hợp protein không cần tế bào,,"Making proteins with extracted cell machinery rather than living cells; today a design tool, far too costly for food.","Tạo protein bằng bộ máy tế bào đã tách chiết thay vì tế bào sống; hiện là công cụ thiết kế, còn quá đắt để làm thực phẩm."
GL-162,Futures and foresight (edition 1.1),molecular farming,canh tác phân tử,,"Growing crops engineered to produce a target protein, such as an animal protein, in their seeds or leaves.","Trồng cây được biến đổi để tạo ra một protein mục tiêu, chẳng hạn protein động vật, trong hạt hoặc lá."
GL-163,Futures and foresight (edition 1.1),EPA plus DHA,EPA và DHA (omega-3 chuỗi dài),,The two long-chain omega-3 fatty acids that shrimp and marine fish need in their feed.,Hai axit béo omega-3 chuỗi dài mà tôm và cá biển cần trong thức ăn.
GL-164,Futures and foresight (edition 1.1),trash fish,cá tạp,,"Low-value fish from mixed catches, fed directly to farmed fish and lobster or made into fishmeal.","Cá giá trị thấp từ khai thác lẫn, dùng cho cá nuôi và tôm hùm ăn trực tiếp hoặc chế biến bột cá."
GL-165,Futures and foresight (edition 1.1),land subsidence,sụt lún đất,,Sinking of the ground surface; in the Mekong Delta mainly caused by groundwater pumping.,Hiện tượng bề mặt đất hạ thấp; ở Đồng bằng sông Cửu Long chủ yếu do khai thác nước ngầm.
GL-166,Futures and foresight (edition 1.1),salinity intrusion,xâm nhập mặn,,"Seawater moving inland through rivers and soils, especially in the dry season.","Nước biển lấn sâu vào đất liền qua sông ngòi và đất, nhất là trong mùa khô."
GL-167,Futures and foresight (edition 1.1),wet-bulb globe temperature,chỉ số nhiệt độ cầu ướt (WBGT),WBGT,"A heat-stress index that combines temperature, humidity, wind and sun; relevant for workers and for cooling fermentation.","Chỉ số đánh giá căng thẳng nhiệt kết hợp nhiệt độ, độ ẩm, gió và bức xạ mặt trời; liên quan đến người lao động và việc làm mát quá trình lên men."
GL-168,Futures and foresight (edition 1.1),Shared Socioeconomic Pathway,đường phát triển kinh tế - xã hội chung (SSP),SSP,"Standard global scenarios used with climate models, for example SSP2-4.5 for a middle path.","Các kịch bản toàn cầu chuẩn dùng cùng mô hình khí hậu, ví dụ SSP2-4.5 là kịch bản trung bình."
GL-169,Futures and foresight (edition 1.1),nationally determined contribution,đóng góp do quốc gia tự quyết định,NDC,A country's climate commitment under the Paris Agreement.,Cam kết về khí hậu của một quốc gia theo Thỏa thuận Paris.
GL-170,Futures and foresight (edition 1.1),emissions trading system,hệ thống trao đổi hạn ngạch phát thải khí nhà kính (thị trường các-bon),ETS,"A market in which firms with emission quotas trade allowances; Vietnam's pilot covers power, steel and cement.","Thị trường mà doanh nghiệp có hạn ngạch phát thải mua bán quyền phát thải; thí điểm của Việt Nam gồm điện, thép và xi măng."
GL-171,Futures and foresight (edition 1.1),just transition,chuyển đổi công bằng,,Managing economic change so that affected workers and farmers share the gains; for alternative protein mainly about farm incomes.,"Quản lý quá trình chuyển đổi kinh tế sao cho người lao động và nông dân bị ảnh hưởng cùng được hưởng lợi; với protein thay thế, chủ yếu liên quan đến thu nhập nông hộ."
GL-172,Futures and foresight (edition 1.1),hub (cluster),cụm (trung tâm) sản xuất,,"A place where feedstock, energy, buyers, skills and zones combine to host several related plants.","Địa bàn hội tụ nguyên liệu, năng lượng, người mua, nhân lực và khu công nghiệp để thu hút nhiều nhà máy liên quan."
