dg_id,topic,claim_a,claim_b,position_taken,from_note,notes
DG-115,"Fishmeal price, Nov 2025","UPV executive: USD 1,600/t (FM-04)","World Bank Peru 65% CIF: USD 1,794/t (FM-02)",Both can be right. The UPV figure is probably a lower grade or Indian origin (India supplied 49% of Vietnam's import value in 2023). Use the World Bank series as the benchmark; say which grade when quoting.,wave2/feedmkt/feedmkt.md,"Same or related disagreement: DG-084, DG-116, DG-126, DG-127."
DG-116,Latest fishmeal price,"Wave 1: USD 1,837/t (Mar 2026) (COST-27)","Pink Sheet: USD 2,500/t (Aug 2026) (FM-01)",Not a conflict; wave 1 is superseded. Use August 2026 as latest and the 2025 average as the base case.,wave2/feedmkt/feedmkt.md,"Same or related disagreement: DG-084, DG-115, DG-126, DG-127."
DG-117,Displaceable pool,Prior drafts: 350 to 450 kt,"Macro: 80 to 270 kt; this note: 79 to 290 kt sourced, 116 to 244 kt central",Use 120 to 245 kt as central. 350 to 450 kt requires unsourced snakehead and marine rates.,wave2/feedmkt/feedmkt.md,Same or related disagreement: DG-014.
DG-118,Shrimp fishmeal inclusion,6% projected for 2025 (Salin et al. via MAC-41),"20% to 25% in recent Chinese trial control diets (FM-33, FM-34)",Both are indirect. Projection is not measurement; trial controls are not market surveys. Central 10% to 20%. One call to a Vietnamese shrimp feed mill would settle it.,wave2/feedmkt/feedmkt.md,
DG-119,Vietnam fishmeal tonnage,"WITS: 139 kt imported, 227 kt exported (2023)",Uniform unit values imply imputation,"Quote values, not tonnes.",wave2/feedmkt/feedmkt.md,Same or related disagreement: DG-089.
DG-120,Aquafeed volume,USDA 6.5 Mt (2025),Industry 3.9 to 4.8 Mt (MAC-06),Unresolved (macro agent's position stands). The pool uses industry species volumes.,wave2/feedmkt/feedmkt.md,Same or related disagreement: DG-001.
DG-121,Feed share of cost,"Shrimp: 50% to 60% (FM-10, 2026)","Pangasius: 70% to 90% (MAC-42, 2007 to 2011 studies)",Different species and years; not a conflict. Pangasius figure is dated.,wave2/feedmkt/feedmkt.md,
DG-122,E10 nationwide date,1 January 2026 (brief),1 June 2026 (Circular 50/2025 text; FS-10 press),1 June 2026. 1 January 2026 is the circular's effective date. GT-10 read directly.,wave2/geo_time/geo_time.md,Same or related disagreement: DG-029.
DG-123,Long An,Merged into HCMC (brief option),Merged into Tay Ninh (Resolution 202 Art 1(18)),"Tay Ninh, with its capital in former Long An.",wave2/geo_time/geo_time.md,
DG-124,Number of municipalities,"Wikipedia summary said ""8 municipalities"" (fetch-model summary)",Resolution 202 and the Wikipedia table list 6,"6 cities, 28 provinces. The ""8"" is a summarisation artefact.",wave2/geo_time/geo_time.md,
DG-125,Vietnam population 2025,UN WPP 2024: 101.6 M,GSO 2025 estimate: 102.3 M (MAC-19),"Use GSO for 2025 facts and UN for projections, and note the gap of about 0.7 M. Do not mix the two in growth rates.",wave2/geo_time/geo_time.md,Same or related disagreement: DG-011.
DG-126,Fishmeal price level,"Prior leads: USD 1,600/t (November 2025) and 1,825 later","WB series: Q4 2025 average 1,796; August 2026 2,500",WB series (GT-15) for benchmarks. The different origins (Peru FOB vs c&f Europe vs Vietnam delivered) explain part of the gap.,wave2/geo_time/geo_time.md,"Same or related disagreement: DG-084, DG-115, DG-116, DG-127."
DG-127,Pink Sheet month labels,"First extraction put 2,045 as the June fishmeal price","Second, verbatim extraction: 2,045 = Q2 2026 average; June 2,145; July 2,103; August 2,500",Second extraction used.,wave2/geo_time/geo_time.md,"Same or related disagreement: DG-084, DG-115, DG-116, DG-126."
DG-128,De Heus Vinh Long marine mill capacity,"84,000 t/yr (wave-1 trade press)","168,000 t/yr (De Heus global release, 22 Jul 2026; VCO-10)","Use 168,000 t/yr as the company-stated design capacity. 84,000 may be phase 1. Unresolved.",wave2/verify_co/verify_co.md,
DG-129,CJ deal scope,"""De Heus has 17 plants from CJ"" (wave 1, implied Vietnam)","17 mills across five countries (VCO-07, VCO-08)",Claim B. Vietnam mill count unknown.,wave2/verify_co/verify_co.md,Same or related disagreement: DG-036.
DG-130,Vedan GA capacity,"36,000 t/yr (1995; used in wave 1)","180,000 t/yr (2004; VCO-03)",Claim B is the later nameplate. Neither is confirmed current.,wave2/verify_co/verify_co.md,
DG-131,VISSAN founding year,"1970 (company homepage, ECO-32)","1974 (Vietstock, VCO-13)",Not material. Keep the company figure.,wave2/verify_co/verify_co.md,
DG-132,De Heus in Vietnam,"""Since 2009"" (VCO-08)","""18+ years"" (VCO-09, 2026, i.e. about 2008)",Rounding. Not material.,wave2/verify_co/verify_co.md,
DG-133,Pham Gia Phat registration,Brand founded late 2014; tax code 0312857463 fits a 2014 HCMC registration,Page states 28 May 2019,The 2019 date is probably a change of registration. Low.,wave2/verify_co/verify_co.md,
DG-134,CTU 2026 total quota,"11,850 (CTU official table, INF-15)","""About 12,000, up about 1,400 on 2025"" (tuyensinh247 aggregator, INF-16)","Use 11,850 from the primary source. The aggregator probably rounded or used a draft plan",wave2/infra/infra.md,
DG-135,HCMC Biotechnology Center role,"Wave 1: ""claimed pilot-scale fermentation and incubation services"" (RD-01, Low)",Its own service pages list agri and aqua transfers and lab design only (INF-05),No published pilot fermentation service. Keep as a lead to verify by phone,wave2/infra/infra.md,
DG-136,Hoa Lac managing body and location,"Wave 1 and common knowledge: park in Thach That, managed by MOST",Board office in Ha Dong ward under a Hanoi board for hi-tech and industrial parks (INF-25),The office address is not the park site. Management appears to have moved to Hanoi. Transfer date not verified,wave2/infra/infra.md,
DG-137,Hoa Lac area,"Common figure about 1,586 ha (agent knowledge)",Listed zones sum to 941.79 ha without the education zone (INF-25),Report the zone figures. Treat the total as unverified,wave2/infra/infra.md,
DG-138,Plant-based meat papers with a VN author,"2 papers (Scite, RD-01)","9 raw, about 6 on-topic (OpenAIRE)","Use ""about 6 (2015 to 2026), including 2 reviews"". Both sources are lower bounds.",wave2/biblio/bibliometrics.md,
DG-139,VN work on extrusion or texturisation,"""None""","1 VN-tagged extrudate texture study, 2025 (10.1093/ijfood/vvae080); VN affiliation not verified","Soften to ""at most one study found"". Verify the affiliation.",wave2/biblio/bibliometrics.md,
DG-140,VN fishmeal-replacement papers,About 20 by term search (Scite),10 (OpenAIRE country tag),Keep about 20 as the better floor. OpenAIRE's country tagging misses Vietnamese journals and some affiliations.,wave2/biblio/bibliometrics.md,Same or related disagreement: DG-057.
DG-141,Scite versus OpenAIRE for country counts,Scite used in wave 1,"Scite gave Thailand 1 cultivated-meat paper, OpenAIRE gave 49",Do not use Scite affiliation counts for benchmarking.,wave2/biblio/bibliometrics.md,
DG-142,Most-cited VN plant-based meat paper,Not reported,10.1007/s00217-021-03810-1 (240 citations) is VN-tagged,Treat it as a probable false positive until the affiliation is checked.,wave2/biblio/bibliometrics.md,
DG-143,Gas-route electricity per kg of protein,"41 kWh per kg (balance model; lower-efficiency published case, QNT-10, QNT-11)","About 69 kWh per kg (2030 plant design, FTG-01)",Keep 41 in the model and report the 69 kWh case: break-even grid intensity about 12 g instead of 21 g CO2 per kWh; S-ALT 2050 electricity about 19 TWh instead of 11.7. The conclusion (dedicated clean power is a precondition) holds either way.,wave3/balance_model/balance_model.md; wave3/frontier_gas/frontier_gas.md,Version 0.2 (futures round).
DG-144,"Maize imports, 2035",13.9 Mt (balance model),"16.6 Mt (OECD-FAO, QNT-01)","Report both. OECD-FAO has 4.4 Mt of non-feed use by 2035 against our 1.6 Mt, and rising domestic output.",wave3/balance_model/balance_model.md,Version 0.2 (futures round).
DG-145,"Fishmeal feed use, 2035",274 kt (balance model),"339 kt (OECD-FAO, QNT-01)",Report both. Our inclusion rates fall 1.5% a year; OECD-FAO use rises.,wave3/balance_model/balance_model.md,Version 0.2 (futures round).
DG-146,Meat output against the 2030 target,"About 6.0 Mt carcass weight in 2025 on NSO data (MAC-14), already inside the 2030 range","Target 6.0 to 6.5 Mt for 2030 (Decision 1520, REG-54)",Report both. Either the target is conservative or NSO live weights run high.,wave3/balance_model/balance_model.md,Version 0.2 (futures round).
DG-147,"Soybean-meal supply, MY2026/27",About 9 Mt of meal supply implied by USDA import forecasts (QNT-07),"7.8 Mt of feed use (USDA Post, MAC-04); 7.7 Mt in the model","Logged. USDA imports imply stock building, exports or higher use than its own feed forecast.",wave3/balance_model/balance_model.md,Version 0.2 (futures round).
DG-148,"Maize imports, MY2026/27","15 Mt (USDA Post, MAC-01)","About 12.3 Mt (model, 2027 interpolation)",Report both; the model is calibrated on 2025 customs imports (11.9 Mt).,wave3/balance_model/balance_model.md,Version 0.2 (futures round).
DG-149,Alternative-protein research intensity against Thailand,"0.37 against 1.58 plant-based or cultivated meat records per 10,000 publications, about 23% (OpenAIRE, v0.1, BIB-01)","4.1 against 13.4 core-basket works per 10,000 national publications, 2015 to 2025, about 31% (OpenAlex, HSC-01)","Say ""about a quarter to a third of Thailand's"".",wave3/horizon_scan/horizon_scan.md,Version 0.2 (futures round).
DG-150,"Rice land, 2030","3.56 Mha, keep stable (Decision 1748)","3,252.63 thousand ha (Decision 1177, NTS-15)","Use Decision 1177: later, and it adjusts the national land plan.",wave3/national_targets/national_targets.md,Version 0.2 (futures round).
DG-151,"Renewables in primary energy, 2030","15 to 20% (green growth strategy, Decision 1658)","25 to 30% (Resolution 70, NTS-19)",Use Resolution 70: later and higher-ranking.,wave3/national_targets/national_targets.md,Version 0.2 (futures round).
DG-152,"GDP per person, 2050","USD 27,000 to 32,000 (Resolution 81, NTS-13)","About USD 38,000 (Resolution 252, NTS-14)","Use Resolution 252, which amends Resolution 81.",wave3/national_targets/national_targets.md,Version 0.2 (futures round).
DG-153,"Power-sector emissions cap, 2030","197 to 199 MtCO2e (Decision 768, GT-11)","At most 170 MtCO2e (Decision 458, press summary)",Unresolved; Decision 768 used in calculations.,wave3/spatial_hubs/spatial_hubs.md,Version 0.2 (futures round).
DG-154,Mekong hydrogen project sizes,About 30 kt of H2 a year each (FTG-17),"24, 24, 70 and 5.3 kt (HUB-04)",Totals agree (about 120 to 123 kt); use HUB-04.,wave3/spatial_hubs/spatial_hubs.md,Version 0.2 (futures round).
DG-155,"Ca Mau farmed shrimp, 2025","594,851 t (HUB-15)","577,000 t (HUB-17)","Use 594,851 t; the gap is 3%.",wave3/spatial_hubs/spatial_hubs.md,Version 0.2 (futures round).
DG-156,"Capture fisheries, 2030","2.8 Mt target (Decision 339, NTS-08)","3.50 Mt (OECD-FAO, AQF-02)",Report both; OECD-FAO does not model the fleet cut.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-157,Domestic soybean area and yield,Under 20 thousand ha; 1.62 t per ha (AQF-20),"39 thousand ha; 1.28 t per ha (OECD-FAO, AQF-02)",Area 20 to 39 thousand ha; yield unresolved.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-158,Vietnamese fishmeal output,"325 kt (OECD-FAO, 2025, AQF-02)","About 500 kt a year, 2005 to 2016 (secondary, AQF-06)",Use OECD-FAO; the 500 kt may include fish powder.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-159,Marine finfish feed conversion on trash fish,2 to 2.5 (AQF-10),"Grouper 5.9, wet weight (AQF-05)",Use 5 to 8 on a wet-weight basis.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-160,"Marine feed volume, 2025","18 kt (our base, aquaculture paths)","80 to 100 kt (industry, MAC-06; Appendix S6)","Unresolved; open question logged. It affects species-level marine-feed estimates, not the national soybean-meal total.",wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-161,Approved GE events for food and feed,60 in total (AQF-21),52 when summed by crop in the same summary,Report 60 as stated; breakdown incomplete.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-162,Khanh Hoa offshore mariculture pilot area,"440 ha (Decision 231, AQF-13)",Phases in the same summary add up to 240 ha,Report 440 ha as the headline and flag the gap.,wave3/aquaculture_futures/aquaculture_futures.md,Version 0.2 (futures round).
DG-163,National rice straw,About 52 to 54 Mt a year at a straw-to-grain ratio of 1.19 (NGF-01; HUB-27),About 97 Mt at a ratio of 2.2 (NGF-09),Use the 1.19 ratio.,wave3/next_gen_feedstocks/next_gen_feedstocks.md,Version 0.2 (futures round).
DG-164,Cellulosic sugar cost,"USD 342 to 467 per t (mature-plant models, NGF-06, NGF-07)","USD 1,320 per t (lab-optimised Indian bagasse process, NGF-08)",Report both; first-of-a-kind plants cost far more per tonne of capacity.,wave3/next_gen_feedstocks/next_gen_feedstocks.md,Version 0.2 (futures round).
DG-165,Carbon footprint of Argentine soybean meal,0.72 t CO2e per t (ECF-22),4.09 t CO2e per t with country-level land-use change (ECF-23),Report both; the accounting method acts as the carbon price.,wave3/econ_policy/econ_policy.md,Version 0.2 (futures round).
DG-166,Cultivated-meat volume forecasts,"Consultancy forecasts: 35% of ""meat"" by 2040 (Kearney, 2019); 1.5 Mt by 2030 (McKinsey, 2021) (HSC-21 to HSC-23)","Expert panel: 54% chance world output stays below 100,000 t a year through 2051 (HSC-18)",Use the probabilistic panel; only 9 of 84 resolved timeline predictions made before 2021 were right (HSC-19).,wave3/horizon_scan/horizon_scan.md,Version 0.2 (futures round).
DG-167,"US tariff changes on Vietnam, 2025 to 2026","""Four regimes in 16 months"" (GEO-02 to GEO-05)","The 46% rate was announced but never applied; three rates were applied: 20%, 10% and 12.5% (GEO-48)","Say ""changed four times in 16 months, with three different rates applied"".",wave3/geo_macro/geo_macro.md,Version 0.2 (futures round).
DG-168,African swine fever counts,"952 to 3,029 outbreaks a year (2020 to 2024)","2019 counted by communes (8,553 of 10,614), not outbreaks (GEO-15)",Report outbreaks for 2020 to 2024 only; describe 2019 separately.,wave3/geo_macro/geo_macro.md,Version 0.2 (futures round).
DG-169,Value of cheaper capital for fermentation protein,"""Worth a decade of learning"" (early ECF draft)","Script output: USD 3,613 per t with no learning at a 9% charge, close to the central learning case in 2030 (USD 3,557), not 2040 (USD 3,176)","Say ""does as much as the learning expected by 2030"".",wave3/econ_policy/econ_policy.md,Version 0.2 (futures round).
DG-170,"Methane target base year, 2050",40% below 2020 by 2050,40% below 2030 by 2050 (NTS reading of Decision 896),Read the 2050 base as 2030 (Medium); open question logged.,wave3/national_targets/national_targets.md,Version 0.2 (futures round).
DG-171,"Meat eaten per person, level (supply vs intake)","FAOSTAT food supply: 60.5 kg of meat per person in 2023, carcass weight, plus 7.0 kg offal (DIE-07)","NIN General Nutrition Survey: 136.4 g per person per day in 2020, about 49.8 kg a year as eaten (DIE-01; DIE-02)","Use NIN for intake and nutrition claims, FAO for international comparison and trends. Do not average.",wave6/diet/diet.md,"Version 0.3 (demand round). Bases differ: carcass weight includes bone and trim, supply includes waste, and the years differ (2020 vs 2023, with fast growth in between). The gap is expected, not an error."
DG-172,"Meat eaten per person, household survey vs nutrition survey","VHLSS: 2.60 kg per person per month for home use in 2024, 31.2 kg a year (DIE-05)","NIN: 136.4 g per day, 49.8 kg a year (2020) (DIE-01)",Treat VHLSS as home consumption only. The difference is roughly the meat eaten away from home plus basis differences.,wave6/diet/diet.md,Version 0.3 (demand round). VHLSS records meals eaten out only as spending (our reading of the table structure). Not a contradiction but a warning not to use VHLSS quantities as total intake.
DG-173,"Meat per person, OECD-FAO vs FAOSTAT","OECD-FAO: 45.5 kg per person in 2023 (pork, poultry, beef, sheep) (DIE-11)",FAOSTAT: 60.5 kg per person in 2023 (all meat) (DIE-07),"Both usable within their own series. OECD-FAO for projections, FAOSTAT for levels and neighbours.",wave6/diet/diet.md,"Version 0.3 (demand round). OECD reports retail weight (convention, not re-verified); converting 2023 OECD pork and poultry to carcass weight gives values close to FAOSTAT."
DG-174,Eggs eaten per person,"FAOSTAT: 3.96 kg per person in 2023, roughly 66 to 72 eggs (our conversion at 55 to 60 g) (DIE-07)",NSO production of 21.4 billion eggs in 2025 implies about 211 eggs per person (our division; supply study MI-010); VHLSS home use is 61 eggs a year (DIE-05),Prefer VHLSS for household consumption (61 eggs at home). Flag FAO egg supply as probably too low.,wave6/diet/diet.md,"Version 0.3 (demand round). FAO records egg production of 472 thousand tonnes (2023), far below what NSO egg counts imply. Unresolved; see open questions."
DG-175,Milk supply per person,FAOSTAT: 53.9 kg per person in 2021,FAOSTAT: 37.4 kg per person in 2023 (same series) (DIE-07),Do not read the fall as a real drop in dairy consumption.,wave6/diet/diet.md,"Version 0.3 (demand round). The swing is driven by residual and trade adjustments in the balance sheet (residual of -1,579 thousand tonnes in 2019). Use industry sales or VHLSS once milk is split out."
DG-176,FAOSTAT series break,Historic food balance sheet: Vietnam meat supply 51.5 kg per person in 2010 (DIE-08),New food balance sheet: 41.0 kg per person in 2010 (DIE-07),"Use the new series from 2010 and the historic series only before 2010, and never join them without a note.",wave6/diet/diet.md,Version 0.3 (demand round). Methodology change at FAO. The 1990 and 2000 protein ladder points come from the historic series.
DG-177,Protein content of tofu,Vietnamese Food Composition Table: 10.9 g protein per 100 g (DIE-12),Retail labels in the supply study audit: 3.8 to 9.3 g per 100 g (FORM-01),Report both. Use the FCT for the standard comparison and flag that some commercial tofu is much wetter.,wave6/diet/diet.md,"Version 0.3 (demand round). At WinMart's 32,750 VND per kg, tofu costs 30,046 VND per 100 g protein on the FCT value but 35,215 to 86,184 VND on label values."
DG-178,Protein content of pangasius fillet,Commercial frozen fillets 12.5 to 15.7 g per 100 g (DIE-13),Untreated fillets 18 g or more (DIE-14),Use 15 g central with a 12.5 to 18 g range.,wave6/diet/diet.md,Version 0.3 (demand round). Added water and phosphates lower protein in some retail fillets.
DG-179,"Peak live hog price, 2020","Press: the 2020 peak reached about 100,000 VND per kg live weight (DIE-27, press, secondary)","FAOSTAT producer price: annual average 78,138 VND per kg in 2020 (DIE-25)",Both can be true (monthly peak vs annual average). Use the FAO annual figure for comparisons.,wave6/diet/diet.md,Version 0.3 (demand round). No official monthly series was retrieved.
DG-180,Is protein intake adequate?,"Average intake is about 73 to 80 g per person per day (DIE-32; derived from DIE-01), 1.5 times the 50 g label reference (DIE-04)",35.5% of adults in the Hanoi and Thai Binh study were below the recommended protein intake (DIE-32),"Adequate on average for adults; do not claim a general protein gap. Undernutrition is concentrated in children in poorer, mountainous areas.",wave6/diet/diet.md,"Version 0.3 (demand round). A single 24 hour recall overstates the share below a requirement, and the study used the 2016 recommendations, which the 2026 update lowered for some adult groups (DIE-04)."
DG-181,Willingness to pay for safer pork,"Discrete choice experiment: 70% premium for certified-abattoir pork, up to 102% for hormone- and drug-free pork (DIE-29)",Incentive-compatible auction: 20% premium for pork from upgraded shops (DIE-30),Plan on the auction figure (about 20%) as the realistic ceiling for a safety premium in fresh protein.,wave6/diet/diet.md,"Version 0.3 (demand round). Hypothetical choice tasks overstate what people pay. Different products and cities, so not a clean comparison."
DG-182,Meat intake reported at the survey launch,136.4 g per person per day (DIE-01; DIE-02),134 g per person per day (DIE-03),"Use 136.4 g, reported by two outlets with the full launch data.",wave6/diet/diet.md,"Version 0.3 (demand round). Small difference, possibly rounding or a different age range."
DG-183,Beef per person in OECD-FAO history,OECD-FAO: 8.3 kg (2015) and 7.1 kg (2019) (DIE-11),OECD-FAO: 3.6 kg (2020); FAOSTAT 2.7 to 3.9 kg over 2015 to 2020 (DIE-07),Use FAOSTAT for beef history; use OECD-FAO beef only from 2020 on.,wave6/diet/diet.md,Version 0.3 (demand round). Probably informal live-cattle trade accounting. Does not affect the pork and poultry picture.
DG-184,Fish eaten at home,VHLSS: 1.50 kg per person per month (2020) falling to 1.13 kg (2022) in every region (DIE-05),FAOSTAT fish supply flat at 40 to 41 kg per person over 2020 to 2023 (DIE-07),Treat the VHLSS drop as a possible questionnaire change until NSO explains it.,wave6/diet/diet.md,"Version 0.3 (demand round). A 25% fall in two years across all regions and quintiles looks methodological, not behavioural."
DG-185,Overweight in children under 5,NIN General Nutrition Survey: 7.4% (2020) (DIE-03),"UNICEF/WHO/World Bank modelled estimate: 8.0% (2020), 10.5% (2024) (DIE-28)",Use the survey value for 2020 and the modelled series for the trend.,wave6/diet/diet.md,Version 0.3 (demand round). Modelled estimates smooth and extrapolate.
DG-186,Number of Buddhists,2019 census: 4.6 million Buddhists (CHY-08),2023 White Paper: more than 14 million registered Buddhists (CHY-07); Pew 2023: 38% of adults identify as Buddhist (CHY-06),Use Pew 38% for self-identification; none measures chay practice,wave6/chay/chay.md,"Version 0.3 (demand round). Definitions differ: census self-declaration contested, White Paper counts registered followers, Pew is a probability sample of self-identity"
DG-187,Vu Lan 2026 demand,Hanoi sellers: volume 2 to 3 times normal (CHY-20),Hai Phong restaurant: orders down 20 to 30% on 2025 (CHY-21); Ho Chi Minh City: buying 'slightly up' (CHY-19),"Both true: the seasonal multiple held, but year-on-year volume softened as costs rose",wave6/chay/chay.md,Version 0.3 (demand round). Compare a multiple against normal days with a change against last year; they are not the same measure
DG-188,Direction of chay taste: mock meat versus natural,Ho Chi Minh City 2024: mock meats were best sellers (CHY-26); periodic eaters prefer processed chay (CHY-09),"Hanoi 2026: buyers prefer mushrooms, lotus, beans, vegetables over industrial chay (CHY-20; CHY-21)",Treat as regional plus segment difference: southern periodic mass market buys mock meat; northern and strict buyers lean natural,wave6/chay/chay.md,Version 0.3 (demand round). All sources are anecdotal press or observation; needs measured sales by region
DG-189,Tofu consumption volume,"USSEC: tofu 11% of 286,000 t soy food in 2023, about 31,500 t (CHY-46)",Craft village evidence: Hong Ha commune alone processes 20 to 30 t beans a day (CHY-48); Vong La over 80% of households at 150 kg beans a day (CHY-49),"Prefer USDA 550,000 t soybean food use as the anchor; treat USSEC tofu figure as industrial tofu only",wave6/chay/chay.md,Version 0.3 (demand round). USSEC basis unstated; craft data are old press
DG-190,Foody chay listing counts,"B-Company: 2,737 stores in 51 provinces, May 2024 (CHY-14)","Our read: at least 3,275 in 23 former provinces, September 2026 (CHY-31)",Use our direct read with caveats; do not infer outlet growth,wave6/chay/chay.md,Version 0.3 (demand round). Listings are cumulative; B-Company category definition unknown
DG-191,Buddhist view of mock meat,Thich Thanh Huan and Thich Minh Thanh: acceptable skilful means that reduces killing (CHY-53; CHY-55),Duong Lu Dien: mock meat damages compassion and keeps attachment to meat (CHY-54),Permissive on balance; no binding Sangha ruling found,wave6/chay/chay.md,"Version 0.3 (demand round). Both are opinion pieces or quotes, not Sangha directives"
DG-192,Whether the five pungent plants rule applies to chay eaters,"Giac Ngo advisory: binds Bodhisattva precept holders, not lay lunar-day observers (CHY-52)",Academic paper: Buddhist vegetarian diet excludes the five pungent plants (CHY-10),Follow Giac Ngo for lay practice; mainstream products already use alliums (FORM-01),wave6/chay/chay.md,Version 0.3 (demand round). The academic paper states the strict ideal without distinguishing lay practice
DG-193,Rakuten 2024 weekly consumption share,B-Company article 1: 45% several times a week (CHY-13),B-Company article 2: 44% several times a week (CHY-14),Use neither as verified; underlying Statista values are paywalled; 2021 value is 44% (CHY-02),wave6/chay/chay.md,Version 0.3 (demand round). Possible confusion with the 2021 figure
DG-194,Chay price versus meat,Street chay and supermarket đồ chay are cheaper than meat (CHY-38; FORM-01),Famous chay restaurants are more expensive than meat restaurants (CHY-37),"Both true by segment: mass chay below meat, premium chay above",wave6/chay/chay.md,"Version 0.3 (demand round). Segment, not contradiction"
DG-195,Vietnamese vegetarian share of population,VTV and VnEconomy: about 10% (CHY-15; CHY-18),Rakuten 2021: 10% 'only consume plant-based food' in an online panel (CHY-02); no probability survey exists,Reject the 10% population claim; treat Rakuten as a panel figure,wave6/chay/chay.md,Version 0.3 (demand round). Coincidence of 10% figures may explain the press claim
DG-196,What the GFI 5% to 63% figure means,GFI SOTIR 2023 and 10-charts page: share who would eat plant-based meat rises from 5% who eat it regularly now to 63% who would eat it always (15%) or often (48%) if all concerns were resolved (ECO-23; ECO-24),"GFI press release Feb 2024: if cost and other challenges are resolved, three-quarters of Southeast Asian consumers say they would regularly consume plant-based meat (CON-02)","Use 63% always or often, as charted with n=5,971. The three-quarters wording seems to count a broader group and is not shown in any chart we could read",wave6/consumer/consumer.md,"Version 0.3 (demand round). Both are hypothetical, regional and stated; neither is a forecast; no Vietnam split is public"
DG-197,Vinasoy share of soy milk,"About 80% of soy milk (brief context, ECO-41, press from QNS filings, 2024)","90.6% of branded soy milk in 2024, up 1 point (Bao Viet Securities via CON-27; Mirae Asset CON-26)",Use 90.6% of branded (packaged) soy milk for 2024; treat 80% as an older or broader-base figure,wave6/consumer/consumer.md,"Version 0.3 (demand round). Bases differ (branded packaged versus all soy milk, including fresh street soy milk); neither method is published"
DG-198,How many Vietnamese have tried plant-based products,Rakuten Insight 2025: 92% have tried plant-based alternatives (CON-07),GFI 2023: 42% have ever tried plant-based meat (CON-02),Both hold: Rakuten counts any plant-based alternative (89% of triers had plant milk); GFI counts plant-based meat only. Use GFI for meat analogues,wave6/consumer/consumer.md,"Version 0.3 (demand round). Rakuten 47% trial of plant-based meat alternatives is close to GFI 42%, but may include traditional mock meat"
DG-199,Regular consumption,Rakuten 2025: 43% consume plant-based alternatives several times a week (CON-07),GFI 2023: 3% eat plant-based meat one or more times a week (CON-02),Both hold; different categories. For product design use GFI for meat analogues and Rakuten for plant milk,wave6/consumer/consumer.md,Version 0.3 (demand round). Neither is revealed purchase data
DG-200,Awareness of novel alternative protein among Hanoi youth,Nguyen M.Q. et al. 2025 text: 84% aware but not used (CON-12); RD-32 reports the same 84%,Same paper: 202 of 288 respondents (70%) were aware but had not used,"Use 70% if anything, rated Low; the identical 84% in two samples suggests reuse",wave6/consumer/consumer.md,Version 0.3 (demand round). Both are student convenience samples
DG-201,Plant-based dairy trend in 2023,Euromonitor: plant-based dairy retail value fell strongly in 2023 (CON-30),Google Trends: search interest in sữa hạt peaked in 2023 (index 82 against 44 in 2022) (CON-37),Prefer Euromonitor for sales; search interest is not sales and is driven by home nut-milk machines,wave6/consumer/consumer.md,Version 0.3 (demand round). Consistent with a DIY shift: people searching how to make nut milk at home may buy less packaged product
DG-202,Who the early adopters are by age,GFI 2023: 18 to 24 year olds are the least aware; about two-thirds of Enthusiasts are over 35 (CON-02),Vietnamese academic studies focus on 18 to 25 students and report high willingness (CON-12; CON-13; RD-32),Prefer GFI: target 25 to 44 urban earners; student intentions are cheap talk with low incomes,wave6/consumer/consumer.md,Version 0.3 (demand round). Faunalytics literature review also names older (55+) health-conscious consumers (CON-05)
DG-203,Income and meat reduction,GFI 2023: plant-based meat Expanders tend to be higher income; Rejectors lower (ECO-23),Delley et al. 2024: Vietnamese proactive meat reducers skew to the two lowest income bands (CON-08),"Both hold: premium plant-based meat skews rich; meat reduction for health or money skews poorer and will use cheap chay and tofu, not premium analogues",wave6/consumer/consumer.md,Version 0.3 (demand round). Different constructs (product use versus intention to cut meat)
DG-204,Role of environmental concern,Nguyen M.Q. et al. 2025: environmental and sustainability concern raises attitude to novel protein (CON-12),Ly and Ly 2025: environmental concern has a small negative effect on intention (CON-13); Rakuten: environment ranks 6th of 7 reasons in Vietnam (CON-07),"Treat environment as a weak and unstable driver in Vietnam; lead with health, safety and value",wave6/consumer/consumer.md,Version 0.3 (demand round). Both academic samples are small and student-based
DG-205,Role of religion,Nguyen T.L. et al. 2020 (spirituality) and Nguyen T.Q.N. et al. 2025 (religious values) find positive effects; Rakuten: 35% cite following a vegetarian diet (CON-11; CON-16; CON-07),Ly and Ly 2025: religious beliefs not significant among Hanoi students (CON-13),"Religion drives chay and periodic vegetarian demand among the general population, less so among students choosing modern products",wave6/consumer/consumer.md,Version 0.3 (demand round). Seasonal search peaks for chay in August support the religious calendar effect (CON-37)
