record_id,name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes,origin,last_verified,change_log,province_current,province_former
CO-042,Vuong Ngoc Vegan,Vuong Ngoc Vegan,traditional chay industrial,Tay Ninh,Tay Ninh,unknown,Vietnam,SME,Vegetarian food (not detailed),Not stated,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,"Directory entry only. Tay Ninh has a large Cao Dai vegetarian community (context, not evidence of scale).",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Tay Ninh,
CO-043,Dong Phuong Thuan,Dong Phuong Thuan,distributor,Ho Chi Minh City,n/a,unknown,Vietnam,SME,"Trader of mock meat slices (poultry, beef), fish balls, ribs",n/a,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Likely importer/wholesaler of TVP-based chay items; unverified.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-044,"Xuan Hong Food Processing Import-Export Co., Ltd (lead check)",Cong ty TNHH Che bien XNK Xuan Hong,ingredient supplier,Tay Ninh,"Thanh Tan commune, Tay Ninh (former Tay Ninh)",unknown,Vietnam,SME,Cassava starch (not chay food),Cassava,100 t/day finished starch (2020); fined for bypassing wastewater treatment (800 m3/day discharge),n/a,,active as of 2020; later unknown (checked 2026-09-23),ECO-39,VN-direct,Medium,Prior lead listed 'Xuan Hong' as an industrial do chay maker; the Xuan Hong found is a cassava starch processor. Lead likely wrong or a different firm.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Tay Ninh,Tay Ninh
CO-045,Song Huong Foods (lead),Song Huong Foods,traditional chay industrial,unknown (Hai Phong or Hue; unverified),unknown,unknown,Vietnam,corporate,Canned foods; chay line unverified,unknown,unknown,n/a,songhuongfoods.com.vn (did not resolve),unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; could not verify a chay line.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-046,LC Foods (lead),LC Foods,traditional chay industrial,unknown,unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",,
CO-047,Hue One Food (lead),Hue One Food,traditional chay industrial,Hue (assumed),unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-048,Tan Nhat Huong (lead),Tan Nhat Huong,traditional chay industrial,Ho Chi Minh City,unknown,unknown,Vietnam,SME,Bakery brand ('Dutch recipe'); chay products unverified,unknown,unknown,n/a,tannhathuong.com,active bakery; chay role unverified (checked 2026-09-23),,VN-direct,Low,Found only as a bakery; chay protein role not established.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-049,"Vinasoy (Vietnam Soymilk Company; part of Quang Ngai Sugar JSC, QNS)",Cong ty Sua dau nanh Viet Nam Vinasoy,plant-based dairy,Quang Ngai,"Quang Ngai (Quang Ngai, incl. former Kon Tum); Tien Son IP, Bac Ninh (Bac Ninh, incl. former Bac Giang); VSIP 2A, HCMC (former Binh Duong)",1997 (not verified this wave),Vietnam,corporate,"Fami, Vinasoy, Veyo (soy yogurt; not verified) soy milks","Soybeans, mostly imported (VN imported 2.2 Mt soybeans in 2024, all uses)","2024 soy milk revenue > VND 4,100 bn (about VND 28 bn/day); about 80% soy milk market share (2024); 82.7% (Dec 2014); Bac Ninh phases 1+2 = 180 m L/yr (2015); gross margin >39% (2024); Fami 1.9 g protein/100 ml","Owned by QNS (listed); QNS 2024 revenue > VND 10.3 trillion, net profit about VND 2.37 trillion",vinasoy.com,active (checked 2026-09-23),ECO-41; ECO-42; ECO-40; VCO-17,VN-direct,High,"Largest non-animal protein food business in VN by revenue. Share figures are company/press-reported, not audited market data.",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-17, Low] capacity 2025: was ""390 m L/yr in 3 plants (2022)""; wave 2: ""No 2025 figure found (Vinasoy site, QNS pages on cafef and Vietstock returned no data)"" (logged only (position: keep existing value)). Unverified. Vietstock history confirms Bac Ninh plant (2012) and second Bac Ninh plant plus soy research centre (2013).",Quang Ngai,
CO-050,Vinamilk (plant-based milks),"Vinamilk - sua hat, sua dau nanh",plant-based dairy,Ho Chi Minh City,Multiple dairy plants (not itemised),1976,Vietnam,corporate,"9-nut milk, high-protein nut milk (9 g protein per 240 ml), oat milk, soy-walnut, soy-red bean, soy milk with fresh milk","Soy, nuts, oats; several SKUs are hybrids containing fresh cow milk",Nut milk reported 'double-digit growth' in Q1 2026 (no figure),Listed (HOSE: VNM),vinamilk.com.vn,active (checked 2026-09-23),ECO-43; ECO-44; ECO-40,VN-direct,Medium,Hybrid dairy-plant products blur the 'alt protein' boundary.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-051,TH Group (TH true NUT),TH true NUT,plant-based dairy,Nghe An / Ha Noi,Nghe An (TH dairy complex; NUT line plant not confirmed),2018 (launch 17 Mar 2018),Vietnam,corporate,"Walnut, macadamia, almond, oat nut milks with dates","Imported macadamia (Australia), walnut and oat (USA), dates; contains fresh cow milk","About 250 TH true mart stores at launch (2018); retail VND 52,300-64,900 per litre (2026)",Private,thgroupglobal.com,active (checked 2026-09-23),ECO-45; ECO-40,VN-direct,Medium,"Walnut variant: 60% walnut extract plus fresh cow milk; protein 1 g/100 ml. A hybrid, not fully plant-based.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Nghe An; Ha Noi,Nghe An; Ha Noi
CO-052,Nutifood (plant milks),Nutifood,plant-based dairy,Ho Chi Minh City,not verified,1989 (not verified),Vietnam,corporate,"Brown rice milk, corn milk","Rice, corn (low protein)","On Co.opmart shelf at VND 24,800",Private,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Field observation only.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-053,Kashew Cheese,Kashew Cheese,plant-based dairy,Ho Chi Minh City,"HCMC (fermentation lab; deli cafes incl. 14 Tran Ngoc Dien, Thao Dien)",2020,Vietnam,startup,"Fermented cashew cheeses, kream cheese, ricotta, mozzarella, yogurt, milk",Vietnamese cashew kernels,Multiple HCMC deli cafes; national delivery; HoReCa supply,None disclosed,kashewcheese.com,active (checked 2026-09-23),ECO-49; ECO-50; ECO-15,VN-direct,Medium,Founders Dau Thi Le Na and Tobias Briffa. Uses a VN export crop (cashew) domestically.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-054,"137 Degrees (Simple Foods Co., Ltd)",137 Degrees,plant-based dairy,n/a (Thailand),"Thailand (500,000 L/day nut-milk plant planned c.2019-2020)",unknown,Thailand,SME,"Almond, walnut, pistachio, macadamia milks",Nuts,"Exports to 30 countries (c.2019); on VN shelves (field audit, presence flagged not priced)",n/a,137degrees.net,on VN shelf likely (2026-09-06 field note),ECO-46; ECO-40,VN-adjacent,Medium,"Brief asked whether Thai or Vietnamese: it is Thai (Simple Foods, Bangkok).",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-055,Oatside,Oatside,plant-based dairy,n/a (Singapore),"Bandung, Indonesia",2021,Singapore,startup (scale-up),Oat milk incl. Barista Blend,Oats,Launched in HCMC Nov-Dec 2022 via coffee events; supermarket presence by 2026; VN 'Chief Milk Officer' campaign backlash 30 Mar-4 Apr 2026,n/a,,active in VN (checked 2026-09-23),ECO-47; ECO-48,VN-direct,Medium,Importer/distributor not named in sources.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-056,Dairy-Free Down Under,Dairy-Free Down Under,plant-based dairy,n/a (Australia),Imported,unknown,Australia,SME,"Dairy-free cheeses, sour cream",Cashew and others,"Annam Gourmet, Nam An, The Food Shop (2022); VN since 2018 (blog)",n/a,,unknown in 2026 (checked 2026-09-23),ECO-15,VN-direct,Low,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-057,Deep Blue Island (lead),Deep Blue Island,plant-based dairy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,general,Low,Named in brief; not found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",,
CO-058,Hat Viet (lead),Hat Viet,plant-based dairy,unknown,unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-059,"Ong Tempeh Vietnam Trading Services Co., Ltd",Cong ty TNHH TM DV Ong Tempeh Viet Nam,fermentation biomass,Ho Chi Minh City,"HCMC (Phu Thuan, former District 7); Ha Noi branch (Thanh Xuan)",c.2021 (inferred),Vietnam,SME,"Fresh tempeh (soy, chickpea, cashew), tempeh chips, marinated tempeh, starter cultures (men tempeh), DIY kits","Soybeans, chickpeas, lentils, cashew; Rhizopus starter",Small; national delivery,None,ongtempeh.com,active (checked 2026-09-23),ECO-51,VN-direct,Medium,Only commercial tempeh maker verified. Sells Rhizopus starter: a small domestic fungal-fermentation know-how base.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Ho Chi Minh City,
CO-060,Vinaorganic (tempeh technology transfer; lead),Vinaorganic,fermentation biomass,unknown,unknown,unknown,Vietnam,SME,Offers tempeh technology transfer,Soy,unknown,n/a,vinaorganic.com,unverified (checked 2026-09-23),,VN-direct,Low,Search-listing only; not read.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-061,CK Vietnam Group / V-Group Vietnam (imported 'Mycoprotein' SCP),Tap doan CK Viet Nam,feed SCP/yeast,unknown (VN),Imported from China,unknown,Vietnam (distributor); Chinese manufacturer unnamed,SME,"'Mycoprotein' single-cell protein for livestock, poultry, fish and shrimp feed","Bacterial biomass from glutamic acid (MSG) fermentation; CP >=70%, digestible protein >85%, ash <=7%",40 kg bags or 1 t jumbo bags; volumes not disclosed,n/a,ckvietnam.com.vn,active listing (checked 2026-09-23),ECO-69,VN-direct,Medium,"Chinese amino-acid fermentation SCP is already sold in VN feed: the import counterfactual for any VN SCP play. Name 'mycoprotein' is a misnomer (bacterial, not fungal).",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-062,Tan Huu Qui (feed ingredient trader; lead),Tan Huu Qui,feed SCP/yeast,unknown,n/a,unknown,Vietnam,SME,Lists 'Dam don bao' (SCP) as alternative to animal protein in feed,SCP (source not read),unknown,n/a,tanhuuqui.com,unverified; site returned error (checked 2026-09-23),,VN-direct,Low,Search-listing only.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-063,Angel Yeast Vietnam,Angel Yeast Viet Nam,feed SCP/yeast,Ha Noi,Imported from China,n/a (Angel Yeast 1986),China,multinational,"Yeast, yeast extract, yeast-based feed products",Saccharomyces yeast,Facebook presence in Hanoi; VN volumes unknown,n/a,facebook.com/angelyeastvietnam,unverified detail (checked 2026-09-23),,VN-direct,Low,Search-listing only; no VN feed data read.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ha Noi,Ha Noi
CO-064,Enzym Group (via ShrimpVet trial),Enzym Group,feed SCP/yeast,n/a (Ukraine),Imported,unknown,Ukraine,SME,EnzActive yeast feed additive,"Saccharomyces cerevisiae (functional additive at 0.5 g/kg, not a bulk protein)",Lab trial at ShrimpVet HCMC: +42.86% survival vs control under Vibrio challenge,n/a,,unknown (checked 2026-09-23),ECO-70,VN-direct,Low,Shows VN has contract shrimp-trial labs (ShrimpVet) usable by novel feed ingredient makers.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-065,Calysta (FeedKind),Calysta,feed SCP/yeast,n/a (USA/UK),China plant (JV),2012,USA,multinational,FeedKind methanotroph SCP,Methane-fed bacterial biomass,"No VN supply, distributor or trial found; trials with Thai Union in Thailand",n/a,calysta.com,no VN activity found (checked 2026-09-23),ECO-66,VN-adjacent,Low,Absence of evidence after limited search.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-066,Unibio (Uniprotein),Unibio,feed SCP/yeast,n/a (Denmark),n/a,2001,Denmark,SME,Uniprotein methane-fed SCP,Methane-fed bacterial biomass,Featured in VN aquaculture press May 2025; no VN supply found,n/a,unibio.dk,no VN activity found (checked 2026-09-23),ECO-67,VN-adjacent,Low,Digestibility 81-88% by species (company claim reported in VN press).,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-067,Spirulina Vinh Hao JSC,Cong ty CP Tao Vinh Hao,microalgae,Lam Dong (former Binh Thuan),"Vinh Hao commune, Tuy Phong, Lam Dong (former Binh Thuan); grown on Vinh Hao mineral water",2008 (company); site chosen 1976; technology transfer 1979,Vietnam,SME,"Spirulina powder and tablets (Nutri, Piramin, Spivital)",Spirulina (Arthrospira) biomass,"Over 12,000 m2 ponds (company, undated); nearly 17 t/yr (2013 figure)",None found,spiviha.com,active (checked 2026-09-23),ECO-52,VN-direct,Medium,"Prior lead said 5,000 m2; company says >12,000 m2. Output figure is 13 years old.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Lam Dong,Binh Thuan
CO-068,Dai Viet Spirulina Group,Tao xoan Dai Viet,microalgae,Ha Noi,Lang Son and Thanh Hoa farms,2014 (project); main facility 2019,Vietnam,SME,"100+ spirulina products (fresh, powder, tablets, gel, liquid)",Spirulina biomass,"50,000 m2 cultivation (company); VND 150 bn investment (claimed)",Private,taoxoandaiviet.vn,active (checked 2026-09-23),ECO-54,VN-direct,Low,"Claims 'FDA certification' (Feb 2022) which is likely a registration, not approval. Output tonnage not stated.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Ha Noi,Ha Noi
CO-069,VN Vastcom Biotechnology JSC,Cong ty CP khoa hoc cong nghe tao VN Vastcom,microalgae,Nghe An,Nghe An,2017 (VAST technology transfer),Vietnam,SME,Spirulina functional foods and feed supplements; OCOP 4-star,Spirulina biomass,"About 2 ha, about 5 t dry biomass/yr, 50+ workers (Jul 2023)",MOST-selected commercialisation project (amount not stated),,active as of 2023 (checked 2026-09-23),ECO-53,VN-direct,Medium,Article claims over 70% of spirulina products in VN are imported.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Nghe An,Nghe An
CO-070,Tao Viet High-Tech Agricultural Cooperative,HTX nong nghiep cong nghe cao Tao Viet,microalgae,Ninh Binh,"Dong Son, Tam Diep, Ninh Binh",unknown,Vietnam,SME,Fresh spirulina,Spirulina biomass,"1,400 m2 (40 tanks x 10 m3) expanding to 20,000 m2 (Apr 2023); fresh algae sold >VND 1.5 m/kg",n/a,,active as of 2023 (checked 2026-09-23),ECO-55,VN-direct,Low,Revenue claims (VND 40-50 m/month per tank) look implausible; treat as promotional.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Ninh Binh,
CO-071,"ECOFARM High-Tech Agriculture Co., Ltd (MTE Spirulina)",Cong ty TNHH Nong nghiep Ky thuat Cong nghe cao ECOFARM,microalgae,Ho Chi Minh City,"Binh My, HCMC (former Cu Chi)",c.2017,Vietnam,SME,"Fresh spirulina (MTE Spirulina), distributed by PHATA JSC",Spirulina biomass,Not stated,n/a,mtespirulina.vn,active (checked 2026-09-23),ECO-56,VN-direct,Low,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Ho Chi Minh City,Ho Chi Minh City
CO-072,"Institute of Biotechnology, Vietnam Academy of Science and Technology (VAST)","Vien Cong nghe Sinh hoc, VAST",other,Ha Noi,Ha Noi,n/a,Vietnam,other,Spirulina strain and cultivation technology source (to Vastcom 2017; to Vinh Hao via Institute of Biology 1970s),n/a,n/a,Public,,active (checked 2026-09-23),ECO-52; ECO-53,VN-direct,Medium,Public research source of VN spirulina know-how.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ha Noi,Ha Noi
CO-073,Can Tho University (duckweed feed research; lead),Dai hoc Can Tho,duckweed,Can Tho,n/a,n/a,Vietnam,other,"1990s duckweed-for-livestock research (Men et al. 1996, LRRD; prior lead)",Lemna/duckweed,Research only,Public,,not verified this wave (checked 2026-09-23),,VN-direct,Low,No commercial duckweed food or feed producer found in VN this wave.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Can Tho,
CO-074,FiBL / Binca Seafoods duckweed project (lead),FiBL - Binca Seafoods,duckweed,unknown,unknown,2019 (lead),Switzerland / Vietnam,other,Duckweed for aquafeed pilot (prior lead),Duckweed,Outcome unpublished (prior lead),unknown,,not verified this wave (checked 2026-09-23),,VN-direct,Low,Prior lead only.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-075,"Shiok Meats (assets acquired by UMAMI Bioworks, 2024)",Shiok Meats,cultivated,n/a (Singapore),Proposed joint R&D centre in VN with Minh Phu (never evidenced),2018,Singapore,startup,Cultivated shrimp and crustacean meat,Crustacean cell lines,MOU with Minh Phu (27-28 Jul 2022) for VN R&D centre and feasibility of VN plant; Series B (~USD 18 m round) included Vinh Hoan (2021),About USD 30 m raised by 2021,,"merged into UMAMI Bioworks (stock deal, 12 Mar 2024); MOU status unknown (checked 2026-09-23)",ECO-60; ECO-61; ECO-62; ECO-63; ECO-23,VN-direct,Medium,Only cultivated project ever proposed for VN soil. No sign it proceeded.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-076,UMAMI Bioworks,UMAMI Bioworks,cultivated,n/a (Singapore),n/a,2020,Singapore,startup,Cultivated seafood; acquired Shiok assets incl. crustacean cell-line IP,Cell lines,No VN activity found,n/a,,active; no VN activity found (checked 2026-09-23),ECO-63,VN-adjacent,Medium,"Holder of the Shiok-Minh Phu relationship, if any survives.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-077,Minh Phu Seafood Corp,Tap doan Thuy san Minh Phu,cultivated,Ca Mau,Ca Mau (Ca Mau incl. former Bac Lieu),1992 (not verified),Vietnam,corporate,Shrimp processor and exporter; cultivated-shrimp MOU partner,n/a,VN's largest shrimp exporter (press),Listed (UPCoM: MPC),,"active; cultivated MOU dormant (checked 2026-09-23) | MOU signed 26 Jul 2022: joint R&D centre (site 'not yet available'), feasibility of cultivated crustacean plants in Vietnam, no timeline or amounts. UMAMI Bioworks (successor to Shiok) lists partners Asahi Kasei, Maruha Nichiro, Steakholder Foods, Cell-Agritech and Triple Bar; no Vietnamese partner",ECO-61; ECO-62; VCO-22; VCO-23,VN-direct,Medium,CEO Le Van Quang said parties 'will continue to discuss' (2022).,wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-22; VCO-23, Medium] cultivated MOU status: was ""MOU with Shiok (Jul 2022); no progress found""; wave 2: ""MOU signed 26 Jul 2022: joint R&D centre (site 'not yet available'), feasibility of cultivated crustacean plants in Vietnam, no timeline or amounts. UMAMI Bioworks (successor to Shiok) lists partners Asahi Kasei, Maruha Nichiro, Steakholder Foods, Cell-Agritech and Triple Bar; no Vietnamese partner"" (appended to status). Absence of evidence supports 'dormant'. Confirm with Minh Phu IR.",Ca Mau,
CO-078,Avant Meats,Avant,cultivated,n/a (Hong Kong),Hong Kong Science Park,2018,Hong Kong,startup,Cultivated fish (fish maw) and cell-derived skincare,Fish cell lines,USD 3.1 m seed (Dec 2020); minority stake held by Vinh Hoan via Vinh Technology (Jan 2021),USD 3.1 m seed,,status 2026 unknown (checked 2026-09-23),ECO-58; ECO-59,VN-direct,Medium,Partnership aimed at using Vinh Hoan's manufacturing and sales network; no VN facility announced.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-079,Vinh Hoan Corp (Vinh Technology Pte Ltd),Cong ty CP Vinh Hoan,other,Dong Thap,"Cao Lanh, Dong Thap (Dong Thap incl. former Tien Giang)",1997 (not verified),Vietnam,corporate,Pangasius exporter; corporate venture unit Vinh Technology (Singapore) for agri/food/biotech incl. alt protein,n/a (buyer of insect meal),"Stake in Avant (2021); Shiok Series B (2021); Entobel offtake >=15,000 t insect protein 2025-2027 (Feb 2024)",Listed (HOSE: VHC),vinhhoan.com,active (checked 2026-09-23),ECO-05; ECO-58; ECO-59; ECO-60; VCO-24,VN-direct,High,"The most active VN corporate in alternative protein, as investor and as feed buyer. | No 2024-2026 investor update on Avant, Shiok/UMAMI or Entobel found on the Vinh Hoan investor page; VINH Technology still listed as a division",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-24, Low] alt-protein activity 2024-2026: was ""Avant, Shiok stakes; Entobel offtake""; wave 2: ""No 2024-2026 investor update on Avant, Shiok/UMAMI or Entobel found on the Vinh Hoan investor page; VINH Technology still listed as a division"" (appended to notes). Absence on a paginated page; stake values not disclosed.",Dong Thap,Dong Thap
CO-080,Entobel,Entobel,insect (benchmark),HCMC (former Ba Ria-Vung Tau) (main plant); HQ Singapore,"Dong Nai (1,000 t/yr, since 2019, R&D centre); Vung Tau area, HCMC (former Ba Ria-Vung Tau) (10,000 t/yr, opened 23 Nov 2023)",2014 (not verified this wave),Singapore (Belgian founders),startup (scale-up),"H-Meal (BSF larvae meal, min 53% crude protein), H-Oil (lauric-rich), H-Ferti (frass)",Black soldier fly larvae on agri-food by-products incl. HEINEKEN Vietnam brewery by-products,"Design capacity about 11,000 t/yr insect protein (1,000 + 10,000); 150 jobs (2023), >200 staff (2026); capacity 12x since 2022; 50-level vertical rearing; Indonesia expansion planned","Series B 2022: Mekong Capital USD 25 m, Dragon Capital USD 5 m; IFC USD 2.5 m (board 23 Feb 2023); project cost USD 32.5 m; company cites USD 33 m Series B | Confirmed IFC-46903 'CnC-Entobel': USD 2.5 m, instrument described as an 'Upstream Collaboration Agreement'; project cost USD 32.5 m; board 23 Feb 2023; status Active; 10,000 t BSF plant in Ba Ria-Vung Tau (now HCMC). IFC-45769 could not be found (IFC portal 404; not on EWS)",entobel.com,"active (checked 2026-09-23) | Certified B Corp (announced 5 Feb 2025). No 2025-2026 output, feedstock or Indonesia update on company news page; Mekong Capital page still says 'preparing' Indonesia expansion, no site or date",ECO-01; ECO-02; ECO-03; ECO-04; ECO-05; ECO-06; VCO-28; VCO-18; VCO-19; VCO-20,VN-direct,High,"Benchmark incumbent for any novel feed protein. Capacity is design capacity, not measured output. | Skretting Vietnam and Entobel announced a strategic partnership on 26 Nov 2025; commercial production of Skretting shrimp feed containing Entobel H-Meal started in November 2025, described as the first commercial insect-meal shrimp feed in Vietnam. H-Meal footprint about 1 kg CO2 per kg (claimed)",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-28, Medium] partnerships: was ""Skretting 'partnered with Entobel' (unverified)""; wave 2: ""Skretting Vietnam and Entobel announced a strategic partnership on 26 Nov 2025; commercial production of Skretting shrimp feed containing Entobel H-Meal started in November 2025, described as the first commercial insect-meal shrimp feed in Vietnam. H-Meal footprint about 1 kg CO2 per kg (claimed)"" (appended to notes). Company release. No inclusion rate or volume disclosed. || [wave 2 VERIFY-CO, VCO-18; VCO-19, Medium] status / certifications: was ""Active; >200 staff (2026)""; wave 2: ""Certified B Corp (announced 5 Feb 2025). No 2025-2026 output, feedstock or Indonesia update on company news page; Mekong Capital page still says 'preparing' Indonesia expansion, no site or date"" (appended to status). Output remains undisclosed. Treat 11,000 t/yr as design capacity only. || [wave 2 VERIFY-CO, VCO-20, Medium] funding (IFC): was ""IFC USD 2.5 m (IFC-46903)""; wave 2: ""Confirmed IFC-46903 'CnC-Entobel': USD 2.5 m, instrument described as an 'Upstream Collaboration Agreement'; project cost USD 32.5 m; board 23 Feb 2023; status Active; 10,000 t BSF plant in Ba Ria-Vung Tau (now HCMC). IFC-45769 could not be found (IFC portal 404; not on EWS)"" (appended to funding_known). Secondary host of IFC data. 'Upstream' suggests IFC project-development funding, not a standard equity or loan; check the IFC SII page.",Ho Chi Minh City,Ba Ria-Vung Tau
CO-081,Cricket One,Cricket One,insect (benchmark),Dong Nai (former Binh Phuoc) / HCMC office,"Loc Ninh area, Dong Nai (former Binh Phuoc): 4 company farms + about 20 satellite farms; processing plant",c.2016,Vietnam (Singapore investors),startup,"Cricket powders (defatted, full-fat, ultra-fine), whole crickets, oil, restructured cricket meat, frass",House crickets fed plant-based feed (developed with HCMC Nong Lam University),"Claims: >100 m crickets/month (2020); about 100 t fresh/month at full capacity (Feb 2023); 1,000 t/yr processing with 10,000 t/yr 5-yr target (Oct 2023); about 150 t live/month (Oct 2024); exports to EU, North America, Japan (20+ countries); HACCP, FSSC 22000","Pre-Series A 7-figure USD (Nov 2020, lead Corecam Capital, Masik Enterprises); Series A 7-figure USD (Oct 2023, Robert Alexander Stone, Cub Capital)",,active as of Oct 2024 (last evidence); 2025-26 unknown (checked 2026-09-23) | Unchanged: company site did not load (timeout). No 2025-2026 evidence found,ECO-07; ECO-08; ECO-09; ECO-10; ECO-11,VN-direct,Medium,"All volumes are company claims and inconsistent in unit (count, fresh t, live t).",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM; wave 2 re-check not completed)","[wave 2 VERIFY-CO, none, Low] status: was ""Last evidence Oct 2024""; wave 2: ""Unchanged: company site did not load (timeout). No 2025-2026 evidence found"" (appended to status). Unverified. Check Dong Nai business registry or LinkedIn. || [wave 2 VERIFY-CO] Not re-verified in wave 2 (site unavailable, DNS failure or not reached).",Dong Nai; Ho Chi Minh City,
CO-082,HEINEKEN Vietnam,HEINEKEN Viet Nam,other,Ho Chi Minh City,Breweries (not itemised),1991 in VN,Netherlands,multinational,Brewery by-products supplied to Entobel,Spent grain / brewery by-products,Volumes not disclosed,n/a,,active (checked 2026-09-23),ECO-01,VN-direct,Medium,Feedstock partner in Entobel's 'circular ecosystem'.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
