record_id,doi,title,year,institutions,topic,key_result,relevance,cited_by,origin,source_ids,evidence_label,confidence,notes
PUB-063,10.46989/001c.92338,Effect of Inclusion of Fresh or dried black soldier fly larvae in Diets on Snakehead Fish’s Growth Performance and Chemical Composition ( Channa sp. ),2024,not established,insect: BSF in snakehead feed,Fresh or dried BSFL inclusion in snakehead diets; growth and composition,med,,wave 1 RND,RD-01,VN-direct,Medium,benchmark only; key result from Scite abstract/record read 2026-09-23
PUB-064,10.13057/biodiv/d241235,Genetic diversity of black soldier flies in Vietnam based on DNA COI sequence,2024,VNUA,insect: BSF genetics,Genetic diversity of Vietnamese BSF populations (COI),low,,wave 1 RND,RD-01,VN-direct,High,benchmark only; key result from Scite abstract/record read 2026-09-23
PUB-065,10.1111/anu.12648,Utilization of fermented soybean meal for fishmeal substitution in diets of Pacific white shrimp ( Litopenaeus vannamei ),2018,Nha Trang University (probable),aquafeed: fermented soybean meal in shrimp,"FSBM crude protein ADC 88.8%, equal to local fishmeal; optimum fishmeal replacement 253.6 g/kg without growth loss in L. vannamei",high,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-066,10.1111/are.13147,"Effects of replacing fish meal with soya protein concentrate on growth, feed efficiency and digestibility in diets for snakehead, Channa striata",2016,Can Tho University,aquafeed: soy protein concentrate in snakehead | T19 Fishmeal replacement,SPC replaced 40% of fishmeal protein with no loss; 60-100% replacement cut growth and digestibility,high,23,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,High,key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: Can Tho University (wave 1) | Wave 2 biblio: SPC replaced 40% of fishmeal protein (wave 1 RD-46). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-067,10.1016/j.aquaculture.2015.06.020,Development of formulated diets for snakehead (Channa striata and Channa micropeltes): Can phytase and taurine supplementation increase use of soybean meal to replace fish meal?,2015,Can Tho University,aquafeed: soybean meal in snakehead,Formulated snakehead diets; phytase and taurine to raise soybean meal use,high,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-068,10.1111/anu.12915,"Spent brewer's yeast as a replacement for fishmeal in diets for giant freshwater prawn (Macrobrachium rosenbergii), reared in either clear water or a biofloc environment",2019,Can Tho University (with Swedish partners),aquafeed: spent brewer's yeast in prawn,Spent brewer's yeast replaced up to 60% of fishmeal protein in giant freshwater prawn without growth or survival loss,high,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-069,10.3390/aquacj4040019,"Gradual Replacement of Soybean Meal with Brewer’s Yeast in Fingerling Nile Tilapia (Oreochromis niloticus) Diet, Resulting in a Polynomial Growth Pattern, Independent of Whether Reared in a Biofloc or Clear-Water System",2024,Can Tho University (with SLU Sweden),aquafeed: brewer's yeast replacing soybean meal in tilapia,SBM protein replaced by spent brewer's yeast; polynomial growth response; biofloc improved growth,high,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-070,10.3390/foods11111531,Protein Recovery of Tra Catfish (Pangasius hypophthalmus) Protein-Rich Side Streams by the pH-Shift Method,2022,Nha Trang University,fish side-stream protein,pH-shift recovered 83.0-88.9% protein from Tra catfish side streams; isolates <10% of raw fat,med,,wave 1 RND,RD-01,VN-direct,High,"side-stream protein, not alternative protein; key result from Scite abstract/record read 2026-09-23"
PUB-071,10.1111/anu.13404,"Dietary supplementation of fish protein hydrolysate in high plant protein diets modulates growth, liver and kidney health, and immunity of barramundi ( Lates calcarifer )",2021,Nha Trang University (with Deakin University),aquafeed: high plant protein diets,Fish protein hydrolysate in high plant protein diets modulated growth and health of barramundi,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-072,10.1111/anu.12632,Effect of ingredient particle sizes and dietary viscosity on digestion and faecal waste of striped catfish (Pangasianodon hypophthalmus ),2017,Can Tho University (with Wageningen),aquafeed: digestion in striped catfish,Ingredient particle size and dietary viscosity alter digestion and faecal waste in striped catfish,med,,wave 1 RND,RD-01,VN-direct,High,Nuffic-era collaboration; key result from Scite abstract/record read 2026-09-23
PUB-073,10.1007/s40071-016-0144-z,"Growth performance, feed utilisation and biological indices of Tra catfish (Pangasianodon hypophthalmus) cultured in net cages in pond fed diets based on locally available feed resources",2016,Can Tho University,aquafeed: local feed resources for Tra catfish,Growth of Tra catfish in net cages fed diets from locally available resources,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-074,10.15625/1811-4989/18102,The growth and probiotic characteristics of Bacillus velezensis BS in soybean meal used as synbiotic-like preparations for Litopenaeus vannamei culture,2023,not established (Hanoi),fermented soybean meal / probiotic,Bacillus velezensis BS grown in soybean meal as synbiotic-like preparation for L. vannamei,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-075,10.13141/jve.vol9.no2.pp99-105,Isolation and selection of probiotic bacteria capable of forming biofilm for fermenting soybean meal,2018,not established (Hanoi),fermented soybean meal,Isolation of biofilm-forming probiotic bacteria for fermenting soybean meal,low,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-076,10.3390/pr7060347,"Manufacturing Process, In Vivo and In Vitro Digestibility Assessment of an Enteral Feeding Product Hydrolyzed from Locally Available Ingredients Using Commercial Enzymes",2019,not established,protein digestibility method,In vivo and in vitro digestibility assessment of an enteral feeding product hydrolysed from local ingredients,low,,wave 1 RND,RD-01,VN-direct,Medium,evidence of digestibility assay capacity; key result from Scite abstract/record read 2026-09-23
PUB-077,10.1007/s00217-021-03810-1,Plant-based meat analogue (PBMA) as a sustainable food: a concise review,2021,not verified,T01 Plant-based meat,,,240,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Low,Most-cited hit. Author team appears Korea/Malaysia-based; VN tag may be a false positive. Verify before citing as VN output. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-078,10.1007/s13668-024-00575-3,Plant-based Meat Analogs: Perspectives on Their Meatiness ...,2024,not verified,T01 Plant-based meat,,,18,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Review. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-079,10.1093/ijfood/vvae080,Textural properties of plant-based meat analogue extrudates ...,2025,not verified,T01 Plant-based meat,,,9,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Only extrusion experiment found for VN; also matched soy protein query. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-080,10.1088/1755-1315/1597/1/012003,Effects of methyl cellulose and guar gum on cooking ...,2026,not verified,T01 Plant-based meat,,,0,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Conference paper (IOP EES). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-081,10.3390/fishes5020014,Alternative feed raw materials modulate intestinal ...,2020,not verified,T05 Soy protein,,,18,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Aquafeed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-082,10.32508/stdj.v20ik7.1210,Substitution of peanut protein for soy protein ...,2018,VNU-HCM journal; institution not verified,T05 Soy protein,,,0,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Food use of peanut protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-083,10.1186/s40104-024-01146-w,Exploring single cell microbial protein as a sustainable fishmeal alternative in yellowtail kingfish ...,2025,not verified (likely international-led),T07 Single cell protein,,,15,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Most-cited VN-tagged SCP paper; species not farmed in VN. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-084,10.1007/s11274-016-2168-3,The construction and use of versatile binary vectors carrying pyrG auxotrophic marker ...,2016,"VNU Hanoi HUS (probable, wave 1)",T08 Aspergillus oryzae,,,41,wave 2 BIBLIO (top-cited),BIB-01; BIB-06,VN-direct,Medium,Fungal genetic tools. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-085,10.1007/s12649-022-01724-x,Valorization of cassava bagasse using co-culture of Aspergillus ...,2022,not verified,T08 Aspergillus oryzae,,,8,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Closest item to cassava-residue fermentation; check if protein enrichment is an endpoint. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-086,10.1007/s00253-021-11493-7,Yeast cell surface displaying VP28 antigen ...,2021,not verified,T11 Pichia pastoris,,,16,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Shrimp WSSV vaccine; aquaculture link. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-087,10.1016/j.jbiosc.2015.06.009,Characterization of a novel manganese dependent endoglucanase ...,2016,not verified,T11 Pichia pastoris,,,17,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Enzyme. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-088,10.1016/j.envpol.2021.117492,Perspective of Spirulina culture with wastewater into a sustainable circular bioeconomy,2021,not verified,T14 Spirulina,,,120,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Most-cited VN-tagged spirulina item; environmental angle. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-089,10.1016/j.biortech.2019.121519,Liquid biphasic flotation for the purification of ...,2019,not verified,T14 Spirulina,,,85,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Downstream purification (Malaysia-led network likely). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-090,10.1016/j.fuel.2020.117645,Performance and emission analysis of a diesel engine ... (spirulina biodiesel),2020,not verified,T14 Spirulina,,,108,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,"Illustrates that top-cited VN spirulina work is energy, not protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-091,10.54644/jte.70b.2022.1213,Protein extraction from Spirulina platensis with the cellulase ...,2022,HCMC University of Technology and Education (journal publisher; affiliation not verified),T14 Spirulina,,,5,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Low,Only spirulina protein-as-ingredient item surfaced. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-092,10.1016/j.fshw.2019.03.001,Microalgae: A potential alternative to health supplementation for humans,2019,VNU Hanoi co-author likely (network paper); not verified,T15 Microalgae protein,,,821,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Low,"Very highly cited review; VN is a co-author node, not the lead lab. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-093,10.3389/fbioe.2019.00396,Microalgal protein extraction from Chlorella vulgaris FSP-E ...,2019,not verified (likely Malaysia-led),T15 Microalgae protein,,,88,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Protein extraction method. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-094,10.1111/tpj.14049,Generating a high-confidence reference genome map of the duckweed Spirodela polyrhiza,2018,not verified (IPK Gatersleben network),T17 Duckweed,,,74,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,"Genomics, not protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-095,10.1016/j.jtice.2018.01.035,Direct transesterification of black soldier fly larvae ...,2018,not verified (Taiwan-based network),T18 Black soldier fly,,,99,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,"Biodiesel, not feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-096,10.3390/ani10101876,Partially defatted Hermetia illucens larva meal in diet ...,2020,not verified,T18 Black soldier fly,,,61,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Feed trial. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-097,10.1371/journal.pone.0232278,Growth and health of juvenile barramundi challenged with DO hypoxia after feeding various inclusions ...,2020,"Nha Trang University with Deakin (probable, wave 1)",T19 Fishmeal replacement,,,29,wave 2 BIBLIO (top-cited),BIB-01; BIB-06,VN-direct,Medium,Aquafeed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-098,10.1016/j.aqrep.2021.100875,Enzymatic tuna hydrolysate supplementation modulates growth ...,2021,not verified,T19 Fishmeal replacement,,,18,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,By-product protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-099,10.4314/sajas.v46i3.1,Effects of replacing marine fishmeal with graded levels of Tra catfish by-product protein hydrolysate ...,2016,not verified,T19 Fishmeal replacement,,,4,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Pangasius by-product protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-100,10.46989/001c.156390,Red seaweed (Gracilaria tenuistipitata) meal as partial substitute for fishmeal protein ...,2026,not verified,T19 Fishmeal replacement,,,0,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Newest item. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-101,10.3390/ani9040155,Potential of insect meals as protein sources ...,2019,not verified,T20 Alternative protein,,,33,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-102,10.1016/j.aquaculture.2020.735383,Complete replacement of fishmeal by soybean and poultry ...,2020,not verified,T20 Alternative protein,,,32,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-103,10.1016/j.appet.2025.107974,Consumer alternative protein choice in climate change ...,2025,not verified,T20 Alternative protein,,,4,wave 2 BIBLIO (top-cited),BIB-01,VN-direct,Medium,Demand side. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
