record_id,name,type,owner,owner_country,location_province_current,location_province_former,capacity,capacity_unit,year,relevant_capability,open_to_third_parties,source_ids,evidence_label,confidence,notes,last_verified,change_log,province_current,province_former
FAC-058,Cargill Vietnam (group),feed mill,Cargill Vietnam,USA,multiple,,11 plants (2023),plants,2023-2025,Livestock feed; exited aquafeed May 2025 (closed Dong Thap and Long An aquafeed plants),unknown,IND-47; IND-43,VN-direct,Low,Exit reported by Tepbac; verify with Cargill.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-059,Japfa Comfeed Vietnam,feed mill,Japfa Ltd,Indonesia/Singapore,multiple; aquafeed in Tay Ninh,Long An (aquafeed),7 feed mills + 1 aquafeed plant,plants,2026,"Livestock and aquafeed, 1,500+ satellite farms",unknown,IND-43,VN-direct,Low,"Revenue ~VND 22,630 bn (2025).","2026-09-23 (wave 1, INDUSTRY)",,,
FAC-060,Grobest Vietnam,aquafeed,Grobest,Taiwan,Dong Nai,Dong Nai,2 plants,plants,2026,Shrimp feed,unknown,IND-43; IND-41; VCO-30,VN-direct,Low,Among top six shrimp feed producers.,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-30, Low] Company site lists Vietnam among 8 countries but gives no plant data; plant locations remain from wave 1 trade press.",Dong Nai,Dong Nai
FAC-061,Uni-President Vietnam (aquafeed),aquafeed,Uni-President,Taiwan,Ho Chi Minh City; Dong Thap; Khanh Hoa; Da Nang,Binh Duong; Tien Giang; Ninh Thuan; Quang Nam,not published,,2026,Shrimp feed incl. probiotic and functional feeds,unknown,IND-43; IND-41; VCO-29,VN-direct,Low,"Revenue ~VND 14,200 bn (2025, all businesses).","2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-29, Medium] location_province_current: ""not stated"" -> ""Ho Chi Minh City; Dong Thap; Khanh Hoa; Da Nang"". Company sites: Song Than 2 IZ (HCMC, former Binh Duong; HQ), Dong Thap (former Tien Giang), Khanh Hoa (former Ninh Thuan), Da Nang (former Quang Nam). The site does not say which site makes aquafeed. || [wave 2 VERIFY-CO, VCO-29, Medium] location_province_former: """" -> ""Binh Duong; Tien Giang; Ninh Thuan; Quang Nam"". Province mapping by VERIFY-CO.",Ho Chi Minh City; Dong Thap; Khanh Hoa; Da Nang,Binh Duong; Tien Giang; Ninh Thuan; Quang Nam
FAC-062,Tongwei Vietnam,aquafeed,Tongwei,China,not stated,,not published,,2026,Aquafeed; top-six shrimp feed maker,unknown,IND-43; IND-41,VN-direct,Low,,"2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,,
FAC-063,Skretting Vietnam,aquafeed,Skretting (Nutreco),Netherlands,not stated,,~100000,t/yr supplied,2026,Shrimp and fish feed; partnership with Entobel on insect meal,unknown,IND-43; VCO-27,VN-direct,Low,,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-27, Medium] Office at Alpha Tower, Xuan Hoa ward, HCMC; plant locations and capacity still not published; ~100,000 t/yr remains a wave 1 trade-press figure.",,
FAC-064,VNVC Vaccine and Biologics plant,biologics,VNVC (Vietnam Vaccine JSC),Vietnam,Tay Ninh,"Long An (Phu An Thanh IZ, Ben Luc)",100,million doses/yr,2027 (planned),"EU/WHO GMP vaccine plant, filling lines, 1,500 m2 R&D incl. mRNA; Sanofi tech transfer; designed by Rieckermann",N,IND-31; IND-32; IND-65,VN-direct,Medium,"Groundbreaking 27 May 2025; operation end-2027; production 2028. Investment reported as VND 2,000 bn (2025) and VND 2,500 bn (2026).","2026-09-23 (wave 1, INDUSTRY)",,Tay Ninh,Long An
FAC-065,IVAC Suoi Dau facility,biologics,"Institute of Vaccines and Medical Biologicals (IVAC), Ministry of Health",Vietnam,Khanh Hoa,Khanh Hoa (Cam Lam),7000-8000,L/yr tetanus antitoxin raw serum (plus flu vaccine),2008-2026,WHO-GMP egg-based seasonal flu vaccine; equine sera; animal house,N,IND-36,VN-direct,Medium,No bioreactor volumes published.,"2026-09-23 (wave 1, INDUSTRY)",,Khanh Hoa,Khanh Hoa
FAC-066,Vabiotech,biologics,"Vaccine and Biological Production Company No.1 (Vabiotech), MOH",Vietnam,Hanoi,Hanoi,not published,,2026,"WHO-GMP lines: recombinant hepatitis B (yeast-expressed), hepatitis A, JE, oral cholera; vial filling",N,IND-37,VN-direct,Medium,Only VN maker found with recombinant yeast expression at GMP scale; volumes not published.,"2026-09-23 (wave 1, INDUSTRY)",,Ha Noi,Ha Noi
FAC-067,Dabaco Dacovet veterinary vaccine plant,biologics,Dabaco Group,Vietnam,Bac Ninh (plant location not confirmed),Bac Ninh,200,million doses/yr,2024,"GMP-WHO (certified 3 Aug 2024); ASF, FMD and other vaccines; German and Italian equipment",N,IND-33,VN-direct,Medium,Investment ~VND 300 bn.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-068,AVAC Vietnam,biologics,AVAC Vietnam JSC,Vietnam,Hung Yen,Hung Yen (Nhu Quynh),3.7,million ASF doses produced (cumulative to Dec 2024),2024,GMP veterinary vaccines; ASF vaccine exported to 5 countries,N,IND-34,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,Hung Yen,Hung Yen
FAC-069,Navetco,biologics,National Veterinary JSC (Navetco),Vietnam,Ho Chi Minh City (HQ; plant location not verified),,2.2,million ASF doses produced (cumulative to Dec 2024),2024,Veterinary vaccines,N,IND-34,VN-direct,Low,,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-070,Hanvet GMP-WHO plant,biologics,Hanvet (Hanoi Veterinary Pharmaceutical JSC),Vietnam,Hung Yen,"Hung Yen (Pho Noi A IZ, My Hao)",not published,,2008,"GMP-WHO lines incl. inactivated bacterial vaccines; injectables; 40,000 m2 site",N,IND-35,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,Hung Yen,Hung Yen
FAC-071,Veterinary vaccine sector (aggregate),biologics,12 manufacturers,Vietnam,national,,12 GMP-WHO plants; 218 vaccine types,,2024,Cell culture and bacterial fermentation at small GMP scale; USD 30-40 m per plant,N,IND-34,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-072,Saigon Hi-Tech Park (SHTP),park,HCMC People's Committee (SHTP Management Board),Vietnam,Ho Chi Minh City,Ho Chi Minh City (former Thu Duc/District 9),913,ha (165 projects; USD 14.08 bn),2026,"Incubator SHTP-IC, SHTP Labs R&D centre, Biotech Center; CIT and land incentives for high-tech","Y (tenancy, incubation)",IND-57; IND-58,VN-direct,Medium,Food fermentation tenants not identified.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-073,HCMC Biotechnology Center,pilot,HCMC (reported under SHTP management),Vietnam,Ho Chi Minh City,Ho Chi Minh City (District 12 area; Trung My Tay ward),not published,,2026,Nine departments incl. microbial and food biotechnology; sells microbial preparations; lab design consulting,unknown,IND-59; IND-57,VN-direct,Low,Pilot fermenter sizes and service terms not published online.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-074,Food Industries Research Institute (FIRI),pilot,Ministry of Industry and Trade,Vietnam,Hanoi,Hanoi (HCMC branch),not published,,2026,"ISO/IEC 17025 lab, microbial culture collection, industrial microbiology centre, experimental production and technology transfer centre; works with CP, CJ, Habeco, Vissan","Y (contract research, testing, tech transfer)",IND-60,VN-direct,Medium,Pilot equipment scale not published.,"2026-09-23 (wave 1, INDUSTRY)",,Ha Noi,Ha Noi
FAC-075,National Institute for Food Control (NIFC),lab,Ministry of Health,Vietnam,Hanoi,Hanoi (HCMC branch at Tan Cang-Cat Lai),,,2026,"ISO/IEC 17025:2017; top MOH food testing lab; also feed, proficiency testing, reference materials, certification",Y,IND-61,VN-direct,High,,"2026-09-23 (wave 1, INDUSTRY)",,Ha Noi,Ha Noi
FAC-076,Eurofins Sac Ky Hai Dang,lab,Eurofins Scientific,France,Ho Chi Minh City,Ho Chi Minh City,,,2026,"Food and feed testing: nutrition, contaminants, allergens, microbiology",Y,IND-62,VN-direct,Medium,Accreditation details not shown on homepage.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-077,QUATEST 3,lab,"Directorate for Standards, Metrology and Quality (state)",Vietnam,Ho Chi Minh City,Ho Chi Minh City,,,2026,"Testing, certification, calibration incl. agricultural products and food",Y,IND-63,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-078,Vedan Vietnam in-house lab and application lab,lab,Vedan Vietnam,Taiwan,Dong Nai,Dong Nai,,,2026,"ISO/IEC 17025 lab; starch-derivatives R&D (since 2017); Kjeldahl, homogeniser, texture analyser, application kitchen",unknown,IND-02; IND-03,VN-direct,Medium,Potential partner lab for starch/protein texture work.,"2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-079,HTG Engineering and Trading JSC,other,HTG,Vietnam,Ho Chi Minh City,Ho Chi Minh City,USD 3.881 m (Ajinomoto contract),,not stated,"M&E contractor: cold storage (-25 C), class 10,000 cleanrooms for Ajinomoto (3 plants), also Coca-Cola, PepsiCo",Y (contractor),IND-64,VN-direct,Low,Fermenter fabrication capability not stated.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-080,TECOVA,other,TECOVA,Vietnam,not stated,,,,2025,"GMP/ISO plant design, validation and compliance consulting (pharma, food)",Y (consultant),IND-65,VN-direct,Low,Role in VNVC plant not stated.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-081,Rieckermann,other,Rieckermann,Germany,not stated,,,,2025,Process engineering and design; designed VNVC vaccine plant,Y (contractor),IND-31,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-082,VAL Phu My soybean crushing plant,soy,"Vietnam Agribusiness Co., Ltd (VAL; Bunge-Wilmar JV)","USA / Singapore (Bunge, Wilmar)",Ho Chi Minh City,Ba Ria-Vung Tau (Phu My 1 Industrial Park),2.6 Mt soybeans/yr; nearly 2 Mt soybean meal/yr,t/yr,2025,Soybean crushing (soybean meal and oil); no food-grade or protein-isolate line mentioned,not stated,VCO-16,VN-direct,Medium,Second line (USD 100 m) in Dec 2025; target 30% of domestic soybean meal market. Added from wave 2 companies_new.csv.,"2026-09-23 (wave 2, VERIFY-CO)",[wave 2 VERIFY-CO] New facility row added from companies_new.csv (VAL).,Ho Chi Minh City,Ba Ria-Vung Tau
