record_id,actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AIB-A01,AIB-A01,Vinamilk (Vietnam Dairy Products JSC),manufacturers,"Listed dairy and plant-milk maker; also chilled beef (Vinabeef, 51%)",Vietnam; exports and subsidiaries in Cambodia and Laos,"Premium high-protein, low-sugar, lactose-free adult nutrition; plant milk as a health solution; traceability and label compliance; Net Zero 2050; 2025 launches oat milk and two plant yoghurts; high-protein dairy (Green Farm Cao Đạm); beef","""sữa thực vật không còn được xem là sản phẩm thay thế sữa động vật, mà đang được định vị như một giải pháp dinh dưỡng hỗ trợ các mục tiêu sức khỏe cụ thể"" (AR 2025)",Vietnam,High: only large confirmed buyer of a non-soy isolate (pea); also promotes dairy protein as more absorbable than plant protein,AIB-01; AIB-02; AIB-03; AIB-04,VN-direct,High,"Supplier criteria: price competitiveness, quality, standards; geographic diversification of supply. No plant-protein or protein-diversification target."
AIB-A02,AIB-A02,Quang Ngai Sugar (QNS) and Vinasoy,manufacturers,Listed sugar and soy-milk group; integrated soybean breeding,"Vietnam; exports to Japan, Korea, US, Taiwan",Plant nutrition brand (soy and seeds); renew core soy milk; expand into new categories; invest in soybean sourcing areas; exports; school soy-milk donations,"""Khẳng định vị thế của Vinasoy là một nhãn hàng dinh dưỡng từ thực vật"" (Board report to 2026 AGM); ""Kiến tạo dưỡng chất lành từ đậu nành và hạt"" (May 2026)",Vietnam,High: largest plant-protein food maker by volume (264 million litres in 2025); may be partner or competitor rather than buyer of protein ingredients,AIB-05; AIB-06; AIB-07; AIB-08,VN-direct,High,"2025: volume +4%, revenue +14%, Veyo +50%, premium Fami +36%, exports +126%. 2026 risk: rising marketing costs for plant nutrition."
AIB-A03,AIB-A03,"TH Group (TH true MILK, TH true NUT, TH true OAT)",manufacturers,Private dairy and plant-milk maker,Vietnam,"Low sugar, natural sweetening (dates), organic dairy; oat milk since 2023","""xu hướng giảm đường"" (sugar-reduction trend) as positioning (press, Feb 2025)",Vietnam,Low: no stated protein or plant-protein interest found; walnut nut milk contains cow's milk,AIB-09,VN-direct,Low,Private company; no annual report. Press only.
AIB-A04,AIB-A04,Nutifood,manufacturers,"Private nutrition, medical nutrition and dairy maker; research institute in Sweden",Vietnam; Sweden,"Evidence-based nutrition, clinical studies with military hospital; plant-based formulated nut milk for diabetics","Värna Life ""sữa hạt công thức"" with 2.35 g protein per 100 ml, lactose-free, soy-extract base (product page)",Vietnam,Medium: buyer of dairy proteins; potential buyer of plant isolates for medical nutrition; slow qualification,AIB-10,VN-direct,Medium,Part III covers the military hospital MOU (BUY-19).
AIB-A05,AIB-A05,Masan Group: Masan MEATLife (MML) and Masan Consumer (MCH),manufacturers,Listed conglomerate: meat processing and FMCG,Vietnam,"MML as 'consumer protein platform' shifting to branded, marinated and processed meat; innovation products 31% of category revenue; MCH 16 Mega Brands; no plant-based","""moving away from the traditional meat producer model toward a modern consumer protein platform"" (Masan, Feb 2026)",Vietnam,Medium: natural maker of hybrids with own retail shelf; no stated interest in plant or blended protein,AIB-11; AIB-12; AIB-13,VN-direct,Medium,"Branded meat about 2% of market (AGM 2026); 2026 targets MML revenue +20%, MCH +15%."
AIB-A06,AIB-A06,"WinCommerce (WinMart, WinMart+; Masan)",manufacturers,"Grocery retailer, about 5,141 stores mid-2026","Vietnam, increasingly rural","Scale (about 6,100 stores end 2026; 13,000 by 2030); 70% of new stores rural; 25 to 50 Mega House Brands","""Mở rộng quy mô, gia tăng hiệu quả"" (AGM 2026)",Vietnam,Medium: one listing reaches thousands of stores; house-brand route; MML controls about 61% of in-store protein category,AIB-12; AIB-13,VN-direct,Medium,"No plant, chay or supplier criteria found."
AIB-A07,AIB-A07,VISSAN (Vietnam Livestock Technology JSC),manufacturers,Listed state-linked meat processor with chay line,Vietnam (HCMC base); small exports,"Processed food 20,350 t in 2026; relocated slaughter plant; own pig farm (32,000 head); price stabilisation; 2026 Vu Lan chay launches","""giảm biên lợi nhuận để giữ giá bán ổn định phục vụ người dân thành phố"" (AGM 2026, press)",Vietnam,High: already uses soy protein in 31% of meat formulations (Part III); chay maker; no chay target,AIB-14; AIB-15; AIB-16,VN-direct,High,Closes OQ-181 negatively: no chay target at 2026 AGM.
AIB-A08,AIB-A08,"CJ Foods Vietnam (CJ Cau Tre, bibigo)",manufacturers,Korean-owned frozen food maker,Vietnam; parent global,"Frozen dumplings and spring rolls incl. chay; parent PlanTable plant-based brand targeted KRW 200 billion sales by 2025 in US, UK, Germany, Japan","Pack claim ""100% Protein từ thực vật"" on bibigo Healthy Mandu Chay (Part III LE-25)",Vietnam (production); parent markets outside Vietnam,Medium: chay dumpling maker using soy protein; parent rationale includes animal-disease limits on meat exports,AIB-17,general,Medium,No PlanTable launch in Vietnam found.
AIB-A09,AIB-A09,Acecook Vietnam,manufacturers,Japanese-owned instant-noodle maker,Vietnam; exports to 40+ countries,Become a comprehensive food supplier; ready-to-eat foods and snacks; micronutrient fortification; real meat and vegetables; biomass energy,"""doanh nghiệp cung cấp thực phẩm tổng hợp bền vững, vươn tầm thế giới"" (Jul 2025)",Vietnam,Low: volume market with no protein claim; buyer of pulse starches,AIB-18,VN-direct,Medium,Part III ch16.3 view confirmed.
AIB-A10,AIB-A10,C.P. Vietnam (CPV Food; parent Charoen Pokphand Foods),manufacturers,"Integrated feed, farm, food, retail shops and catering",Vietnam; parent Thailand and 15 countries,'Protein Expert'; Meat Zero alternative protein for flexitarians (outside Vietnam); PLANT-TEC soy texturing; retort sausages for Vietnam; Dzine Food Solutions catering in Vietnam,"""Alternative protein products designed for flexitarian consumers, offering protein levels comparable to meat"" (One Report 2025)","Vietnam (feed, pigs, chicken, retort sausages, catering)",Medium: has plant-meat technology and a Vietnamese caterer but no Vietnamese plant product,AIB-19,VN-adjacent,High,Group-level document; Vietnam plant launch not found.
AIB-A11,AIB-A11,"Industrial chay SMEs (An Nhien, Au Lac, Thoai An, LC Foods, SG Food and others)",manufacturers,Owner-managed chay and frozen food makers,Vietnam; some exports,"Price, safety, convenience; import textured soy, soy concentrate and gluten; certificates for exports","SG Food lists ISO 9001, HACCP, BRC and FSSC 22000 and supplies Co.opmart, AEON and WinMart (company page)",Vietnam,High: most switchable buyers of textured protein (Part III); no strategy documents published,AIB-20,VN-direct,Low,No chay line on SG Food's own page; chay SKUs documented in the supply study retail audit.
AIB-A12,AIB-A12,Cholimex Food,manufacturers,"Sauces, seasonings and frozen foods incl. chay seasoning kits",Vietnam; small exports incl. Middle East,Growth in revenue and profit; frozen spring rolls and dim sum; parent keeps its stake,"""con gà đẻ trứng vàng"" (the parent's description of Cholimex Food, Apr 2026)",Vietnam,Medium: frozen chay and export spring rolls could use domestic textured protein,AIB-21,VN-direct,Medium,"2025 revenue about VND 4,050 billion (USD 156 million); 2026 target about VND 4,500 billion."
AIB-A13,AIB-A13,Nestlé Vietnam,manufacturers,Multinational food and beverage maker,Vietnam; global parent,"Net zero 2050; 50% of key ingredients (incl. soybeans, meat) from regenerative farms by 2030; MILO school sport programmes; global protein and fibre density for GLP-1 users","""50% sản lượng các nguyên liệu chủ chốt sẽ được thu mua từ những nông hộ áp dụng các thực hành nông nghiệp tái sinh"" (sustainability page)",Vietnam,Low: no stated alternative-protein interest in Vietnam,AIB-22; AIB-23,VN-direct,Medium,Global plant-based portfolio not marketed in Vietnam in sources read.
AIB-A14,AIB-A14,Ajinomoto Vietnam,manufacturers,"Seasonings, frozen food, medical food; School Meal Project with MOET and NIN",Vietnam,"School Meal Project menu software: 120 menus, 360+ dishes; 62 provinces and 4,262 schools by Nov 2022; seasonings incl. chay mushroom seasoning","""120 thực đơn sẵn có với trên 360 món ăn không lặp lại cho bữa trưa"" (company page)",Vietnam,Medium to High: may shape what protein dishes schools serve; also flavour buyer,AIB-24,VN-direct,Medium,Part III treats it only as a seasoning buyer.
AIB-A15,AIB-A15,Mondelez Kinh Do,manufacturers,"Biscuits, cakes and snacks",Vietnam,"Snacking moments, nostalgia, 'real ingredients', social-media discovery","""99% coi snack là nguồn dinh dưỡng tiện lợi"" (State of Snacking 2024, cited Jul 2025)",Vietnam,Low: no protein or plant-protein interest found,AIB-25,VN-direct,Medium,Clean negative.
AIB-A16,AIB-A16,Mobile World (MWG): Bach Hoa Xanh,manufacturers,"Grocery minimart chain, 3,612 stores Aug 2026",Vietnam,Double-digit growth; IPO 2028; USD 10 billion revenue by 2030; fresh 40% of SKUs; more branded meat and seafood,"""mục tiêu IPO vào năm 2028 và chạm mốc doanh thu 10 tỷ USD vào năm 2030"" (AGM 2026, press)",Vietnam,Medium: largest minimart reach; no supplier criteria or plant statement published,AIB-26; AIB-27,VN-direct,Medium,Supplier requirements not public.
AIB-A17,AIB-A17,"Saigon Co.op (Co.opmart, Co.op Food, Co.opXtra)",manufacturers,Cooperative retailer with large private-label programme,Vietnam (south-focused),"More than 2,500 private-label SKUs with 100+ domestic manufacturers; three tiers; private label 15 to 30% cheaper; retailer sets standards and chooses manufacturers; sells chay private-label dumplings","""nhà bán lẻ trực tiếp tham gia từ khâu chọn nhà sản xuất, xây dựng tiêu chuẩn đến phân phối"" (Sep 2026)",Vietnam,High: private-label route for higher-protein chay or blends via co-packers; not examined in Part III,AIB-28; AIB-29; AIB-30,VN-direct,Medium,Co.op Select chay co-packer documented in supply study app-s1 (GN Foods).
AIB-A18,AIB-A18,"Foreign-owned hyper and supermarkets: Central Retail (GO!, Tops, Lan Chi), AEON Vietnam, Lotte Mart",manufacturers,"Thai, Japanese and Korean-owned retailers","Vietnam; parents Thailand, Japan, Korea","Store expansion (AEON 30 malls by FY2030; Central 10 to 12 GO! and 23 to 25 mini go!; Lotte 17 stores, industrial towns, ready-meal kitchens); private brands (Topvalu) to Japanese standards","Topvalu products ""managed according to strict Japanese standards"" (AEON Vietnam)",Vietnam,Low to Medium: premium and import-led shelf; Lotte targets factory workers,AIB-31; AIB-32; AIB-33; AIB-34,VN-direct,Medium,No plant-based statements found for Vietnam.
AIB-A19,AIB-A19,"Multinational contract caterers (Sodexo, Dussmann, Japanese joint ventures)",manufacturers,Contract caterers,Global; Vietnam presence partly unverified,Sodexo US: plant-based menu target; Dussmann and Tan Long and Nikkotrust JV active in Vietnamese industrial catering,"""33% of our planned menu offerings plant-based"" (Sodexo US page)",Vietnam presence: Dussmann and Japanese JV reported; Sodexo unconfirmed,Medium: could carry group plant-forward menus into FDI factories if present and asked by clients,AIB-38; AIB-35,general,Low,vn.sodexo.com redirected to the Singapore site on 2026-09-25.
AIB-A20,AIB-A20,"Vietnamese contract caterers and institutional kitchens (Haseca, Viet Nam EOC, Hoang Kim, Vinastory, Global Catering; school and hospital kitchens)",manufacturers,Contract caterers; public institutions buying meals,Vietnam,"Scale (Haseca 200,000+ meals a day); tiered prices VND 18,000 to 45,000; ISO 22000 and RBA; school rules (Decision 3958, Dispatch 64, HCMC disclosure); hospital tenders with protein gram norms; union shift-meal floors","""Hoặc Đậu hũ (Thay thế hoàn toàn cho đạm động vật): tối thiểu 120g"" (hospital patient-meal tender, 2025)",Vietnam,High: largest price-set protein channel; rules now published for schools and some hospitals,AIB-35; AIB-36; AIB-37; AIB-39; AIB-41; AIB-42; AIB-43; AIB-44; AIB-45,VN-direct,Medium,"Military ration allowance VND 72,000 a day included here as an institutional price anchor."
APR-A01,APR-A01,"Ministry of Health (MOH), incl. Department of Disease Prevention and Vietnam Food Administration",policy,national ministry,Viet Nam,Nutrition Strategy targets (stunting below 15% by 2030; overweight caps; salt below 7 g a day); school-meal nutrition guidance; shift-meal and disease-prevention nutrition guidance; front-of-pack labelling; lead drafter of the Food Safety Law revision.,"School meals: animal protein 'ít nhất 4 - 5 ngày trong tuần, xen kẽ đạm có nguồn gốc thực vật (đậu các loại, đậu phụ) ít nhất 2 lần mỗi tuần' (animal protein at least 4 to 5 days a week, alternating with plant protein, legumes and tofu, at least twice a week).",Viet Nam only,"High. Sets the rules that decide whether plant or blended protein can enter school and shift meals and how products are labelled. Has already written a plant-protein slot into school guidance (Dec 2025) and adult guidance (Jul 2026). Needs cost, protein-quality and micronutrient evidence on specific products, not consumer attitudes.",APR-01; APR-04; APR-16; APR-17; APR-07; APR-08,VN-direct,High,"No MOH document we read names alternative, novel or plant-based protein products; guidance names legumes and tofu only. Food Safety Law vote now May 2027."
APR-A02,APR-A02,"National Institute of Nutrition (NIN, Vien Dinh duong)",research,public research institute (MOH),Viet Nam,"Recommended nutrient intakes (Decision 116/QD-VDD, 12 Feb 2026); Ten tips to 2030; food composition tables; school-meal guidance and menu tools; national nutrition surveys; SHiFT and BDN strategic partner; industry MoUs for research and communication.","Ten tips, tip 3: 'nên ăn cá, thịt gia cầm và các loại hạt trong bữa ăn hằng ngày; ăn có mức độ các loại thịt đỏ' (eat fish, poultry and nuts, seeds and legumes daily; eat red meat in moderation).",Viet Nam only,"High. The technical gatekeeper for any nutrition claim, menu inclusion or food composition entry. Would need protein quality (DIAAS), iron and zinc bioavailability and composition data for Vietnamese dishes before endorsing a plant or blended product for children.",APR-17; APR-16; APR-04; APR-23; APR-24; APR-42; APR-18,VN-direct,High,"Still cites 2020 survey figures in September 2026; we found no newer national survey results. Signs MoUs with firms (for example a supplement distributor, Sep 2026), a model an alternative-protein firm could use."
APR-A03,APR-A03,"Ministry of Education and Training (MOET), with its school-meal partners",policy,national ministry,Viet Nam,School Health Programme 2026 to 2035 (Decision 973/QD-TTg); unified national school nutrition menu; rules on ban tru meal organisation; food safety after the 2026 pork case; boarding and border-school lunches.,Plans to 'xây dựng thực đơn dinh dưỡng thống nhất trên toàn quốc' (build a unified national nutrition menu).,Viet Nam only; priority to remote and ethnic minority areas,"High. The buyer-side rule maker for about 15.5 million primary and lower secondary pupils (Part III figure). A unified menu and ban tru rules would fix formats, frequencies and cost norms for school protein. Ajinomoto's menu software (4,262 schools by 2023, company claim) is a practical gate for new ingredients.",APR-12; APR-13; APR-06; APR-09; APR-41; APR-45,VN-direct,Medium,"Decision 973 text itself not read (news report). Ajinomoto School Meal Project recorded here as a MOET partner, not as a separate actor."
APR-A04,APR-A04,Ministry of Agriculture and Environment (MAE),policy,national ministry,Viet Nam,"Lead of the National Action Plan on Food Systems Transformation (Decision 300); FST Partnership (47 partners, Oct 2024) and International Support Group; provincial FST pilots; livestock strategy (58 to 62 kg meat per person by 2030); methane cap; food safety of primary products.","Decision 300 task 5(a): 'Xây dựng và theo dõi bảng cân đối thực phẩm cấp quốc gia, cấp vùng, cấp tỉnh' (build and monitor food balance sheets at national, regional and provincial level).",Viet Nam; Mekong Delta and northern uplands pilots,"Medium. MAE's stated goals are supply-side (more meat, lower emissions per unit, exports). It would use demand evidence to size the food balance sheets and to judge whether protein diversification belongs in the NAP-FST M&E. Its livestock targets pull against MOH's advice to moderate red meat.",APR-02; APR-03; APR-10; APR-25; APR-23; APR-30,VN-direct,High,"Decision 300 contains no protein, meat or plant-protein target in the parts read."
APR-A05,APR-A05,"Politburo, National Assembly and Government (cross-cutting resolutions, laws and fiscal decisions)",policy,legislature and party-state centre,Viet Nam,"Resolution 72 (health, 9 Sep 2025); Resolution 71 (education, 22 Aug 2025) requiring legal rules on school nutrition; Law on Disease Prevention 114/2025/QH15 (in force 1 Jul 2026); Food Safety Law revision (first reading Oct 2026, vote May 2027); excise on sugary drinks from 2027 (Law 66/2025/QH15); border-commune lunch support (Decree 339/2025).","Resolution 72: nutrition must ensure 'cân đối về khẩu phần, thành phần dinh dưỡng, chất lượng bữa ăn, phù hợp với thể trạng, văn hóa và điều kiện kinh tế của người Việt Nam' (balanced rations and meal quality suited to Vietnamese physique, culture and economic conditions).",Viet Nam only,"High for timing and scope: these instruments set the windows (Food Safety Law, school-nutrition rule, excise) in which demand evidence can be used. None names protein sources.",APR-05; APR-06; APR-14; APR-15; APR-07; APR-19; APR-20; APR-22; APR-09,VN-direct,High,"Ministry of Finance's role (excise, lunch budgets) is recorded under this row."
APR-A06,APR-A06,Ministry of Industry and Trade (MOIT),policy,national ministry,Viet Nam,"Under the Nutrition Strategy: research, production, branding, trade promotion and market development for fortified and 'healthy' foods; food safety for its product groups until the new law; trade promotion.","Decision 02 assigns MOIT to promote 'phát triển thị trường sản phẩm thực phẩm tăng cường bổ sung vi chất dinh dưỡng, thực phẩm lành mạnh' (market development for fortified and healthy foods).",Viet Nam,"Low to Medium. Could treat protein-dense plant foods as 'healthy foods' for trade promotion, but no instrument or criteria were found. Dairy strategy (Decision 309) pushes 'school meals with fresh milk', a competing protein.",APR-01; APR-11,VN-direct,Medium,Lead ministry of Decision 309 not verified.
APR-A07,APR-A07,Ministry of Science and Technology (MOST),policy,national ministry,Viet Nam,Under the Nutrition Strategy: fund S&T tasks on nutrition and food suited to Vietnamese; national standards and labelling rules for foods and fortified products. Biotechnology and strategic-technology programmes (covered in the supply and futures chapters).,"Decision 02: MOST to 'tăng cường bố trí kinh phí, ngân sách thực hiện các nhiệm vụ khoa học và công nghệ về dinh dưỡng, thực phẩm' (increase funding for S&T tasks on nutrition and food).",Viet Nam,Low. We found no demand-side interest stated by MOST beyond standards and funding S&T on nutrition and food. Its demand question is whether a funded project has a named adopter.,APR-01,VN-direct,Medium,Web search budget ran out before MOST's 2026 programme documents could be checked.
APR-A08,APR-A08,"Provincial People's Committees and city departments (Hanoi, Ho Chi Minh City, Dong Thap, Son La, border provinces)",policy,sub-national government,Viet Nam,"Fund and supervise school meals and school health plans; set meal ceilings; run food-safety departments; pilot provincial FST plans (Dong Thap, Son La); deliver border-commune lunch support.","HCMC Food Safety Department (Sep 2026): not to let ban tru meals be interrupted for long, while tightening kitchen and supplier controls.",Viet Nam; stunting hotspots in northern uplands,"High for public-meal volume. Provinces buy and regulate the meals. They would need cost per meal, supplier documents and food-safety assurance for any new protein, and evidence that it improves protein or micronutrients per VND.",APR-09; APR-23; APR-45; APR-04,VN-direct,Medium,"Hanoi subsidy and ceilings already in Part III (CHN-28, CHN-29)."
APR-A09,APR-A09,"Vietnamese food-systems research partners of the NAP-FST: VAAS, IPSARD (now ISPAE) and Can Tho University",research,public research bodies and university,Viet Nam,"SHiFT and BDN strategic partners (VAAS, IPSARD); FST training of trainers (Can Tho University); food-environment policy analysis (IPSARD co-authored Food-EPI); soil and crop databases (VAAS).",SHiFT: Can Tho University staff 'have taken a strong interest in leading the rollout of the ToT program'.,Viet Nam,Medium. They shape the evidence base used by MAE and provinces for the NAP-FST. A protein-diversification indicator or legume value-chain study would need them. No stated interest in alternative protein found.,APR-23; APR-24; APR-26; APR-25,VN-direct,Medium,HUST food technology not examined in this group (no primary page retrieved).
APR-A10,APR-A10,"CGIAR in Viet Nam: Alliance of Bioversity International and CIAT, IFPRI, ILRI (Better Diets and Nutrition; Sustainable Animal and Aquatic Foods; One Health)",research,international research centres,Viet Nam; Southeast Asia,"Sustainable healthy diets through food systems transformation; food-environment policy (Food-EPI); provincial FST plans and M&E; food safety in pork chains (ILRI, FSTWG priorities 2026 to 2030).",Food-EPI: '74% of indicators scored low or very low'; school food policies exist 'but most measures remain non-mandatory'.,Viet Nam is one of three BDN target countries,Medium to High. Produces the diet and food-environment evidence Vietnamese ministries cite. Would want tested evidence on how public-meal standards and food environments shift protein choices. CIAT staff have published on the political economy of the protein transition (cited in Food-EPI).,APR-23; APR-24; APR-26; APR-30,VN-direct,High,No CGIAR Viet Nam activity on alternative protein found.
APR-A11,APR-A11,FAO Viet Nam,international,UN specialised agency,Viet Nam; Asia-Pacific,"Country Programming Framework support for green, low-emission, climate-resilient agrifood systems; technical support to the NAP-FST and the FST Partnership; food safety (FSTWG).",FAO Representative Vinod Ahuja: the next five years 'will be decisive for the country's food system transformation'.,Viet Nam,"Medium. FAO would care about protein diversification only through the NAP-FST lens (food balance sheets, healthy diets, emissions). Needs a measurable indicator and data, not product evidence.",APR-25; APR-30; APR-02,VN-direct,Medium,FAO CPF 2022 to 2026 document not read in this session.
APR-A12,APR-A12,UNICEF Viet Nam,international,UN fund,Viet Nam,"Country Programme 2027 to 2031: child and adolescent nutrition; stunting (18% in 2023, 32% among ethnic minorities); overweight; school food and complementary food standards; marketing restrictions on unhealthy foods.","CPD para 18: 'Preventive nutrition interventions will be prioritized through strengthened school food and complementary food standards, and marketing restrictions'.",Viet Nam,"High for public meals. UNICEF will help write the school food standards that decide whether processed plant or blended proteins count as healthy. It would need micronutrient, sodium and processing-level data and cost-effectiveness against eggs and milk.",APR-27; APR-44,VN-direct,High,No UNICEF document mentions plant or alternative protein.
APR-A13,APR-A13,WHO Viet Nam,international,UN specialised agency,Viet Nam; Western Pacific,"NCD risk factors: sugary drinks, salt, tobacco, alcohol; health taxes (supported the 2025 excise on sugary drinks).",WHO Representative Angela Pratt: taxes deliver a 'win-win' of lower consumption of harmful products and new revenue.,Viet Nam,"Low to Medium. WHO's diet agenda in Viet Nam is fiscal and nutrient-based (sugar, salt). It would ask whether plant analogues and chay products add salt or sugar, and whether plant drinks fall under the sugary-drink excise.",APR-21; APR-20; APR-19,VN-direct,Medium,No WHO Viet Nam document on protein sources found.
APR-A14,APR-A14,World Bank,international,multilateral development bank,Viet Nam; East Asia,"Agrifood net zero (Recipe for a Livable Planet): middle-income countries to cut livestock and rice emissions; in Viet Nam, low-methane rice and carbon credits (1 million hectare programme); historic focus on stunting among ethnic minorities.",Recipe: 'High-income countries can also shift subsidies away from high-emitting food sources'.,Viet Nam; East Asia,Low. Current Viet Nam agrifood climate work is rice. Diet shift is framed for rich countries. A demand-side protein case would need a cost per tonne CO2e that beats rice and livestock measures.,APR-28; APR-29; APR-44,general,Medium,Recipe full report not read; press release only.
APR-A15,APR-A15,Asian Development Bank (ADB),international,multilateral development bank,Asia-Pacific; Viet Nam,"Food security and agrifood transformation: USD 40 billion 2022 to 2030; nutrition a quarter of new commitments (metadata); 'integrating nutrition and healthy diets' (Viet Nam Country Director, Jan 2026).",ADB Viet Nam: transition requires 'integrating nutrition and healthy diets' alongside value chains and resilience.,Viet Nam,Medium. ADB can lend to nutrition-tagged value chains. It would need an investable chain (for example domestic soy or mung bean to tofu and textured protein for public meals) with offtake evidence.,APR-25; APR-31,VN-adjacent,Medium,No ADB alternative-protein document found.
APR-A16,APR-A16,European Union (Delegation to Viet Nam; DG INTPA; EVFTA),international,regional organisation and trade partner,Viet Nam,"Global Gateway (EUR 560 million for transport and clean energy, Mar 2026); green transition incl. ecological agriculture in the Mekong Delta; EVFTA trade preferences (covered in Part III ch17).",Global Gateway package for 'sustainable transport and clean energy'.,Viet Nam,"Low. No EU food or nutrition programme in Viet Nam found. Its demand relevance runs through EVFTA buyers (Part III ch17), not development finance.",APR-32; APR-33,VN-direct,Medium,SWITCH-Asia food-consumption work found only as a 2022 regional webinar; not used.
APR-A17,APR-A17,USDA Foreign Agricultural Service,international,foreign government agency,Viet Nam,"Market access for US beef, dairy, whey proteins, soybeans and tree nuts; market intelligence (GAIN reports).",Tree nut imports grew with 'rising demand for plant-based milk among younger consumers'.,Viet Nam,"Low to Medium. USDA's interest is exports of animal and plant protein inputs. It tracks plant-milk demand because it lifts US almond sales. Would need volume trends, not policy.",APR-34,VN-direct,Medium,Package already uses GAIN reports for supply data.
APR-A18,APR-A18,ACIAR (Australia),international,foreign government research funder,Viet Nam; Southeast Asia,"Nutrition-sensitive agriculture, food safety and One Health; smallholder livestock (beef, goats, chicken); ethnic minority livelihoods.","Priority to 'enhance human health and nutrition through research on integrated farming systems, nutrition-sensitive agriculture, food safety and One Health'.",Viet Nam,Low to Medium. Would fund legume or smallholder protein research only with a nutrition or livelihood outcome and a market; public meals in upland schools are a possible buyer.,APR-35,VN-direct,Medium,"Plan year read is 2023 to 24; package says 23 ACIAR projects in Viet Nam, none on alternative protein."
APR-A19,APR-A19,GAIN and the Global Diet Quality Project,international,foundation and data initiative,Global; Viet Nam data only,"Diet quality measurement (DQQ, with Gallup and Harvard); workforce nutrition; fortification; demand for underconsumed foods.",Viet Nam DQQ: pulses eaten by 40% of adults and processed meats by 18% on the previous day (Dec 2021 to Jan 2022).,No Viet Nam country programme found; Viet Nam covered by the DQQ,"Medium. The DQQ is a cheap, repeatable diet-tracking tool that could add a chay-day or plant-protein module. GAIN's workforce nutrition work matches the canteen channel but lists no Viet Nam activity.",APR-36; APR-37,VN-direct,Medium,DQQ sample size and 2023 to 2024 rounds for Viet Nam not checked.
APR-A20,APR-A20,School Meals Coalition and WFP,international,intergovernmental coalition and UN agency,Global; Southeast Asia,"Every child a healthy school meal by 2030; regional summit (Siem Reap, Nov 2024). WFP: school meals and fortification globally.","SEA summit aim: 'every child in Southeast Asia and beyond receives a healthy and nutritious school meal, every day, by 2030'.",Viet Nam not a member; no current WFP Viet Nam country page found,Low for now. No route for international school-meal finance or technical support to Viet Nam found. Would matter only if Viet Nam joins.,APR-38; APR-39; APR-40,VN-adjacent,Low,Negative findings from web pages; could be confirmed by a call.
