record_id,question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AIB-Q17,AIB-Q17,AIB-A11,manufacturers,"Would chay SMEs switch to a domestic textured protein at Chinese landed parity, and what minimum order, qualification time and certificates would they require?",Go or no-go for T1 first sales,partly,ch16.7; TPP-01; OQ-231; OQ-232; OQ-233; OQ-242,weak,yes,High,Part III's best-covered question; still inferred.
AIB-Q18,AIB-Q18,AIB-A11; AIB-A17,manufacturers,Does a numeric protein claim (giàu đạm) move chay sales at the same shelf price?,Whether to reformulate chay to 10 to 12 g per 100 g (TPP-02),partly,app-d3 D3.1; ch12.7; OQ-185; DMV-06,none,yes,High,No tested evidence exists.
AIB-Q19,AIB-Q19,AIB-A13; AIB-A14,manufacturers,Do multinationals' climate and regenerative-sourcing commitments create any procurement preference for local or lower-carbon protein ingredients in Vietnam?,Whether ESG is a demand driver for incumbents,not answered,,weak,maybe,Low,AIB-22 shows sourcing targets on existing commodities only.
AIB-Q20,AIB-Q20,AIB-A14; AIB-A20,manufacturers,"Who writes school menus in practice (school, caterer, education department, menu software such as Ajinomoto's School Meal Project), and can a higher-protein plant dish be added to the menu banks?",Where to intervene to get plant or blended protein onto school plates,not answered,ch15.3,none,yes,High,"AIB-24 (4,262 schools by Nov 2022); AIB-39."
AIB-Q21,AIB-Q21,AIB-A15,manufacturers,Is there bakery or snack demand for an egg-replacing or protein-claim ingredient?,Whether to design TPP-06 for bakery,partly,ch16.7 rank 7,weak,no,Low,AIB-25 shows no protein messaging.
AIB-Q22,AIB-Q22,AIB-A18,manufacturers,"Do foreign-owned retailers' private brands (AEON Topvalu, Tops) and ready-meal kitchens (Lotte Yorihada near industrial zones) want premium plant or higher-protein chay items?",Premium retail as a showcase or niche channel,partly,D4.6,weak,no,Low,
AIB-Q23,AIB-Q23,AIB-A19,manufacturers,"Do multinational caterers apply group plant-based menu targets in Vietnamese contracts, and is Sodexo operating in Vietnam in 2026?",Whether a caterer with a plant-forward mandate exists as a first canteen partner,not answered,,none,maybe,Medium,AIB-38 (US page); presence unverified.
AIB-Q24,AIB-Q24,AIB-A20,manufacturers,"What protein grams and cost per protein dish do caterers use in each price tier, and how often do they already serve tofu, chay days or textured soy?",Price and protein target for TPP-04; whether canteen plant days already exist,not answered,ch15.3 inference; TPP-04; OQ-215 open,none,yes,High,"Haseca tiers VND 18,000 to 45,000 (AIB-36)."
AIB-Q25,AIB-Q25,AIB-A20; AIB-A19,manufacturers,"What do FDI factory clients (RBA, ISO 22000, brand supplier codes, Scope 3 targets) require in catering contracts, and would any ask for plant-forward or lower-carbon protein dishes?",Whether canteens are a price-only channel or have a non-price driver,not answered,,none,yes,High,"Different kind of question: the client, not the caterer or the worker."
AIB-Q26,AIB-Q26,AIB-A20; AIB-A14,manufacturers,"Under Decision 3958/QĐ-BYT and Dispatch 64, can a plant-protein or blended dish qualify on school plant-protein days, at what cost per portion and with what documents?",Whether 'do not start in schools' still holds; how to count school displacement,partly,ch15 summary; ch15.3; ch25.5; DMV-17; ch18 R4,weak,yes,High,Part III relies on Decision 1340/2016; current guidance is AIB-39; HCMC disclosure rule AIB-42.
AIB-Q27,AIB-Q27,AIB-A20,manufacturers,"What do public hospitals and the army pay per meal or per day, and what protein substitutions do their specifications allow (tofu 120 g for 60 g of meat)? Would textured soy or a blend be accepted?",Whether hospitals and the army are early institutional buyers,not answered,ch15.3 and D4.4 report no data; OQ-220,none,maybe,Medium,AIB-44; AIB-45 now give specifications and one price anchor.
AIB-Q28,AIB-Q28,AIB-A01; AIB-A05; AIB-A07; AIB-A11; AIB-A17,manufacturers,"After the 2025 to 2026 food-safety crises, what must a new protein supplier show, and how long does qualification take?",Time to first revenue; what a startup must budget for certification,partly,ch16.4; OQ-233; DMV-08,weak,yes,Medium,"Vinamilk calls traceability 'mandatory, not a competitive advantage' (AIB-01)."
AIB-Q29,AIB-Q29,AIB-A01 to AIB-A20,manufacturers,"Has any incumbent set a quantified plant-based, protein-diversification, animal-welfare or meat-emissions target that would pull alternative protein?",Whether any demand-side commitment exists to anchor plays,partly,"ch16.6 (clean negative on novel-protein pilots, not on targets)",moderate,no,Medium,This paper finds none in 2025 AR and 2026 AGM material read.
AIB-Q30,AIB-Q30,AIB-A01; AIB-A05; AIB-A07; AIB-A10,manufacturers,"Should frontier actors pitch incumbents on protein portfolio, supply security and cost rather than meat replacement, given that incumbents diversify into beef, branded pork and high-protein dairy?",Framing of every pitch to incumbents; which play language to use,not answered,ch25.5 (what not to say) is consumer-facing,weak,maybe,Medium,AIB-01; AIB-04; AIB-12; AIB-15.
APR-Q01,APR-Q01,APR-A01; APR-A02; APR-A03,policy,"Which plant or blended protein dishes can fill the two weekly plant-protein school meals set by MOH Decision 3958 (Dec 2025) at or below the cost of tofu and legume dishes, while giving 13 to 20% of energy from protein and meeting the iron, zinc and calcium targets?","Whether MOH, NIN and MOET name processed plant proteins (textured soy, fortified blends) in menu examples, menu software and the unified national menu",not answered,ch15.3 cites only Decision 1340 (2016) and ranks schools 'not first'; ch25.4 DMV-17; meal_programmes.csv INS-010,none,yes,High,Part III does not cite Decision 3958. The guidance already creates a plant-protein slot filled today by tofu and legumes.
APR-Q02,APR-Q02,APR-A03; APR-A08,policy,"How many pupils eat bán trú meals nationally and in stunting-hotspot provinces, at what meal price, and what share of meal cost buys protein?",Size and priority of the school channel in plays and channel rankings,partly,ch15.3 (Hanoi only); meal_programmes.csv INS-005 to INS-009; ch18 R4 assumes 0.8 billion school meals; OQ-219,weak,yes,High,"Decree 339/2025 now fixes border-commune lunch support at VND 450,000 a month; pupil numbers still not found."
APR-Q03,APR-Q03,APR-A03; APR-A08; APR-A12,policy,"After the April 2026 pork case, would parents and school boards accept more tofu, legume or blended protein dishes, and do safety fears favour plant dishes or certified meat?",Timing of any school route for blends and higher-protein chay,not answered,ch15.3 ('schools until trust recovers'); OQ-228 and OQ-194 open,none,yes,Medium,HCMC school meals were still disrupted in Sep 2026 (APR-45); trust and operations both matter.
APR-Q04,APR-Q04,APR-A02; APR-A12,research,"What are the protein quality (DIAAS or PDCAAS) and the zinc and iron bioavailability of candidate plant and blended dishes for children aged 6 to 14, compared with pork, egg and tofu dishes?",Whether NIN and UNICEF can endorse plant-rich school or complementary foods in stunting hotspots; fortification specifications,not answered,"No micronutrient analysis in Part III; the supply chapters (ch06, ch10) notes no Vietnamese DIAAS study",none,yes,High,School guidance appendix (APR-04) rates zinc absorption low when diets have little or no animal protein; zinc deficiency 53.3% of 6 to 59 month olds in 2020 (APR-42).
APR-Q05,APR-Q05,APR-A02; APR-A03,research,"What does it take to add a new protein ingredient to the NIN food composition table, the school guidance's composition appendix and the menu-planning software used by schools?",Whether school uptake is feasible without a data entry; a cheap public-good step for funders,partly,ch11.4 and OQ-166 (newer composition table); menu software not mentioned,weak,yes,Medium,"Decision 3958 orders menu software to be updated; Ajinomoto's software reached 4,262 schools by 2023 (company claim)."
APR-Q06,APR-Q06,APR-A01; APR-A02; APR-A10,policy,"Among Vietnamese adults, does eating legumes or tofu replace red meat in the same meal or day, or add to it?",Whether MOH's 'eat red meat in moderation' advice can be served by promoting plant protein; NCD framing,partly,"ch11.5 (after ASF households switched to chicken, not tofu); ch12 and OQ-178 (chay compensation)",weak,maybe,Medium,
APR-Q07,APR-Q07,APR-A01; APR-A05,policy,"Will the Food Safety Law (first reading October 2026, vote May 2027) and its decrees define duties for non-commercial collective meal providers and a new-food route, and what documents will a small protein supplier need to sell to schools and canteens?",Timing and content of submissions; supplier qualification for public meals,partly,brief-policy option 1 (says October to November 2026 session); ch15.3 Dispatch 64; ch25.4 DMV-13 to DMV-17,moderate,yes,High,Timing in Part III and the briefs is out of date (APR-07).
APR-Q08,APR-Q08,APR-A05; APR-A03,policy,"Will the school-nutrition rule required by Resolution 71 and Decision 973 set protein sources, frequencies or cost norms, and will it include processed plant proteins or restrict them as processed foods?",Whether the school channel opens or closes by rule,not answered,Not in Part III,none,yes,High,
APR-Q09,APR-Q09,APR-A05; APR-A13; APR-A06,policy,"Do sweetened soy and nut milks count as 'nước giải khát' under the sugary-drink excise from 2027 (8%, 10% from 2028), while dairy milk is exempt?",Plant-milk makers' reformulation (below 5 g sugar per 100 ml) and pricing; play T10; a policy ask for clarification,not answered,"ch13 (plant milk priced at or below dairy); ch16 (Vinamilk, Vinasoy); TPP-05",none,yes,High,Dairy and 'liquid foods for nutritional purposes' are exempt (APR-19); plant milks not mentioned.
APR-Q10,APR-Q10,APR-A04; APR-A11,policy,"Can the Decision 300 food balance sheets (national to provincial, MAE lead) record protein by source (animal, plant, novel) so that protein diversification becomes measurable?",Whether to add a protein line to the NAP-FST M&E; a government home for Part IV's national protein balance,not answered,Out of Part III scope; Part V ch28 robust move on a national protein and feed balance,weak,maybe,Medium,
APR-Q11,APR-Q11,APR-A04; APR-A14,policy,"At what share of meat protein displaced would demand-side substitution make a measurable contribution to the 2030 livestock methane cap, compared with feed and manure measures?",Whether to frame alternative protein as a climate lever in MAE and World Bank dialogue,partly,ch18 (0.2% benchmark and 0.7% stretch displacement by 2035); emissions_targets.csv ET-11,moderate,no,Low,A desk calculation would probably confirm Part III: displacement is too small to matter for the 2030 cap.
APR-Q12,APR-Q12,APR-A04; APR-A01,policy,"Will the post-2030 livestock strategy raise or cap the 58 to 62 kg carcass meat per person target (already reached on FAO 2023 supply of 60.5 kg), and how will it square with MOH advice to moderate red meat?",Framing of policy coherence; whether a protein-diversification line fits the next livestock strategy,not answered,ch11.1 compares intake with MOH guidance but not with MAE targets,moderate,maybe,Medium,
APR-Q13,APR-Q13,APR-A06; APR-A05,policy,"Are plant milks eligible for school-milk programmes and tenders, given the dairy strategy's push for 'school meals with fresh milk' and domestic-production conditions?",Whether plant-milk protein (T10) has a public channel,partly,ch15.3 (Hanoi school milk tender; Decision 1340),weak,maybe,Medium,
APR-Q14,APR-Q14,APR-A06,policy,"What criteria would MOIT use to treat a product as a 'healthy food' for trade promotion under the Nutrition Strategy, and would a higher-protein chay or plant food qualify?",Access to trade-promotion support for domestic protein foods,not answered,Not in Part III,none,maybe,Low,
APR-Q15,APR-Q15,APR-A07,policy,"Is there a named adopter (caterer, school programme or processor) for a publicly funded nutrition-and-food S&T project on plant or blended protein?",MOST funding of application research,partly,ch16 buyer map; ch25.4 DMV-08 (buyer panel),moderate,maybe,Low,
APR-Q16,APR-Q16,APR-A08; APR-A12; APR-A18,policy,"In border and upland provinces, what do school kitchens spend on protein per pupil under Decree 339 (VND 450,000 a month plus 8 kg rice), and would a fortified plant or blended protein raise protein and zinc per VND compared with eggs and pork?",Whether a stunting-focused product or programme is worth designing,partly,ch11.2 states the upland protein gap; OQ-160 open,none,yes,High,
APR-Q17,APR-Q17,APR-A08; APR-A09; APR-A11,policy,"Do the provincial FST plans in Dong Thap and Son La include protein diversification, legume value chains or public-meal procurement as priority actions?",Entry point for pilots with provincial working groups,not answered,Not in Part III,none,maybe,Medium,
APR-Q18,APR-Q18,APR-A09; APR-A15,research,"Can domestic soy and mung bean supply tofu, textured protein and legume dishes for public meals below the landed cost of imported equivalents, and at what volumes?",ADB or VAAS value-chain investment; TPP-01 sourcing,partly,ch25.2 TPP-01 and TPP-05; supply-chapter crop data,moderate,maybe,Medium,
APR-Q19,APR-Q19,APR-A09; APR-A10,research,"Which food-environment levers (public procurement standards, labelling, marketing limits) most change protein choices in Vietnamese canteens and schools?",Which policy ask to prioritise,partly,ch25.4 'set rules'; ch13; app-d7 global benchmarks; Food-EPI not cited,moderate,maybe,Medium,Global evidence moderate (app-d7); no Vietnamese tested evidence.
APR-Q20,APR-Q20,APR-A10; APR-A11,research,"What protein-source mix would a Vietnamese sustainable healthy reference diet imply (plant share of protein, red meat ceiling), and has BDN or NIN modelled it?",Whether a quantitative protein target is feasible in the next nutrition strategy (after 2030),not answered,Not in Part III,none,maybe,Medium,
APR-Q21,APR-Q21,APR-A10; APR-A08,research,"Did pork food-safety scares (ASF 2019, the 2026 school case) shift institutional buyers to tofu or eggs, measured in purchase records?",Whether food safety is a lever for plant protein in institutions,partly,ch11.5 (households switched to chicken); ch15.3 (school case),moderate,maybe,Medium,Household evidence moderate; institutional evidence none.
APR-Q22,APR-Q22,APR-A01; APR-A08; APR-A10,policy,"What do factory canteens serve under MOH's shift-meal guidance (Decision 1982, Chapter V) and NIN's shift-meal guidance, and do these set protein or meat norms per meal?",Canteen product profile TPP-04; whether to seek inclusion in NIN shift-meal guidance,partly,ch15.3 canteen budgets; OQ-215,weak,yes,High,Food-EPI (APR-26) says workplace meal guidelines are not legally binding.
APR-Q23,APR-Q23,APR-A12; APR-A01,international,"Would UNICEF-supported school food standards classify textured plant proteins, chay mock meats or blended meat products as processed foods to limit?",Whether blends can enter schools at all; reformulation on sodium and additives,not answered,Not in Part III; ch13 notes consumers want fewer additives,none,yes,High,Decision 3958 already lists processed meats and sausages among foods to limit.
APR-Q24,APR-Q24,APR-A12; APR-A14; APR-A15,international,"For ethnic minority children, is a fortified plant or blended protein food more cost-effective per unit of protein and zinc than eggs or milk delivered through schools?",Whether development funders include plant protein in stunting programmes,partly,ch11.2 separates the two protein problems; no cost-effectiveness analysis,none,yes,High,
APR-Q25,APR-Q25,APR-A13; APR-A01,international,"What is the sodium and sugar content of Vietnamese chay foods, plant analogues and plant drinks against salt targets and the excise threshold?",WHO and MOH endorsement risk; reformulation,not answered,"ch12 and DMV-07 cover protein, additives and meat DNA, not sodium",none,maybe,Medium,
APR-Q26,APR-Q26,APR-A14,international,Is demand-side protein diversification cheaper per tonne CO2e than the rice and livestock measures the World Bank finances in Viet Nam?,Inclusion in climate operations,out of scope,Part IV carbon_cost_per_protein.csv; brief-international climate caution,weak,no,Low,
APR-Q27,APR-Q27,APR-A15; APR-A09,international,"Is there an investable, nutrition-tagged protein value chain (domestic legumes to tofu and textured protein for public meals) with committed public buyers?",ADB nutrition-tagged lending,partly,"ch15, ch16, TPP-01, TPP-04",moderate,maybe,Medium,
APR-Q28,APR-Q28,APR-A16,international,Would EU buyers source Vietnamese plant-based foods under EVFTA if they are made from imported soy protein or gluten (rules of origin)?,EU trade-promotion support,partly,ch17; TPP-08; OQ-244,weak,maybe,Low,Covered by the export stream.
APR-Q29,APR-Q29,APR-A17,international,"Is Vietnamese plant-milk demand growing enough to sustain tree nut and soy protein imports, and is it shifting from soy to nut and pea proteins?",US export promotion,partly,ch13 (plant milk); ch16 (Vinamilk pea protein),moderate,no,Low,
APR-Q30,APR-Q30,APR-A18; APR-A08,international,"Would upland boarding and border schools buy locally grown legumes or legume products for lunches under Decrees 66/2025 and 339/2025, and at what prices?",Smallholder legume projects with a public buyer,not answered,Not in Part III,none,maybe,Medium,
APR-Q31,APR-Q31,APR-A19; APR-A02,international,"Can the DQQ or the next General Nutrition Survey add a chay-day, tofu and plant-protein module at low cost, and what do existing DQQ microdata show on pulses and processed meat by group?",Cheapest national tracking of plant-protein occasions; complements DMV-01,not answered,DQQ not used; DMV-01 proposes a chay-day question in a probability survey,none,yes,High,
APR-Q32,APR-Q32,APR-A20,international,Would joining the School Meals Coalition bring Viet Nam technical or financial support for school menu standards?,Whether funders route school-meal support through the coalition,not answered,Not in Part III,none,no,Low,
APR-Q33,APR-Q33,APR-A01; APR-A02,policy,"Which protein-content and 'giàu đạm' (high-protein) claim rules apply to plant and blended foods, given the 2026 RNI's 50 g reference value?",Label rules DMV-13 to DMV-15; product claims,partly,ch11.2 (50 g reference); ch14; ch25.4,moderate,maybe,Medium,
