record_id,instrument_name,number,type,issuer,date_issued,effective_date,status,topic,relevance_to_alt_protein,key_provisions,url,source_ids,evidence_label,confidence,notes,origin,change_log
INS-037,"Law on Science, Technology and Innovation, Art 21 to 23 (controlled testing), re-read",93/2025/QH15,law,National Assembly,2025-06-27,2025-10-01,in force,sandbox,High: only national legal basis for a novel-food pilot | Wave 1 text: High: only general legal basis for a novel-food pilot,"Art 21(1): permission by the 'competent state agency' (no single body named). Art 21(3): test plan must set objectives, conditions and criteria, risk management, participant protection. Duration set on the firm's proposal, up to 3 years, extendable once by up to 3 years. Art 22: liability exemptions for regulators and implementers who follow the rules, except where they knew or should have known of risks; implementers stay liable to third parties. Art 21(6): Government may issue detailed rules, including sector application and conflicts with other laws | Wave 1 text: Art 21-23 controlled testing (up to 3+3 years, liability exemptions); Art 9 risk acceptance; Art 27-28 commercialisation; Art 34 enterprise R&D support",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Khoa-hoc-Cong-nghe-va-Doi-moi-sang-tao-2025-so-93-2025-QH15-581164.aspx,REG2-13; REG-48,VN-direct,High,Refines wave 1 row REG-48 | Wave 1 text: No food-specific implementing decree found,wave 1 REGULATION; updated wave 2 REG2,"[wave 2 REG2 supersedes wave 1 where they differ] instrument_name: wave 1 ""Law on Science, Technology and Innovation"" -> wave 2 ""Law on Science, Technology and Innovation, Art 21 to 23 (controlled testing), re-read""; topic: wave 1 ""S&T, sandbox, R&D support"" -> wave 2 ""sandbox""; relevance_to_alt_protein: wave 2 text placed first; wave 1 text kept after it; key_provisions: wave 2 text placed first; wave 1 text kept after it; notes: wave 2 text placed first; wave 1 text kept after it"
INS-038,"Resolution on pilot special mechanisms for S&T, innovation and digital transformation",193/2025/QH15,resolution,National Assembly,2025-02-19,2025-02-19 (parts to 2030-12-31),in force,pilot mechanisms,Low: sandbox limited to LEO satellites,Art 4 risk acceptance; Art 9 tax deduction for R&D donations; Art 13 LEO satellite pilot; guided by Decree 88/2025,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-193-2025-QH15-thi-diem-co-che-dac-biet-tao-dot-pha-phat-trien-khoa-hoc-cong-nghe-644644.aspx,REG-49,VN-direct,High,,wave 1 REGULATION,
INS-039,"Resolution on breakthroughs in S&T, innovation and digital transformation",57-NQ/TW,resolution,Party Central Committee,2024-12-22,2024-12-22,in force,S&T policy,Medium: political mandate for sandboxes and R&D spending,2030: R&D 2% of GDP (>60% from society); >=3% of budget to S&T; >40% firms innovating; pilot mechanisms for testing new technology under state supervision,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-57-NQ-TW-2024-dot-pha-phat-trien-khoa-hoc-cong-nghe-doi-moi-sang-tao-637245.aspx,REG-50,VN-direct,High,,wave 1 REGULATION,
INS-040,Resolution on biotechnology development,36-NQ/TW,resolution,Party Central Committee,2023-01-30,2023-01-30,in force,biotech policy,Medium: mandate but no protein-specific target,2030: biotech industry 7% of GDP; replace >=50% of imported biotech products; top 10 in Asia; 2045: 10-15% of GDP; calls for biotech product standards,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-36-NQ-TW-2023-phat-trien-cong-nghe-sinh-hoc-phuc-vu-phat-trien-dat-nuoc-553957.aspx,REG-51,VN-direct,High,,wave 1 REGULATION,
INS-041,Government action programme for Resolution 36-NQ/TW,189/NQ-CP,resolution,Government,2023-11-16,2023-11-16,in force,biotech action tasks,Medium,"Task III.1 agri-biotech sector scheme (MARD, Q4/2024); II.2 outstanding mechanisms; II.3 biotech product standards; III.10 genetic resources",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-189-NQ-CP-2023-thuc-hien-Nghi-quyet-36-NQ-TW-ung-dung-cong-nghe-sinh-hoc-587024.aspx,REG-52,VN-direct,High,Delivery status not verified,wave 1 REGULATION,
INS-042,Resolution on private economy development,68-NQ/TW,resolution,Party Central Committee,2025-05 (not verified),2025,in force (not read),private sector,Low-Medium,Not read in this wave,,none (background knowledge; not read),VN-direct,Low,Background knowledge only,wave 1 REGULATION,
INS-043,Scheme for developing the biotech industry in agriculture to 2030,"429/QD-TTg (MARD plan 4489/QD-BNN-KHCN, 2024-12-18)",decision,Prime Minister; MARD,2021-03-24,2021-03-24,replaced,agri-biotech,Medium,"+20% agri-biotech firms by 2025, +30% by 2030; training targets; complete legal documents on biotech product safety",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-429-QD-TTg-2021-phat-trien-cong-nghiep-sinh-hoc-nganh-nong-nghiep-den-2030-468663.aspx,REG-53,VN-direct,Medium,HCMC plan Decision 2949/QD-UBND (2026-05-19),wave 1 REGULATION,"[edition 1.1, NTS-35, Medium] status: was ""in force""; replaced by Decision 1466/QD-TTg (31 Jul 2026), see INS-066."
INS-044,"Livestock Development Strategy 2021-2030, vision 2045",1520/QD-TTg,decision,Prime Minister,2020-10-06,2020-10-06,in force,livestock and feed strategy,Medium: supports domestic feed materials and biotech,"2030: feed design capacity 40-45 Mt, output 30-32 Mt; replace imported materials; use by-products; biotech for feed",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-1520-QD-TTg-2020-phe-duyet-chien-luoc-phat-trien-chan-nuoi-giai-doan-2021-2030-454658.aspx,REG-54,VN-direct,High,,wave 1 REGULATION,
INS-045,"National Action Plan on transparent, responsible and sustainable food systems transformation to 2030",300/QD-TTg,decision,Prime Minister,2023-03-28,2023-03-28,in force,food systems,Low-Medium: no alt-protein item,-10% food-system GHG vs 2020; post-harvest loss cut 0.5-1%/yr; circular economy; healthy diets,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Quyet-dinh-300-QD-TTg-2023-chuyen-doi-he-thong-luong-thuc-thuc-pham-minh-bach-560858.aspx,REG-55,VN-direct,Medium,,wave 1 REGULATION,
INS-046,Decree guiding the Law on Environmental Protection (as amended),08/2022/ND-CP (amended by 05/2025/ND-CP and 48/2026/ND-CP),decree,Government,2022-01-10,2022-01-10,amended,"EIA, environmental permits",Medium: siting of fermentation/feed plants,Appendix II lists pollution-risk production types by capacity; EIA for Group I and some Group II; 48/2026 adds phased EIA and permit adjustment rules,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-48-2026-ND-CP-sua-doi-Nghi-dinh-08-2022-ND-CP-huong-dan-Luat-Bao-ve-moi-truong-692989.aspx,REG-58,VN-direct,Medium,Capacity thresholds not readable,wave 1 REGULATION,
INS-047,Decree on GHG mitigation and ozone layer protection (as amended),06/2022/ND-CP amended by 119/2025/ND-CP,decree,Government,2025-06-09 (119/2025),2025-08-01 (per extraction),in force,carbon market,Low,"Pilot carbon market to 2028; quotas for thermal power, steel, cement; offsets up to 30%; Article 6 mechanisms",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-119-2025-ND-CP-sua-doi-Nghi-dinh-06-2022-ND-CP-giam-nhe-phat-thai-khi-nha-kinh-625021.aspx,REG-59,VN-direct,Medium,GHG inventory facility list not verified,wave 1 REGULATION,
INS-048,Law on Biodiversity,20/2008/QH12 (amended by 146/2025/QH15),law,National Assembly,2008-11-13,2009-07-01,in force (amended from 2026-01-01),"biodiversity, GMO, ABS",Medium,"Gene-edited organism definition (no new genetic material); Art 57 access permits for foreign, commercial and export access",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/tu-van-phap-luat/106569/luat-da-dang-sinh-hoc-moi-nhat-2026-va-tong-hop-van-ban-huong-dan,REG-43; REG-61,VN-direct,Medium,,wave 1 REGULATION,
INS-049,Decree on access to genetic resources and benefit sharing,59/2017/ND-CP,decree,Government,2017-05-12,2017-07-01 (not verified),in force,ABS / Nagoya,Medium-High for firms commercialising Vietnamese strains,"Licence for commercial access (Art 7); council <=90 days, decision 15 days (Art 13); commune certifies contract (Art 11); benefit sharing >=1% annual revenue or >=2% IP transfer value (Art 22); derivatives defined (Art 3(6))",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-59-2017-ND-CP-quan-ly-tiep-can-nguon-gen-chia-se-loi-ich-tu-viec-su-dung-nguon-gen-325332.aspx,REG-60,VN-direct,High,Licensing now with MAE after merger,wave 1 REGULATION,
INS-050,Law amending the Law on Intellectual Property,131/2025/QH15,law,National Assembly,2025-12-10,2026-04-01,in force,IP,Low-Medium,AI-created subject matter; text and data mining exception; non-physical designs; no change to biotech exclusions seen,https://thuvienphapluat.vn/van-ban/So-huu-tri-tue/Luat-So-huu-tri-tue-sua-doi-2025-so-131-2025-QH15-675267.aspx,REG-62,VN-direct,Medium,Earlier amendment Law 07/2022/QH15 not read,wave 1 REGULATION,
INS-051,Singapore Food Safety and Security Act novel food requirements,FSSA 2025; FSSA (Authorisations: Administration) Regulations 2025,law,Singapore Parliament; Singapore Food Agency,2025,2025-11-28 (novel food approval enforceable),in force,novel food,High as comparator,Novel food = no >=20-year history of food use; pre-market approval; cultivated meat and precision fermentation covered; self-assessment checklists,https://www.sfa.gov.sg/food-information/novel-food,REG-63,VN-adjacent,High,Comparator for policy options,wave 1 REGULATION,
INS-052,Decree on administrative penalties in animal husbandry,211/2026/ND-CP,decree,Government,2026-06-16,2026-08-05,in force,feed enforcement,High: raises the cost of using an unlisted novel feed ingredient without a recognised trial,"Art 22(1): fine VND 10 to 15 million for using each type of raw material not in the permitted list (value under VND 200 million or illicit profit under VND 100 million); Art 22(2): VND 15 to 20 million at higher values; additional penalty: suspension of feed production for 1 to 3 months; remedial: surrender of illicit profit, destruction of materials",https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-211-2026-ND-CP-xu-phat-vi-pham-hanh-chinh-chan-nuoi-710863.aspx,REG2-10; REG2-07,VN-direct,High,Replaced instrument not visible in extract (probably Decree 14/2021/ND-CP; not verified). Fines are per material type,wave 2 REG2,
INS-053,"Decision announcing new, amended and abolished administrative procedures in nature conservation and biodiversity",375/QĐ-BNNMT,decision,Ministry of Agriculture and Environment,2026-01-29,2026-01-29 (assumed),in force,GMO biosafety procedures,Medium: publishes the procedure for the closed-production GMO certificate needed for precision fermentation with GM strains made in Vietnam,"Lists new procedure 'Cấp Giấy chứng nhận sinh vật biến đổi gen đủ điều kiện sử dụng trong sản xuất khép kín'; food/feed GMO certificate procedure amended under Decree 43/2026, implemented by MAE Department of Science and Technology",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-375-QD-BNNMT-2026-cong-bo-thu-tuc-hanh-chinh-bao-ton-thien-nhien-va-da-dang-sinh-hoc-694623.aspx,REG2-12,VN-direct,Medium,"Extract placed the closed-production procedure under a provincial-level section (Department of Agriculture and Environment), which conflicts with Decree 43/2026 naming MAE. Steps, time limit and fee not visible",wave 2 REG2,
INS-054,"Decrees guiding the Law on Science, Technology and Innovation",263/2025/ND-CP; 265/2025/ND-CP; 267/2025/ND-CP; 268/2025/ND-CP,decree,Government,2025-10-14,not read,in force,"S&T finance, tasks, innovation, startups",Medium: funding and task routes (e.g. public feed trials as state S&T tasks); none sets up the Art 21 to 23 controlled-testing procedure,"263: autonomy, human resources, talent. 265: finance and investment for STI. 267: programmes, tasks, promotion of research (mentions reporting for tasks with controlled experimental production). 268: innovation tasks, loan interest support, commercialisation vouchers, startup recognition; no controlled-testing provisions",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-268-2025-ND-CP-huong-dan-Luat-Khoa-hoc-cong-nghe-khuyen-khich-hoat-dong-khoa-hoc-677733.aspx,REG2-14; REG2-15,VN-direct,Medium,No general sandbox decree under Law 93/2025 Art 21(6) found as of 23 Sep 2026,wave 2 REG2,
INS-055,Hanoi resolution on controlled testing of new technologies (sandbox),29/2025/NQ-HĐND,resolution (provincial),Hanoi People's Council,2025-09-29,not read,in force,sandbox,High: the only operating sandbox found that lists biotech among priority fields,"Criteria and conditions for selection; procedures for registration, appraisal, permission, adjustment, extension and termination of controlled testing in Hanoi",https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=c%C6%A1%20ch%E1%BA%BF%20th%E1%BB%AD%20nghi%E1%BB%87m%20c%C3%B3%20ki%E1%BB%83m%20so%C3%A1t&sort=1,REG2-16,VN-direct,Medium,"Legal basis: Law on the Capital 2024 (39/2024/QH15, number from background knowledge) Art 25(9). Full text not read; whether a Hanoi sandbox can derogate from national food safety law is untested",wave 2 REG2,
INS-056,Hanoi decision on priority fields for controlled testing,6150/QĐ-UBND,decision (provincial),Hanoi People's Committee,2025-12-11,2025-12-11 (assumed),in force,sandbox,"High: names 'công nghệ sinh học' (biotech), 'công nghệ y - sinh học tiên tiến' and 'công nghệ cao trong nông nghiệp' as priority fields","Four groups of priority fields: Capital Law key S&T fields (digital, ICT, biotech, new materials, manufacturing and automation, environment); Resolution 34/2025/NQ-HĐND fields (smart city, education, health, advanced bio-medical, fintech, high-tech agriculture); strategic technologies under Decision 1131/QĐ-TTg; cultural and creative innovation. Approving body: Hanoi People's Committee",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-6150-QD-UBND-2025-linh-vuc-uu-tien-dang-ky-thuc-hien-thu-nghiem-co-kiem-soat-Ha-Noi-684718.aspx,REG2-17,VN-direct,High,Decision 1131/QĐ-TTg was replaced by Decision 21/2026/QĐ-TTg from 1 Jul 2026 (wave 1 REG-56),wave 2 REG2,
INS-057,Other sector and provincial sandboxes (precedents),94/2025/ND-CP; 248/2025/QĐ-UBND (Hai Phong); 20/2026/NQ-HĐND (Da Nang),decree; provincial decisions,Government; Hai Phong People's Committee; Da Nang People's Council,2025-04-29; 2025-12-26; 2026-05-29,not read,in force,sandbox,Low to Medium: templates for a food or biotech sandbox,94/2025: controlled testing in banking (fintech). Hai Phong: technology-solution sandbox. Da Nang: new-technology sandbox,https://thuvienphapluat.vn/van-ban/Tien-te-Ngan-hang/Nghi-dinh-94-2025-ND-CP-Co-che-thu-nghiem-co-kiem-soat-trong-linh-vuc-ngan-hang-584706.aspx,REG2-16,VN-direct,Medium,Titles and dates only; scope for food not checked,wave 2 REG2,
INS-058,Decree guiding the Law on Corporate Income Tax,320/2025/ND-CP,decree,Government,2025-12-15,applies from 2025 tax period,in force (corrected by MOF Decision 517/QĐ-BTC per wave 1),tax incentives,Medium: sets conditions for agri-processing exemption and new-technology exemption,"Art 4(1)(b): exemption for processed agricultural and aquatic products requires agri or aquatic raw materials of at least 30% of production cost and product not subject to special consumption tax. Art 4(4)(b): income from products made with technology applied for the first time in Vietnam is exempt for 3 years, subject to confirmation by the competent authority",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-dinh-320-2025-ND-CP-huong-dan-Luat-Thue-thu-nhap-doanh-nghiep-665051.aspx,REG2-18,VN-direct,Medium,"Incentive chapter (rates, criteria for new projects applying high technology) not rendered. A precision-fermentation plant using imported sugar may fail the 30% agri raw-material test; cassava-based fermentation likely passes (interpretation)",wave 2 REG2,
INS-059,Decree amending MFN import duty rates for certain goods,73/2025/ND-CP,decree,Government,2025-03-31,2025-03-31,in force,tariffs,Medium: made the main feed protein and energy imports duty-free,"1005.90.99 maize (other) 2% to 0%; 2304.00.29 and 2304.00.90 soybean meal to 0%; 2304.00.21 defatted soy flour for human food kept at 2%; plus cuts on chicken thighs, almonds, apples, cherries, raisins, ethanol",https://thuvienphapluat.vn/van-ban/Xuat-nhap-khau/Nghi-dinh-73-2025-ND-CP-sua-doi-muc-thue-suat-thue-nhap-khau-uu-dai-Nghi-dinh-26-2023-ND-CP-649748.aspx,REG2-21,VN-direct,Medium,Extraction-based; previous rates per extract. Lowers the price bar novel feed proteins must beat,wave 2 REG2,
INS-060,"Decree on export tariff, MFN import tariff schedules (base schedule)",26/2023/ND-CP,decree,Government,2023-05-31,2023-07-15 (background),in force as amended (Decree 144/2024; 21/2025; 73/2025; 108/2025; 260/2025; 72/2026; 201/2026),tariffs,Medium: sets MFN rates for protein ingredients,Appendix II MFN schedule (not rendered). WITS 2023 applied MFN: 1201.90 0%; 2301.20 0%; 1109 10%; 2106.10 5%; 3504 3%; 2102.10 10%; 2102.20 7%,https://thuvienphapluat.vn/van-ban/Xuat-nhap-khau/Nghi-dinh-26-2023-ND-CP-Bieu-thue-xuat-khau-Bieu-thue-nhap-khau-uu-dai-548616.aspx,REG2-22; REG2-23; REG2-28,VN-direct,Medium,"Amendment list from thuvienphapluat search; contents of 144/2024, 108/2025 and 72/2026 (fuel and feedstock) not checked for these lines",wave 2 REG2,
INS-061,MOH plan for drafting the revised Food Safety Law,1834/QĐ-BYT,decision,Ministry of Health,2025-06-03,2025-06-03,in force,food safety law reform,Low: procedural,Drafting plan for the amended Law on Food Safety,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-1834-QD-BYT-2025-Ke-hoach-soan-thao-Luat-An-toan-thuc-pham-sua-doi-659575.aspx,REG2-07,VN-direct,Medium,Not read; identification only,wave 2 REG2,
INS-062,Circular guiding the labelling decree,05/2019/TT-BKHCN,circular,Ministry of Science and Technology,2019-06-26,not read,in force (no replacement found),labelling,Low to Medium: guidance on technical specifications and warnings; no allergen list found,Art 9: technical specifications and warning information on labels. No list of allergens visible in extract,https://thuvienphapluat.vn/van-ban/Thuong-mai/Thong-tu-05-2019-TT-BKHCN-huong-dan-Nghi-dinh-43-2017-ND-CP-ve-nhan-hang-hoa-421184.aspx,REG2-25,VN-direct,Medium,"Absence of a mandatory allergen list in Decree 43/2017, Decree 111/2021 and this circular is Medium confidence (extract-based)",wave 2 REG2,
INS-063,"Thailand MOPH Notification No. 376 (B.E. 2559) Re: Novel food, and Thai FDA implementing documents",No. 376 (B.E. 2559),foreign regulation,"Ministry of Public Health, Thailand (Thai FDA)",2016,2016 (background),in force; approved list updated Sep 2025,novel food precedent,"High as a template: pre-market safety assessment through FDA-recognised assessment units, with separate forms for cultivated meat and guidance on mycoprotein",Thai FDA novel-food page lists: Notification 376 (Thai and English); FDA clarification of interpretation; list of approved safety assessment units; application form for novel food safety assessment; cultivated meat application form; non-novel food application form; guidance incl. mycoprotein safety assessment; approved applicants list (Sep 2025 update),https://food.fda.moph.go.th/food-law/category/f-novel-food/,REG2-26,VN-adjacent,Medium,"Definition and history-of-use period not read (PDF blocked by robots.txt). Background: novel food is food with under 15 years of consumption history (Low, not verified)",wave 2 REG2,
INS-064,"EU Novel Food Regulation, traditional food from third countries route",(EU) 2015/2283,foreign regulation,European Parliament and Council,2015-11-25,2018-01-01,in force,novel food precedent,Medium as a template: a notification route for foods with a long history of safe use outside the EU,"Novel food = no significant consumption in the EU before 15 May 1997 (verified via secondary). Background, not verified in this wave: traditional food from a third country needs 25 years of safe use; notification with a 4-month window for reasoned safety objections by Member States or EFSA; if none, authorised; ordinary route EFSA 9 months plus Commission 7 months",https://eur-lex.europa.eu/eli/reg/2015/2283/oj/eng,REG2-27,general,Low,EUR-Lex text did not render in the fetch tool,wave 2 REG2,
INS-065,Scheme for developing the animal feed industry (feed scheme),1625/QD-TTg,decision,Prime Minister,2023-12,2023-12,in force,feed,High,"24 to 25 Mt of industrial livestock feed in 2025 and 30 to 32 Mt in 2030; domestic feed additives to meet 30 to 35% of demand; about VND 1,310 billion, about VND 700 billion of it for by-product processing",,NTS-23,VN-direct,Medium,Missed in edition 1.0. Indicates the 2030 feed target covers livestock feed only (answers OQ-127 at Medium confidence). Day of issue not recorded in the notes.,"edition 1.1 (futures round, NTS)",[edition 1.1] New row.
INS-066,"Plan for developing the biotechnology industry in agriculture to 2030, vision 2045",1466/QD-TTg,decision,Prime Minister,2026-07-31,2026-07-31,in force,agri-biotech,Medium,"Replace at least 50% of imported biotech products and reach 7% of biotech industry value added by 2030; 60% and 15% for 2031 to 2035; names enzyme, protein and microbial technology for nutrient-use efficiency in livestock and aquaculture; does not name alternative protein, new food, precision fermentation or microbial biomass",,NTS-35,VN-direct,Medium,Replaces Decision 429/QD-TTg (INS-043).,"edition 1.1 (futures round, NTS)",[edition 1.1] New row.
