record_id,platform,item_id,search_query,category,subcategory,plant_or_animal,product_name_vi,product_name_en,brand,seller_name,seller_type,official_or_mall_badge,qty_per_sold_unit_l_or_kg,listed_price_vnd,vnd_per_l_or_kg,units_sold_counter,counter_precision,rating,review_count,protein_claim,protein_g_per_100,protein_basis,vnd_per_20g_protein,volume_sold_l_or_kg,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
MKT-L47,Lazada,1139402354,sườn non chay,chay food,dry textured soy and gluten pieces,plant,2KG SƯỜN NON CHAY TÂM PHÁT,"Tam Phat dry vegetarian ribs, 2 x 1 kg",Tam Phat,Thực phẩm Chay Tâm Phát,third-party shop,no,2.0,188000,94000,1900,"rounded to nearest 100 above 1,000 (displayed 1.9K)",4.9,599,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2819 to 3527,3800.0,https://www.lazada.vn/products/pdp-i1139402354.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L48,Lazada,2580649280,sườn non chay,chay food,dry textured soy and gluten pieces,plant,1KG SƯỜN NON CHAY THIÊN ĐỨC (1kg dày),"Thien Duc dry vegetarian ribs, 1 kg",Thien Duc,Chuyên Sỉ Thiên Đức 1,third-party shop,no,1.0,100000,100000,4100,"rounded to nearest 100 above 1,000 (displayed 4.1K)",4.9,1341,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2999 to 3752,4100.0,https://www.lazada.vn/products/pdp-i2580649280.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown. Seller name says wholesale.
MKT-L49,Lazada,2197458323,sườn non chay,chay food,dry textured soy and gluten pieces,plant,1kg Sườn non chay TPC AN TUỆ (loại dày),"An Tue dry vegetarian ribs, 1 kg",An Tue,TPC AN TUỆ HCM,third-party shop,no,1.0,59000,59000,1400,"rounded to nearest 100 above 1,000 (displayed 1.4K)",5.0,482,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",1769 to 2214,1400.0,https://www.lazada.vn/products/pdp-i2197458323.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L50,Lazada,1412332503,sườn non chay,chay food,dry textured soy and gluten pieces,plant,SƯỜN NON CHAY KHÁNH AN 1KG,"Khanh An dry vegetarian ribs, 1 kg",Khanh An,Anan.0104,third-party shop,no,1.0,158680,158680,982,exact as displayed,4.9,238,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",4758 to 5954,982.0,https://www.lazada.vn/products/pdp-i1412332503.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L51,Lazada,2268007105,đồ chay,chay food,dry textured soy and gluten pieces,plant,1KG BÒ LÁT CHAY TPC AN TUỆ,"An Tue dry vegetarian beef slices, 1 kg",An Tue,TPC AN TUỆ HCM,third-party shop,no,1.0,79000,79000,632,exact as displayed,5.0,205,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2369 to 2964,632.0,https://www.lazada.vn/products/pdp-i2268007105.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Name says imported, non-GM."
MKT-L52,Lazada,3099669181,sườn non chay,chay food,dry textured wheat and soy pieces,plant,[THUẦN CHAY] Sườn Non Lúa Mạch Chay An Nhiên 150g,"An Nhien barley vegetarian ribs, 150 g",An Nhien,AN NHIÊN FOOD - THỰC PHẨM CHAY,brand official store (LazMall badge),yes,0.15,63000,420000,212,exact as displayed,5.0,22,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",12594 to 15760,31.8,https://www.lazada.vn/products/pdp-i3099669181.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown. The only chay maker with an official-store badge among rows read.
MKT-L53,Lazada,3005588491,đồ chay,chay food,"frozen or chilled chay, meat-like",plant,Xúc xích chay gói 500g (12 cây) (HÀNG LẠNH) Thiện Tâm,"Thien Tam chilled vegetarian sausages, 500 g",unbranded (Thien Tam shop),Thực phẩm chay Thiện Tâm,third-party shop,no,0.5,55000,110000,553,exact as displayed,5.0,141,no,,,,276.5,https://www.lazada.vn/products/pdp-i3005588491.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Chilled; Ho Chi Minh City delivery.
MKT-L54,Lazada,1389236795,chả chay,chay food,"frozen or chilled chay, meat-like",plant,1KG CHẢ NẤM CHAY DIỄM TRANG (đông lạnh),"Diem Trang frozen mushroom chay loaf, 1 kg",Diem Trang,Thực phẩm Chay Tâm Phát,third-party shop,no,1.0,175000,175000,1100,"rounded to nearest 100 above 1,000 (displayed 1.1K)",4.9,275,no,,,,1100.0,https://www.lazada.vn/products/pdp-i1389236795.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Frozen; Ho Chi Minh City only.
MKT-L55,Lazada,2425357619,chả chay,chay food,"frozen or chilled chay, meat-like",plant,1KG CHẢ NẤM BÀO NGƯ DIỄM TRANG CHAY (hàng lạnh),"Diem Trang oyster-mushroom chay loaf, 1 kg",Diem Trang,Thực phẩm chay sạch An Tuệ,third-party shop,no,1.0,115000,115000,684,exact as displayed,5.0,235,no,,,,684.0,https://www.lazada.vn/products/pdp-i2425357619.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L56,Lazada,1843923082,thịt chay đông lạnh,chay food,"frozen or chilled chay, meat-like",plant,1 KG THỊT DÊ CHÂN NẤM CHAY (đông lạnh),"frozen mushroom-based vegetarian goat meat, 1 kg",unbranded,Thực phẩm Chay Tâm Phát,third-party shop,no,1.0,195000,195000,397,exact as displayed,4.9,107,no,,,,397.0,https://www.lazada.vn/products/pdp-i1843923082.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L57,Lazada,1552847117,giò chay,chay food,frozen chay spring roll,plant,Chả giò da xốp Cầu Tre nhân Chay 400g,"Cau Tre (CJ) frozen vegetarian spring rolls, 400 g",Cau Tre (CJ Foods Vietnam),CJ Market,brand official store (LazMall badge),yes,0.4,42630,106575,1300,"rounded to nearest 100 above 1,000 (displayed 1.3K)",4.9,113,no,,,,520.0,https://www.lazada.vn/products/pdp-i1552847117.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Incumbent brand, official store."
MKT-L58,Lazada,2197566135,thịt chay đông lạnh,chay food,ready-to-eat chay,plant,Thịt kho tiêu chay Ánh Dương 200g,"Anh Duong vegetarian braised pork with pepper, 200 g",Anh Duong,TPC AN TUỆ HCM,third-party shop,no,0.2,35000,175000,2900,"rounded to nearest 100 above 1,000 (displayed 2.9K)",5.0,585,no,,,,580.0,https://www.lazada.vn/products/pdp-i2197566135.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L59,Lazada,1569601360,giò lụa,chay food,chay gio (shelf-stable),plant,Giò Lụa Bò Chay Âu Lạc 250 gr (hàng tiệt trùng),"Au Lac sterilised vegetarian beef gio, 250 g",Au Lac,Thực Phẩm Chay HIỀN ĐÀO,third-party shop,no,0.25,45000,180000,11,exact as displayed,5.0,4,no,,,,2.8,https://www.lazada.vn/products/pdp-i1569601360.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Au Lac has no official store among rows read.
MKT-L60,Lazada,1497779252,thịt chay đông lạnh,chay food,dry or frozen chay mince,plant,Thịt Bằm Chay Âu Lạc 1 kg,"Au Lac vegetarian mince, 1 kg",Au Lac,Thực Phẩm Chay HIỀN ĐÀO,third-party shop,no,1.0,225000,225000,13,exact as displayed,5.0,2,no,,,,13.0,https://www.lazada.vn/products/pdp-i1497779252.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L61,Lazada,13419242119,thịt thực vật,plant-based meat analogue,modern analogue,plant,Thịt Thực Vật Giàu Protein Có Thể Xé Sợi,shreddable high-protein plant meat (origin not stated),no brand,Trendy Finds Store,third-party shop,no,,176000,,90,exact as displayed,,0,yes: Giau Protein in name,,,,,https://www.lazada.vn/products/pdp-i13419242119.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. The only listing named as plant meat among results; no rating; seller sells unrelated goods. No Meat Zero, Beyond, Omni or other branded analogue listing found for ""thịt thực vật"" or ""meat zero""."
MKT-L62,Lazada,3081770208,đậu hũ,tofu and soy,dried tofu skin,plant,Tàu Hủ Ky Lá Khô (Váng Đậu) / Tofu Skin 1 kg,"dried tofu skin, 1 kg",unbranded,Ome Shop,third-party shop,no,1.0,100000,100000,111,exact as displayed,4.9,27,no,,,,111.0,https://www.lazada.vn/products/pdp-i3081770208.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. No fresh soy tofu listing with sales on page 1 of ""đậu hũ"" or ""đậu phụ tươi""."
MKT-L63,Lazada,1256609504,đậu hũ,tofu and soy,fish tofu (not soy),animal,Đậu hủ phô mai hàng nhập 500g,"imported fish-cheese tofu (surimi), 500 g",unbranded,Ngocdung_wave,third-party shop,no,0.5,137610,275220,2400,"rounded to nearest 100 above 1,000 (displayed 2.4K)",4.9,430,no,,,,1200.0,https://www.lazada.vn/products/pdp-i1256609504.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. A fish product sold as dau hu; shows what ""tofu"" searches return."
MKT-L64,Lazada,1849258940,giò lụa,processed meat (comparator),gio lua,animal,Giò lụa 250g - giò làm từ thịt tươi cp,"CP pork gio lua, 250 g",CP,CP Việt Nam,brand official store (LazMall badge),yes,0.25,37191,148764,1100,"rounded to nearest 100 above 1,000 (displayed 1.1K)",5.0,246,no,,,,275.0,https://www.lazada.vn/products/pdp-i1849258940.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L65,Lazada,2165233741,giò lụa,processed meat (comparator),cha lua,animal,CHẢ LỤA NGON ĐÒN 1kg,"cha lua pork loaf, 1 kg (unbranded)",unbranded,Ngocdung_wave,third-party shop,no,1.0,96798,96798,383,exact as displayed,4.7,133,no,,,,383.0,https://www.lazada.vn/products/pdp-i2165233741.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L66,Lazada,2439978160,xúc xích,processed meat (comparator),sausage,animal,[Chọn loại] Xúc xích tiệt trùng Ponnie Heo 35g,Masan Ponnie sterilised pork sausage (variants),Ponnie (Masan),MASAN CONSUMER,brand official store (LazMall badge),yes,,215000,,30700,"rounded to nearest 100 above 1,000 (displayed 30.7K)",5.0,8233,no,,,,,https://www.lazada.vn/products/pdp-i2439978160.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Listing has several variants; pack weight of the counted units unknown.
MKT-L67,Lazada,1912330702,xúc xích,processed meat (comparator),sausage,animal,Xúc xích vealz 3a gói 500g - xúc xích tươi cp,"CP Vealz fresh sausage, 500 g",CP,CP Việt Nam,brand official store (LazMall badge),yes,0.5,42582,85164,7100,"rounded to nearest 100 above 1,000 (displayed 7.1K)",5.0,949,no,,,,3550.0,https://www.lazada.vn/products/pdp-i1912330702.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L68,Lazada,1849266891,xúc xích,processed meat (comparator),sausage,animal,Xúc xích winner 500g - xúc xích tươi cp,"CP Winner fresh sausage, 500 g",CP,CP Việt Nam,brand official store (LazMall badge),yes,0.5,40180,80360,1200,"rounded to nearest 100 above 1,000 (displayed 1.2K)",5.0,191,no,,,,600.0,https://www.lazada.vn/products/pdp-i1849266891.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L69,Lazada,13404426614,xúc xích,processed meat (comparator),"sausage, protein claim",animal,BIBIZAN Thịt Xúc Xích Gà Thay Thế Bữa Ăn Fitness Protein Cao,Bibizan high-protein chicken sausage,Bibizan,Bibizan Global,brand official store (LazMall badge),yes,,117000,,97,exact as displayed,4.9,11,yes: Protein Cao in name,,,,,https://www.lazada.vn/products/pdp-i13404426614.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L70,Lazada,1849258872,thịt thực vật,fresh meat (comparator),pork mince,animal,Thịt xay 300g - thịt lợn cp tươi sạch,"CP fresh minced pork, 300 g",CP,CP Việt Nam,brand official store (LazMall badge),yes,0.3,43941,146470,5500,"rounded to nearest 100 above 1,000 (displayed 5.5K)",5.0,723,no,,,,1650.0,https://www.lazada.vn/products/pdp-i1849258872.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Returned by the search ""thịt thực vật"" (plant meat)."
MKT-T01,Tiki,12629696,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp),"Vinasoy Fami original soy milk, 36 x 200 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),7.2,158000,21944,27855,exact as displayed,5,385,no,1.9,"label value for Fami Nguyen Chat in the retail audit (FORM-01, SKU-032)",23099,200556.0,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest counter read on Tiki.
MKT-T02,Tiki,12629704,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 40 Bịch),"Vinasoy Fami original soy milk, 40 x 200 ml bags",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),8.0,157609,19701,21295,exact as displayed,4.8,549,no,1.9,"label value for Fami Nguyen Chat in the retail audit (FORM-01, SKU-032)",20738,170360.0,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T03,Tiki,23192253,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng sữa đậu nành Vinasoy Fami Canxi Nguyên vị (200ml x 36 hộp),"Vinasoy Fami Canxi soy milk, 36 x 200 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),7.2,141304,19626,17676,exact as displayed,4.8,461,no (calcium claim),,,,127267.2,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T04,Tiki,32951822,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 40 bịch),"Vinasoy Fami Canxi reduced-sugar soy milk, 40 x 200 ml bags",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),8.0,150000,18750,14183,exact as displayed,4.8,2461,no (calcium claim),2.5,"label value for Fami Canxi It Duong, Fami Nguyen Chat It Duong or Fami Green Soy in the retail audit (FORM-01, SKU-125, SKU-126, SKU-146)",15000,113464.0,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T05,Tiki,32951826,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 36 Hộp),"Vinasoy Fami Canxi reduced-sugar soy milk, 36 x 200 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),7.2,164000,22778,9958,exact as displayed,5,577,no (calcium claim),2.5,"label value for Fami Canxi It Duong, Fami Nguyen Chat It Duong or Fami Green Soy in the retail audit (FORM-01, SKU-125, SKU-126, SKU-146)",18222,71697.6,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T06,Tiki,32951824,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành Vinasoy Fami Nguyên Chất ít đường (200ml x 36 Hộp),"Vinasoy Fami original reduced-sugar soy milk, 36 x 200 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),7.2,158000,21944,5967,exact as displayed,5,430,no,2.5,"label value for Fami Canxi It Duong, Fami Nguyen Chat It Duong or Fami Green Soy in the retail audit (FORM-01, SKU-125, SKU-126, SKU-146)",17556,42962.4,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T07,Tiki,193210912,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng sữa đậu nành Vinasoy Fami Canxi Plus ít đường hộp (200ml x 36 hộp),"Vinasoy Fami Canxi Plus (glucosamine) soy milk, 36 x 200 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),7.2,196000,27222,372,exact as displayed,4.8,35,no numeric claim (description mentions plant protein),,,,2678.4,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T08,Tiki,274273465,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng sữa đậu nành Vinasoy Fami Green soy không bổ sung đường (36 hộp x 180ml),"Vinasoy Fami Green Soy, no added sugar, 36 x 180 ml",Fami (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),6.48,187000,28858,130,exact as displayed,5,11,no,2.5,"label value for Fami Canxi It Duong, Fami Nguyen Chat It Duong or Fami Green Soy in the retail audit (FORM-01, SKU-125, SKU-126, SKU-146)",23086,842.4,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T09,Tiki,21969658,goldsoy,plant milk,"soy milk, high protein",plant,Thùng 12 Hộp Sữa Đậu Nành Không Đường Goldsoy (1L),"Vinamilk GoldSoy unsweetened soy milk, 12 x 1 L",Vinamilk (GoldSoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),12.0,292000,24333,542,exact as displayed,4.8,93,"claim on Lazada page, not on Tiki page",3.2,"""up to 3.2 g protein per 100 ml"" on the Lazada product page (MKT-04)",15208,6504.0,https://tiki.vn/search?q=goldsoy,MKT-05; MKT-06; MKT-04,VN-direct,Low,revealed,Cumulative counter; start date not shown. Tiki page (MKT-06) shows no protein figure; value from the Lazada page of the same product.
MKT-T10,Tiki,21969518,goldsoy,plant milk,"soy milk, standard",plant,Thùng 12 Hộp Sữa Đậu Nành Goldsoy (1L),"Vinamilk GoldSoy sweetened soy milk, 12 x 1 L",Vinamilk (GoldSoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),12.0,292000,24333,101,exact as displayed,4.7,15,not read,,,,1212.0,https://tiki.vn/search?q=goldsoy,MKT-05,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T11,Tiki,21196433,sữa đậu nành,plant milk,"soy milk, flavoured",plant,Thùng 48 hộp Sữa đậu nành Vinamilk hạt Óc chó 180ml,"Vinamilk walnut soy milk, 48 x 180 ml",Vinamilk,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),8.64,321000,37153,558,exact as displayed,4.7,132,no,2.0,"label value for Vinamilk walnut soy milk 180 ml in the retail audit (FORM-01, SKU-079)",37153,4821.1,https://tiki.vn/search?q=s%E1%BB%AFa%20%C4%91%E1%BA%ADu%20n%C3%A0nh,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T12,Tiki,176103097,sữa hạt,plant milk,"nut and seed milk, standard",plant,Thùng 24 hộp Sữa hạt 9 loại hạt Vinamilk ít đường - hộp 180ml,"Vinamilk 9-nut milk, reduced sugar, 24 x 180 ml",Vinamilk,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),4.32,291000,67361,2017,exact as displayed,5,62,no,1.5,"1.5 g in the nutrition panel on the Tiki product page; basis not printed, read as per 100 ml (energy 71.5 kcal fits per 100 ml)",89815,8713.4,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t,MKT-05; MKT-06; MKT-06,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T13,Tiki,278424813,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp sữa hạt cao đạm Vinamilk ít đường 180ml,"Vinamilk high-protein nut milk, reduced sugar, 24 x 180 ml",Vinamilk,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),4.32,361000,83565,79,exact as displayed,5,2,yes: cao dam in name,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,33426,341.3,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t%20cao%20%C4%91%E1%BA%A1m,MKT-05; MKT-06; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown. Newer listing than the 9-nut milk (higher item number).
MKT-T14,Tiki,279561153,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp Sữa hạt Cao đạm không đường Vinamilk 180ml,"Vinamilk high-protein nut milk, unsweetened, 24 x 180 ml",Vinamilk,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),4.32,433901,100440,8,exact as displayed,0,0,yes: cao dam in name,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,40176,34.6,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t%20cao%20%C4%91%E1%BA%A1m,MKT-05; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T15,Tiki,278424988,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp sữa hạt cao đạm ít đường Vinamilk 240ml,"Vinamilk high-protein nut milk, reduced sugar, 24 x 240 ml",Vinamilk,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),5.76,512000,88889,10,exact as displayed,0,0,yes: cao dam in name,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,35556,57.6,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t%20cao%20%C4%91%E1%BA%A1m,MKT-05; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T16,Tiki,48696728,sữa hạt,plant milk,"nut and seed milk, standard",plant,Sữa Hạt Hạnh Nhân ALMOND BREEZE Nguyên Chất Không Đường Hộp 946ml,Almond Breeze unsweetened almond milk 946 ml,Almond Breeze,Sữa Hạt Hạnh Nhân,third-party shop,no,0.946,129320,136702,2195,exact as displayed,4.7,106,no,,,,2076.5,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t,MKT-05,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Sold by a third-party seller (Sua Hat Hanh Nhan), not Tiki Trading."
MKT-T17,Tiki,48696593,sữa hạt,plant milk,"nut and seed milk, standard",plant,Sữa Hạt Hạnh Nhân ALMOND BREEZE Nguyên Chất Hộp 946ml,Almond Breeze original almond milk 946 ml,Almond Breeze,Sữa Hạt Hạnh Nhân,third-party shop,no,0.946,129320,136702,912,exact as displayed,4.5,54,no,,,,862.8,https://tiki.vn/search?q=s%E1%BB%AFa%20h%E1%BA%A1t,MKT-05,VN-direct,Low,revealed,Cumulative counter; start date not shown. Third-party seller.
MKT-T18,Tiki,278933466,sữa yến mạch,plant milk,oat milk,plant,Thùng 6 hộp Sữa yến mạch OATSIDE vị nguyên bản Barista Blend 1L,"Oatside Barista Blend oat milk, 6 x 1 L",OATSIDE,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),6.0,242000,40333,82,exact as displayed,5,6,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,73333 to 115238,492.0,https://tiki.vn/search?q=s%E1%BB%AFa%20y%E1%BA%BFn%20m%E1%BA%A1ch,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T19,Tiki,278495911,sữa yến mạch,plant milk,oat milk,plant,Thùng Veyo Sữa hạt SMARTY Yến mạch - Óc chó vị sữa (30hộp x 180ml),"Vinasoy Veyo oat and walnut milk, 30 x 180 ml",Veyo (Vinasoy),Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),5.4,260000,48148,73,exact as displayed,4.5,4,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,87542 to 137566,394.2,https://tiki.vn/search?q=s%E1%BB%AFa%20y%E1%BA%BFn%20m%E1%BA%A1ch,MKT-05; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T20,Tiki,2454283,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan Có Đường (48X180ml),"Dutch Lady sweetened UHT milk, 48 x 180 ml",Dutch Lady,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),8.64,411000,47569,29221,exact as displayed,4.8,566,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",24395,252469.4,https://tiki.vn/search?q=s%E1%BB%AFa%20t%C6%B0%C6%A1i%20ti%E1%BB%87t%20tr%C3%B9ng,MKT-05; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest dairy counter read on Tiki.
MKT-T21,Tiki,13409453,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Có Đường (48 x 110ml),"Dutch Lady sweetened UHT milk, 48 x 110 ml",Dutch Lady,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),5.28,261000,49432,1974,exact as displayed,4.8,306,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",25350,10422.7,https://tiki.vn/search?q=s%E1%BB%AFa%20t%C6%B0%C6%A1i%20ti%E1%BB%87t%20tr%C3%B9ng,MKT-05; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-T22,Tiki,14968699,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 12 hộp Sữa tươi tiệt trùng nguyên kem Meadow Fresh 1L,"Meadow Fresh whole UHT milk (New Zealand), 12 x 1 L",Meadow Fresh,Tiki Trading,platform first-party retail (Tiki Trading),no (first-party),12.0,565000,47083,871,exact as displayed,4.8,131,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",24145,10452.0,https://tiki.vn/search?q=s%E1%BB%AFa%20t%C6%B0%C6%A1i%20ti%E1%BB%87t%20tr%C3%B9ng,MKT-05; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
