record_id,metric,value,query_or_oql,source_ids,evidence_label,confidence,notes
VRP-033,"Top institution, screened core set",VNU Hanoi (University of Science): 2 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: methanotroph isolation for single-cell protein (2016); synthetic biology food review (2025).
VRP-034,"Top institution, screened core set",Vietnam Academy of Science and Technology: 1 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Screened: bovine adipose-derived stem cells (2025), the first livestock-cell characterisation relevant to cultivated meat found."
VRP-035,"Top institution, screened core set",Phenikaa University: 1 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Screened: single-cell protein from yeasts isolated from fermented foods (2026, NIFC journal)."
VRP-036,"Top institution, screened core set",Hanoi University of Science and Technology: 1 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: protein products from alcoholic beverage by-products (2024). HUST's rice distillers' grain papers do not use the core terms and are missed.
VRP-037,Partner country: Australia,15 raw core (16.5%); 28 adjacent (9.3%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Curtin, Sunshine Coast, Murdoch, Deakin aquafeed networks. The leading partner in both sets."
VRP-038,Partner country: Thailand,9 raw core (9.9%); 14 adjacent (4.7%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Khon Kaen (ruminant, mostly off-topic), Kasetsart (mung bean patties), Chiang Mai."
VRP-039,Partner country: United States,9 raw core (9.9%); 19 adjacent (6.3%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Rhode Island (snakehead), US shrimp feed firms."
VRP-040,Partner country: China,6 raw core (6.6%); 23 adjacent (7.6%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,Nanjing Agricultural University (duckweed and rice).
VRP-041,Partner country: India,5 raw core; 25 adjacent (8.3%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,Partly false tags via RIA1 mis-mapping.
VRP-042,Partner country: Japan,5 raw core; 11 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,JSPS-funded work; no koji or fermentation partnership found.
VRP-043,Partner country: Germany,3 raw core; 12 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,IPK Gatersleben duckweed genomics; Hohenheim aquafeed.
VRP-044,Partner country: Bangladesh,5 raw core; 6 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,Patuakhali University via the Curtin aquafeed network.
VRP-045,Partner country: South Korea,3 raw core; 10 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,No food-tech partnership found.
VRP-046,Partner country: Singapore,0 in top 20 of either set,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,No Singapore co-authorship visible despite Singapore's lead in cultivated meat research; a gap.
VRP-047,Funder acknowledged: NAFOSTED (National Foundation for Science and Technology Development),5 core; 22 adjacent (7.3%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"OpenAlex funder field; many Vietnamese papers carry no funder metadata, so counts are lower bounds."
VRP-048,Funder acknowledged: Ministry of Education and Training,3 core; 9 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"OpenAlex funder field; many Vietnamese papers carry no funder metadata, so counts are lower bounds."
VRP-049,Funder acknowledged: VAST,1 core; 8 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"OpenAlex funder field; many Vietnamese papers carry no funder metadata, so counts are lower bounds."
VRP-050,Funder acknowledged: VNU-HCM,6 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"OpenAlex funder field; many Vietnamese papers carry no funder metadata, so counts are lower bounds."
VRP-051,Funder acknowledged: Vingroup,3 adjacent,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) | CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"OpenAlex funder field; many Vietnamese papers carry no funder metadata, so counts are lower bounds."
