record_id,province,school_en,school_week_id,week_start,weekday,protein_dishes_vi,protein_codes,n_protein_dishes,plant_protein_in_protein_dishes,plant_role,animal_free_day,minced_or_processed_meat_or_fish_dish,fish_or_seafood,plant_protein_in_soup,textured_soy_or_mock_meat,menu_author,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-M109,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W2,2026-09-14,Thu,Cá basa chiên sả ớt,fish,1,none,none,no,no,yes,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M110,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W2,2026-09-14,Fri,Bún bò,beef,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M111,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W3,2026-09-21,Mon,Trứng chiên cuộn thịt,egg+pork,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M112,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W3,2026-09-21,Tue,Cá basa file chiên giòn,fish,1,none,none,no,no,yes,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M113,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W3,2026-09-21,Wed,Thịt kho tiêu,pork,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M114,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W3,2026-09-21,Thu,Đậu hũ nhồi thịt sốt cà,tofu+pork,1,tofu,mixed into meat dish,no,yes,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M115,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W3,2026-09-21,Fri,Nui nấu xương,pork,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M116,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W2,2026-09-14,Mon,Chạo mía,seafood_proc,1,none,none,no,yes,yes,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M117,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W2,2026-09-14,Tue,Thịt gà kho gừng,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M118,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W2,2026-09-14,Wed,Thịt kho củ cải,pork,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M119,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W2,2026-09-14,Thu,Trứng chiên thịt bằm,egg+pork,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M120,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W2,2026-09-14,Fri,Phở bò,beef,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M121,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W3,2026-09-21,Mon,Thịt kho trứng vịt,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M122,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W3,2026-09-21,Tue,Đùi gà chiên nước mắm,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M123,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W3,2026-09-21,Wed,Phi lê cá chiên giòn,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M124,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W3,2026-09-21,Thu,Thịt kho chả cá,pork+fish_proc,1,none,none,no,yes,yes,none,none,not stated,,PMR-21,VN-direct,High,revealed,
PMR-M125,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),HCM-TVO-W3,2026-09-21,Fri,Bún riêu cua,mixed+tofu,1,tofu,mixed into meat dish,no,no,no,none,none,not stated,,PMR-21,VN-direct,High,revealed,crab and tomato noodle soup that normally contains fried tofu
PMR-M126,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W2,2026-09-14,Mon,Thịt lợn chiên xù / Chả cá rim thì là,pork / fish_proc,2,none,none,no,yes,yes,none,none,caterer (Hoa Sua format),40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M127,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W2,2026-09-14,Tue,Chả cốm chiên / Thịt lợn xay sốt cà chua,pork_proc / pork,2,none,none,no,yes,no,none,none,caterer (Hoa Sua format),40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M128,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W2,2026-09-14,Wed,Thịt gà om nấm / Trứng cút rim mắm,chicken / egg,2,none,none,no,no,no,none,none,caterer (Hoa Sua format),40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M129,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W2,2026-09-14,Thu,Cá rô file chiên giòn / Đậu thịt sốt cà chua (80 g đậu),fish / tofu,2,tofu,second dish beside meat,no,no,yes,none,none,caterer (Hoa Sua format),40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M130,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W2,2026-09-14,Fri,"Mì Ý sốt thịt bằm (bò, lợn) / Xúc xích sốt chua ngọt",beef+pork / pork_proc,2,none,none,no,yes,no,none,none,caterer (Hoa Sua format),40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M131,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W3,2026-09-21,Mon,Thịt bò hầm khoai tây / Đậu tẩm hành (40 g),beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Hoa Sua catering company,40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M132,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W3,2026-09-21,Tue,Thịt lợn kho tàu / Chả cá rim thì là,pork / fish_proc,2,none,none,no,yes,yes,none,none,Hoa Sua catering company,40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M133,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W3,2026-09-21,Wed,Thịt gà chiên sốt BBQ / Thịt lợn xào ngũ sắc,chicken / pork,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M134,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W3,2026-09-21,Thu,Cá basa tẩm bột chiên / Trứng gà chao rim mắm,fish / egg,2,none,none,no,no,yes,none,none,Hoa Sua catering company,40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M135,Hanoi,Long Bien Primary (Long Bien ward),HN-LB-W3,2026-09-21,Fri,Cơm rang Dương Châu / Xúc xích chiên,mixed / pork_proc,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-22; PMR-06,VN-direct,High,revealed,
PMR-M136,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W2,2026-09-14,Mon,Thịt lợn rang / Chả cá thì là,pork / fish_proc,2,none,none,no,yes,yes,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M137,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W2,2026-09-14,Tue,Thịt gà fillet sốt chua ngọt / Thịt lợn xào ngũ sắc,chicken / pork,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M138,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W2,2026-09-14,Wed,Thịt lợn kho củ cải / Trứng gà kho,pork / egg,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M139,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W2,2026-09-14,Thu,"Cá basa fillet chiên / Đậu non, thịt xay sốt cà chua",fish / tofu,2,tofu,second dish beside meat,no,yes,yes,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M140,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W2,2026-09-14,Fri,Cơm gà Hải Nam,chicken,1,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M141,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W3,2026-09-21,Mon,Cá rô file chiên giòn / Đậu mơ sốt cà chua (80 g),fish / tofu,2,tofu,second dish beside meat,no,no,yes,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M142,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W3,2026-09-21,Tue,Thịt lợn kho tàu / Chả nạc xào lúc lắc,pork / pork_proc,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M143,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W3,2026-09-21,Wed,Chả cốm chiên / Thịt lợn hầm khoai tây,pork_proc / pork,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M144,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W3,2026-09-21,Thu,Thịt gà sốt BBQ / Trứng cút kho tiêu,chicken / egg,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M145,Hanoi,Gia Thuy Primary (Bo De ward),HN-GT-W3,2026-09-21,Fri,Cơm rang Dương Châu / Xúc xích chiên,mixed / pork_proc,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-23; PMR-06,VN-direct,High,revealed,
PMR-M146,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W2,2026-09-14,Mon,Thịt lợn sốt BBQ / Chả cá rim thì là,pork / fish_proc,2,none,none,no,yes,yes,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M147,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W2,2026-09-14,Tue,"Cá rô file chiên giòn / Đậu thịt sốt cà chua (80 g đậu, 7 g thịt)",fish / tofu,2,tofu,second dish beside meat,no,no,yes,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M148,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W2,2026-09-14,Wed,Thịt gà rang gừng / Trứng cút rim mắm,chicken / egg,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M149,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W2,2026-09-14,Thu,Chả cốm chiên / Thịt lợn xào ngũ sắc,pork_proc / pork,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M150,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W2,2026-09-14,Fri,"Thịt bò, thịt lợn hầm sốt vang / Trứng chưng hành",beef+pork / egg,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M151,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W3,2026-09-21,Mon,Thịt lợn kho chả nạc / Muối vừng (30 g),pork+pork_proc / sesame,2,sesame,second dish beside meat,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M152,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W3,2026-09-21,Tue,Thịt gà file sốt chua ngọt / Thịt lợn xào ngũ sắc,chicken / pork,2,none,none,no,no,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M153,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W3,2026-09-21,Wed,Cá basa file chiên xù / Đậu mơ sốt cà chua (80 g),fish / tofu,2,tofu,second dish beside meat,no,no,yes,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M154,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W3,2026-09-21,Thu,Thịt lợn xay rang hành / Trứng chao rim tiêu,pork / egg,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M155,Hanoi,Ngoc Lam Primary (Bo De ward),HN-NL-W3,2026-09-21,Fri,"Đùi gà chiên / Cơm rang thập cẩm (thịt, chả lợn)",chicken / pork+pork_proc,2,none,none,no,yes,no,none,none,Hoa Sua catering company,40000,PMR-24; PMR-06,VN-direct,High,revealed,
PMR-M156,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W2,2026-05-11,Mon,Thịt băm rim mắm hành / Đậu sốt cà chua,pork / tofu,2,tofu,second dish beside meat,no,yes,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M157,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W2,2026-05-11,Tue,Cá file chiên lắc phomai / Giò lợn rim,fish / pork_proc,2,none,none,no,yes,yes,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M158,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W2,2026-05-11,Wed,Ruốc thịt / Trứng cút kho,pork_proc / egg,2,none,none,no,yes,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M159,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W2,2026-05-11,Thu,Thịt tẩm bột chiên vừng / Thịt băm xào khoai tây,pork / pork,2,none,none,no,yes,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M160,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W2,2026-05-11,Fri,Cơm gà Hội An,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M161,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W3,2026-05-18,Mon,Thịt kho nước dừa / Trứng cút kho,pork / egg,2,none,none,no,no,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M162,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W3,2026-05-18,Tue,Bò hầm khoai tây cà rốt / Muối vừng,beef / sesame,2,sesame,second dish beside meat,no,no,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M163,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W3,2026-05-18,Wed,Cá file chiên vừng / Chả lợn rim mắm,fish / pork_proc,2,none,none,no,yes,yes,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M164,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W3,2026-05-18,Thu,Trứng đúc thịt / Ruốc thịt,egg+pork / pork_proc,2,none,none,no,yes,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M165,Hanoi,Quang Trung Primary (Hanoi),HN-QT-M5W3,2026-05-18,Fri,Gà popcorn / Thịt lợn xào ngô,chicken / pork,2,none,none,no,no,no,none,none,not stated,,PMR-25,VN-direct,High,revealed,
PMR-M166,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0316,2026-03-16,Mon,Thịt lợn kho tàu / Trứng gà kho,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M167,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0316,2026-03-16,Tue,Gà phi lê xá xíu / Đậu phụ sốt thịt,chicken / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M168,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0316,2026-03-16,Wed,Cá basa chiên giòn / Giò lụa rim ngũ sắc,fish / pork_proc,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M169,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0316,2026-03-16,Thu,Thịt lợn viên sốt cà chua / Trứng gà tráng,pork_proc / egg,2,none,none,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M170,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0316,2026-03-16,Fri,"Bò kho khoai tây, cà rốt / Đậu sốt cà chua",beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M171,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0323,2026-03-23,Mon,Thịt lợn rán ngũ vị / Trứng đảo bông,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M172,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0323,2026-03-23,Tue,Bò hầm vang / Đậu rán sốt cà chua,beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M173,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0323,2026-03-23,Wed,Thịt lợn sốt chua ngọt / Trứng rán,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M174,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0323,2026-03-23,Thu,"Cá, thịt lợn viên chiên / Chả nạc rim thập cẩm",fish+pork_proc / pork_proc,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M175,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0323,2026-03-23,Fri,Thịt gà tẩm vừng rán / Đậu phụ sốt Tứ Xuyên,chicken / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M176,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0330,2026-03-30,Mon,Thịt kho tàu / Trứng gà kho,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M177,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0330,2026-03-30,Tue,Bò hầm củ quả / Đậu phụ chiên mắm,beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M178,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0330,2026-03-30,Wed,Thịt gà sốt chua ngọt / Trứng gà rán,chicken / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M179,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0330,2026-03-30,Thu,Thịt lợn rán xá xíu / Đậu phụ sốt thịt băm,pork / tofu,2,tofu,second dish beside meat,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M180,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0330,2026-03-30,Fri,Cá basa file chiên giòn / Chả nạc rim ngũ sắc,fish / pork_proc,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M181,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0406,2026-04-06,Mon,Gà tẩm bột chiên / Giò lụa rim thập cẩm,chicken / pork_proc,2,none,none,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M182,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0406,2026-04-06,Tue,"Mọc, thịt viên sốt cà chua / Trứng gà rán",pork_proc / egg,2,none,none,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M183,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0406,2026-04-06,Wed,"Thịt bò kho khoai tây, cà rốt / Đậu phụ rim mắm",beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M184,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0406,2026-04-06,Thu,"Cá basa, thịt lợn viên chiên / Trứng đảo bông",fish+pork_proc / egg,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M185,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0406,2026-04-06,Fri,Thịt xay rim mắm / Đậu rán sốt cà chua,pork / tofu,2,tofu,second dish beside meat,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M186,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0420,2026-04-20,Mon,Gà file chiên lắc phô mai / Đậu phụ rán sốt thịt,chicken / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M187,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0420,2026-04-20,Tue,Bò nấu cari / Trứng gà rán,beef / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M188,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0420,2026-04-20,Wed,Thịt lợn băm sốt cà chua / Đậu phụ tẩm hành mắm,pork / tofu,2,tofu,second dish beside meat,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M189,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0420,2026-04-20,Thu,"Cá, thịt lợn viên chiên / Chả nạc rim ngũ sắc",fish+pork_proc / pork_proc,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M190,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0420,2026-04-20,Fri,Thịt kho cốt dừa / Trứng gà kho,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M191,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0511,2026-05-11,Mon,Thịt lợn rán ngũ vị / Trứng rán hành,pork / egg,2,none,none,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M192,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0511,2026-05-11,Tue,"Gà file chiên giòn / Thịt xay rim ngô, cà rốt",chicken / pork,2,none,none,no,yes,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M193,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0511,2026-05-11,Wed,Thịt lợn sốt cà chua / Đậu rán tẩm hành,pork / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M194,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0511,2026-05-11,Thu,"Cá, thịt viên chiên thì là / Trứng gà chưng",fish+pork_proc / egg,2,none,none,no,yes,yes,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M195,Hanoi,Nguyen Trai Primary (Hanoi),HN-NTR-0511,2026-05-11,Fri,Bò hầm vang / Đậu phụ rán sốt cà chua,beef / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Ngoi Sao Xanh food company (Bac Ha group),35000,PMR-26,VN-direct,High,revealed,
PMR-M196,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0330,2026-03-30,Mon,Gà rang gừng / Đậu sốt cà chua,chicken / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M197,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0330,2026-03-30,Tue,Thịt sốt cà chua / Trứng quấy hành hoa,pork / egg,2,none,none,no,no,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M198,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0330,2026-03-30,Wed,Cá basa tẩm bột chiên xù / Thịt sốt cà chua,fish / pork,2,none,none,no,no,yes,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M199,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0330,2026-03-30,Thu,Thịt hầm củ quả / Sủi cảo chiên,pork / pork_proc,2,none,none,no,yes,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M200,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0330,2026-03-30,Fri,Cơm trộn Hàn Quốc / Giò gà nấm thơm,mixed / chicken_proc,2,none,none,no,yes,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M201,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0406,2026-04-06,Mon,Cá rô phi tẩm bột chiên xù / Trứng quấy hành,fish / egg,2,none,none,no,no,yes,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M202,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0406,2026-04-06,Tue,Thịt kho tàu / Đậu sốt cà chua,pork / tofu,2,tofu,second dish beside meat,no,no,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M203,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0406,2026-04-06,Wed,Thịt rim hành / Trứng đảo cà chua,pork / egg,2,none,none,no,no,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M204,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0406,2026-04-06,Thu,Gà om nấm / Chả cá sốt cà chua,chicken / fish_proc,2,none,none,no,yes,yes,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
PMR-M205,Hanoi,My Dinh 2 Primary (Hanoi),HN-MD2-0406,2026-04-06,Fri,Thịt băm xá xíu / Xúc xích xào lúc lắc,pork / pork_proc,2,none,none,no,yes,no,none,none,Quang Anh Chu catering,,PMR-27,VN-direct,High,revealed,
