record_id,instrument,number,date,issuer,domain,target_text_vi,target_text_en,metric,value,unit,horizon_year,relevance_to_protein_supply,status,foresight_type,source_ids,evidence_label,confidence,notes
NT-061,"National nutrition strategy 2021 to 2030, vision 2045",02/QD-TTg,2022-01-05,Prime Minister,nutrition (macro input),Tỷ lệ suy dinh dưỡng thấp còi trẻ em dưới 5 tuổi giảm xuống dưới 15%,"Stunting under 5 below 15% (mountain areas below 23%); overweight and obesity: under 5 below 10%, 5 to 18 below 19%, adults below 20%; salt below 7 g per day",Nutrition outcomes,below 15; below 10; below 19; below 20; below 7,% of age group; g salt per day,2030,1,in force,projection,NTS-16,VN-direct,Medium,"No protein-intake, animal-protein or kcal target (checked explicitly). Demand enters the balance model only through income and diet assumptions, not an official protein norm."
NT-062,"National nutrition strategy 2021 to 2030, vision 2045",02/QD-TTg,2022-01-05,Prime Minister,nutrition (macro input),"Chiều cao trung bình thanh niên 18 tuổi theo giới tăng từ 2-2,5cm đối với nam và 1,5-2 cm đối với nữ",Average height of 18-year-olds up 2 to 2.5 cm (male) and 1.5 to 2 cm (female) against 2020,Height gain at 18,2 to 2.5; 1.5 to 2,cm vs 2020,2030,1,in force,projection,NTS-16,VN-direct,Medium,Height goals imply more high-quality protein and dairy in child diets (our reading). 2045 vision: 'Mọi người dân đạt được tình trạng dinh dưỡng tối ưu' (optimal nutrition for all); no numbers.
NT-063,Resolution on breakthroughs in health protection and care,72-NQ/TW,2025-09 (day not verified),Politburo,health; nutrition (macro input),"tăng chiều cao trung bình của trẻ em và thanh thiếu niên từ 1 - 18 tuổi thêm tối thiểu 1,5cm",Children and youth aged 1 to 18: average height up at least 1.5 cm; life expectancy 75.5 years; healthy life years at least 68,Height; life expectancy; healthy life years,at least 1.5 cm; 75.5; at least 68,cm; years; years,2030,1,in force,projection,NTS-17,VN-direct,Medium,"2045: life expectancy above 80, healthy life years above 71. Nutrition 'bảo đảm cân đối về khẩu phần' but no protein norm. Ageing and longevity shape protein demand composition (macro input)."
NT-064,Resolution on private economy development,68-NQ/TW,2025-05-04,Politburo,private sector; investment,"Phấn đấu có 2 triệu doanh nghiệp hoạt động trong nền kinh tế, 20 doanh nghiệp hoạt động/nghìn dân","2 million enterprises (20 per 1,000 people); private sector 55 to 58% of GDP and growth of 10 to 12% a year; at least 20 large firms in global value chains; technology capability in top 3 of ASEAN",Enterprise count; private GDP share,2 million; 55 to 58,enterprises; % of GDP,2030,2,in force (Gov action plan Res 138/NQ-CP; NA Res 198/2025/QH15),projection,NTS-18,VN-direct,Medium,Relevant as investment climate: R&D costs deductible at 200% for CIT; firms may set aside up to 20% of taxable income for an S&T fund (quoted by extraction; check against Law 67/2025 and Decree 320/2025).
NT-065,Resolution on private economy development,68-NQ/TW,2025-05-04,Politburo,private sector,Có ít nhất 3 triệu doanh nghiệp hoạt động trong nền kinh tế; đóng góp khoảng trên 60% GDP,At least 3 million enterprises; private sector over 60% of GDP,Enterprise count; private GDP share,at least 3 million; over 60,enterprises; % of GDP,2045,1,in force,projection,NTS-18,VN-direct,Medium,Vision.
NT-066,"Resolution on national energy security to 2030, vision 2045",70-NQ/TW,2025-08-20,Politburo,energy,Tỉ lệ năng lượng tái tạo trong tổng cung năng lượng sơ cấp khoảng 25 - 30%,Renewables about 25 to 30% of total primary energy supply; TPES about 150 to 170 Mtoe; electricity generation about 560 to 624 TWh,Renewable share of TPES; TPES; power generation,25 to 30; 150 to 170; 560 to 624,% ; Mtoe; TWh,2030,2,in force (Gov programme Res 328/NQ-CP 2025),projection,NTS-19,VN-direct,Medium,Raises the 2030 renewables-in-primary-energy ambition well above Decision 1658 (15 to 20%). Energy GHG 15 to 35% below BAU; refineries meet at least 70% of fuel demand. Extraction; not cross-checked.
NT-067,"Resolution on national energy security to 2030, vision 2045",70-NQ/TW,2025-08-20,Politburo,energy; hydrogen; nuclear,"Thử nghiệm mô hình sản xuất, sử dụng năng lượng hydrogen, các dẫn xuất hydrogen, amoniac","Pilot hydrogen, hydrogen-derivative and ammonia production and use, linked to offshore wind and solar; urgently build Ninh Thuan 1 and 2 nuclear (now Khanh Hoa); flexible-scale nuclear including SMRs",Direction (no metric),n/a,n/a,2030,2,in force,signal,NTS-19; FTG-16,VN-direct,Medium,Consistent with Decision 165/QD-TTg hydrogen targets (100 to 500 kt in 2030; 10 to 20 Mt in 2050; FTG-16).
NT-068,"Resolution on national energy security to 2030, vision 2045",70-NQ/TW,2025-08-20,Politburo,energy prices,"Xây dựng giá năng lượng minh bạch do thị trường quyết định, có sự quản lý của Nhà nước","Market-determined, transparent energy prices under state management; end cross-subsidies between customer groups; customer choice of supplier",Direction (no metric),n/a,n/a,2045,2,in force,signal,NTS-19,VN-direct,Medium,"Ending cross-subsidy could raise industrial power tariffs relative to residential; relevant to fermentation plant opex (our reading, not a projection)."
NT-069,Assignment of strategic technology development tasks,808/QD-TTg,2026-05-06,Prime Minister,biotechnology; agriculture,"Phát triển giống cây trồng, vật nuôi, thủy sản thế hệ mới","MAE to lead next-generation crop, livestock and aquaculture breeds (gene editing, cell technology, precision breeding) and self-reliance in next-generation veterinary vaccines and biologicals, 2026 to 2030",Tasks (no quantified output),n/a,n/a,2030,2,in force,signal,NTS-20,VN-direct,Medium,"Of 20 strategic technology missions to 2030 we found none on fermentation, microbial or alternative protein, recombinant food ingredients or biomanufacturing for food and feed. No 2035 horizon."
NT-070,"Science, technology and innovation development strategy to 2030 (adjusted)",604/QD-TTg (adjusts 569/QD-TTg of 11 May 2022),2026-04-02,Prime Minister,science and technology,Tổng đầu tư xã hội cho nghiên cứu và phát triển (R&D) đạt tối thiểu 2% GDP,"R&D at least 2% of GDP; 12 FTE researchers per 10,000 people; GII in top 40; high-tech exports at least 50% of merchandise exports; 5 to 10 regional-scale firms in strategic technologies",R&D share of GDP; researchers; GII rank,at least 2; 12; top 40,"% of GDP; FTE per 10,000; rank",2030,1,in force (adjustment aligns the 2022 strategy with Res 57),projection,NTS-21,VN-direct,Medium,"No biotech, agriculture or food mention found in the adjusted text."
NT-071,"Crop production development strategy to 2030, vision 2050",1748/QD-TTg,2023-12-30,Prime Minister,crops; rice; feed crops,"Giữ ổn định diện tích 3,56 triệu ha đất trồng lúa ... sản lượng trên 35 triệu tấn thóc",Keep rice land stable at 3.56 million ha; paddy output above 35 Mt,Rice land; paddy output,3.56; above 35,million ha; Mt,2030,3,in force (rice land figure overtaken by Decision 1177/QD-TTg 2026: 3.25 million ha),projection,NTS-22,VN-direct,Medium,"Crop production value growth 2.2 to 2.5% a year; organic area 1%. No area or output number for maize, soybean or cassava ('Ổn định diện tích trồng sắn'). Encourages 'ngô sinh khối làm thức ăn chăn nuôi' (maize silage for feed) and feed-firm contracts with farmers. No feed-import reduction target."
NT-072,"Crop production development strategy to 2030, vision 2050",1748/QD-TTg,2023-12-30,Prime Minister,crops,Phấn đấu đến năm 2050 trồng trọt thành ngành kinh tế kỹ thuật hiện đại,By 2050 crop production becomes a modern economic-technical sector,Qualitative vision,n/a,n/a,2050,2,in force,projection,NTS-22,VN-direct,Medium,No numeric 2050 targets.
NT-073,Scheme to develop the feed processing industry to 2030,1625/QD-TTg,2023-12-15,Prime Minister,feed,Sản lượng thức ăn chăn nuôi công nghiệp đạt 24 - 25 triệu tấn vào năm 2025,Industrial livestock feed output 24 to 25 Mt in 2025 and 30 to 32 Mt in 2030,Industrial feed output,24 to 25; 30 to 32,Mt,2025; 2030,3,in force,projection,NTS-23,VN-direct,Medium,"Not in the edition 1.0 register. Covers livestock feed only (not aquafeed), which answers the ch14 question of scope for the 30 to 32 Mt figure in favour of livestock and poultry feed. No vision beyond 2030."
NT-074,Scheme to develop the feed processing industry to 2030,1625/QD-TTg,2023-12-15,Prime Minister,feed; biotech; import substitution,cung cấp khoảng 20 - 25% nhu cầu vào năm 2025 và 30 - 35% vào năm 2030,Domestically produced feed additives supply about 20 to 25% of demand in 2025 and 30 to 35% in 2030,Domestic share of feed additive demand,20 to 25; 30 to 35,% of domestic demand,2025; 2030,3,in force,projection,NTS-23,VN-direct,Medium,"The only quantified import-substitution target for a biotech-type feed input we found. Additives include microbial preparations, enzymes, botanicals and minerals. Aligns with Res 36 (50% biotech import replacement) but is lower."
NT-075,Scheme to develop the feed processing industry to 2030,1625/QD-TTg,2023-12-15,Prime Minister,feed; by-products; public finance,"Tận dụng tối đa và nâng cao giá trị sử dụng các nguồn phụ phẩm nông nghiệp, công nghiệp","Maximise use and value of agricultural, industrial and food-processing by-products for feed; total scheme budget VND 1,310 billion for 2023 to 2030 (VND 350 billion 2023 to 2025; VND 960 billion 2026 to 2030), of which about VND 700 billion for by-product processing",Budget,"1,310 (by-products about 700)",VND billion,2030,3,in force,projection,NTS-23,VN-direct,Medium,"About USD 50 million in total at about VND 26,000 per USD (our conversion). Budget split per extraction; check the appendix. No explicit mention of insects, microbial protein or protein-rich raw materials such as fishmeal or soybean meal."
NT-076,National climate change strategy to 2050,896/QD-TTg,2022-07-26,Prime Minister,climate,mục tiêu phát thải ròng bằng '0' vào năm 2050,Net-zero emissions by 2050; national emissions peak in 2035,Net emissions; peak year,0; 2035,MtCO2e; year,2050; 2035,2,in force,projection,NTS-24; CLM-01,VN-direct,High,Caps by sector are in CLM emissions_targets.csv (ET-01 to ET-07); not duplicated here except agriculture.
NT-077,National climate change strategy to 2050,896/QD-TTg,2022-07-26,Prime Minister,climate; agriculture,"lĩnh vực nông nghiệp giảm 63,1%, lượng phát thải không vượt quá 56 triệu tấn CO2tđ",Agriculture emissions no more than 64 MtCO2e in 2030 (43.0% below BAU) and 56 MtCO2e in 2050 (63.1% below BAU),Agriculture emissions cap,64; 56,MtCO2e,2030; 2050,3,in force,projection,NTS-24; CLM-01,VN-direct,High,Cross-checked with CLM ET-03 and ET-04: identical. About 39% and 46% below 2020 actual (CLM calculation).
NT-078,National climate change strategy to 2050,896/QD-TTg,2022-07-26,Prime Minister,climate; methane,giảm 40% mức phát thải khí mê-tan so với năm 2030,Methane at least 30% below 2020 by 2030; 40% lower by 2050 (base year read as 2030 in two extractions),Methane reduction,30; 40,% vs 2020; % vs 2030 (as read),2030; 2050,3,in force,projection,NTS-24; CLM-01,VN-direct,Medium,"CLM ET-07 flagged the 2050 base year as ambiguous. If the base is 2030, 2050 methane would be about 58% below 2020 (our arithmetic: 0.7 x 0.6 = 0.42). See disagreements log."
NT-079,National climate change strategy to 2050,896/QD-TTg,2022-07-26,Prime Minister,climate; livestock; feed,cải thiện khẩu phần thức ăn trong chăn nuôi,"Improve livestock feed rations; treat manure into organic fertiliser and biogas; sustainable farm, forest and fisheries value chains",Direction (no metric),n/a,n/a,2030; 2050,3,in force,projection,NTS-24,VN-direct,Medium,"Official mitigation levers are rations, manure and biogas. No mention of alternative or low-emission protein or of diet shift."
NT-080,"Hydrogen energy development strategy to 2030, vision 2050",165/QD-TTg,2024-02-07,Prime Minister,energy; hydrogen,công suất sản xuất hydrogen ... đạt khoảng 10 - 20 triệu tấn/năm vào năm 2050,Clean hydrogen production capacity about 100 to 500 kt a year in 2030 and 10 to 20 Mt a year in 2050; hydrogen and derivatives about 10% of final energy demand in 2050,Hydrogen production capacity; share of final energy,100 to 500 kt; 10 to 20 Mt; about 10%,per year; per year; % of final energy,2030; 2050,2,in force,projection,NTS-25; FTG-16,VN-direct,High,"Matches FTG vn_energy_inputs_2050.csv. Uses named: fertiliser, refining, steel, cement, transport, power co-firing. No food, feed or biological use; no cost target. Hydrogen-oxidising bacteria for protein are absent from the strategy."
NT-081,Power development plan VIII (revised),768/QD-TTg,2025-04-15,Prime Minister,energy; power,tỷ lệ năng lượng tái tạo lên đến 74 - 75%,Non-hydro renewables about 28 to 36% of power in 2030 and 74 to 75% in 2050,Non-hydro renewable share of electricity,28 to 36; 74 to 75,% of generation,2030; 2050,2,in force,projection,NTS-26; FTG-15; GT-11,VN-direct,High,Matches FTG and edition 1.0.
NT-082,Power development plan VIII (revised),768/QD-TTg,2025-04-15,Prime Minister,energy; hydrogen,công suất nguồn điện gió ngoài khơi để sản xuất năng lượng mới vào khoảng 15.000 MW vào năm 2035,"Offshore wind to produce new energy (hydrogen, green ammonia) about 15 GW by 2035 and about 240 GW by 2050",Offshore wind capacity for new energy,about 15; about 240,GW,2035; 2050,2,in force,projection,NTS-26; FTG-15,VN-direct,High,"The largest single potential source of cheap hydrogen for power-to-protein in 2050, if built. FTG notes no legal track yet for non-grid offshore wind."
NT-083,Power development plan VIII (revised),768/QD-TTg,2025-04-15,Prime Minister,energy; biomass,nguồn điện sinh khối khoảng 1.523 - 2.699 MW,"Biomass power about 1,523 to 2,699 MW in 2030 and about 4,829 to 6,960 MW in 2050",Biomass power capacity,"1,523 to 2,699; 4,829 to 6,960",MW,2030; 2050,3,in force,projection,NTS-26,VN-direct,Medium,"Biomass power competes with feed and fermentation for crop residues (rice straw and husk, bagasse, cassava stems). Decision 222/2025 cites 2,270 MW for 2030, inside this range."
NT-084,"National AI strategy to 2030, vision 2045",1671/QD-TTg,2026-08-28,Prime Minister,AI; agriculture,"Chuyển đổi hoạt động sản xuất nông nghiệp bằng AI trong lai tạo giống, trồng trọt, chăn nuôi, thủy sản","About 1,100 EFLOPS (FP8) of AI compute; at least 10,000 advanced AI experts; AI economy about 6% of GDP; AI in breeding, crops, livestock and aquaculture",AI compute; AI experts; AI economy share,"about 1,100; at least 10,000; about 6",EFLOPS FP8; persons; % of GDP,2030,2,in force,projection,FTB-48,VN-direct,Medium,Reused from FTB (legal-database summary; full text not read by FTB or NTS). No AI-for-protein or biodesign line.
NT-085,Directive on developing biotechnology as an important economic-technical sector,13/CT-TTg,2026-04-21,Prime Minister,biotechnology,ngành kinh tế - kỹ thuật quan trọng,"MOST to complete special mechanisms and pilot models (by May 2026); MAE to lead biotechnology clusters linking research, production, processing and commercialisation (by December 2026)",Tasks and deadlines,May 2026; Dec 2026,deadline,2030,3,in force,signal,FTB-50,VN-direct,Medium,Reused from FTB. The December 2026 MAE cluster plan is the nearest window to add a fermentation or feed-protein cluster.
NT-086,"National biotechnology strategy 2026 to 2030, vision 2045 (draft)",draft (no number),2025-11-29 (workshop),MOST (drafting),biotechnology,tin sinh học và trí tuệ nhân tạo,"Draft names four priority sectors including bioinformatics and AI; no mention of synthetic biology, biofoundries, fermentation or alternative protein in the workshop report",Draft strategy,n/a,n/a,2045,3,draft,signal,FTB-49,VN-direct,Medium,Reused from FTB. We found no issued national biotech strategy or national biotech industry programme on thuvienphapluat as of 24 Sep 2026.
NT-087,Nationally determined contribution 3.0 (2026 to 2035),not issued,n/a,Government (MAE lead),climate,n/a (not published),No NDC 3.0 found as approved or submitted; draft energy cap for 2035 reported at 380.2 to 519.1 MtCO2e; agriculture pathways to be updated,Economy-wide 2035 target,not published,n/a,2035,3,draft,signal,CLM-03; CLM-05; CLM-07; NTS-27,VN-direct,Medium,Checked thuvienphapluat and UNDP Climate Promise on 24 Sep 2026: latest submitted NDC is the November 2022 update. First official 2035 agriculture numbers will come from NDC 3.0.
NT-088,Government action programme for the 14th Party Congress resolution (updated),41/NQ-CP; 109/NQ-CP,2026-03-11; 2026-04-16,Government,macro,"nước phát triển, thu nhập cao","Double-digit growth 2026 to 2030; upper-middle-income country with modern industry by 2030; developed high-income country by 2045; digital, smart, green and circular agriculture; national food security",GDP growth; income status,10 or more; high income,% per year; status,2030; 2045,1,in force,projection,NTS-28,VN-direct,Medium,No numeric agriculture or protein target found in the extraction.
NT-089,"Water resources master plan 2021 to 2030, vision 2050",1622/QD-TTg,2022-12-27,Prime Minister,water,"nhu cầu sử dụng nước đến năm 2030 khoảng 122,5 tỷ m³/năm, đến năm 2050 khoảng 131,7 tỷ m³/năm",National water demand about 122.5 billion m3 a year in 2030 and about 131.7 billion m3 in 2050; restrict groundwater extraction; supply losses cut to 10%,National water demand,about 122.5; about 131.7,billion m3 per year,2030; 2050,2,in force (new national water resources strategy to 2050 due in 2026 under Res 85/NQ-CP),projection,NTS-29,VN-direct,Medium,"Sector split not extracted. Groundwater restriction matters for Mekong fermentation and aquaculture sites (subsidence; CLM-13, CLM-14)."
NT-090,National strategy on innovative start-ups,86/NQ-CP,2026-04-05,Government,start-ups; venture capital,"Quy mô thị trường vốn đầu tư mạo hiểm đạt 1,5 tỷ USD","At least 10,000 innovative start-ups; at least 5 valued at USD 1 billion or more; venture capital market USD 1.5 billion; 300 innovation spaces (2030). 2045: at least 100 start-ups valued at USD 100 million or more; venture capital market USD 10 billion; top 30 globally",Start-ups; VC market size,"10,000; 1.5 (2030); 10 (2045)",firms; USD billion,2030; 2045,2,in force,projection,NTS-30,VN-direct,Medium,"Priority sectors named are digital, green and circular; agriculture only as high-tech agricultural zones; biotech not named in the extraction."
NT-091,Scheme on circular economy development in Vietnam,687/QD-TTg,2022-06-07,Prime Minister,circular economy; organic waste,100% rác thải hữu cơ ở đô thị và 70% rác thải hữu cơ ở nông thôn được tái chế,Recycle 100% of urban and 70% of rural organic waste; 50% of urban solid waste treated via circular models,Organic waste recycling rate,100 (urban); 70 (rural),% of organic waste,2030,2,"in force (implemented by Decision 222/QD-TTg, 2025)",projection,NTS-31,VN-direct,Medium,Organic waste is a possible fermentation or bioconversion feedstock; food-safety and feed rules limit its use for protein. No quantified agricultural by-product target. 2050: towards net zero.
NT-092,"Scheme on sustainable development of one million hectares of high-quality, low-emission rice in the Mekong Delta to 2030",1490/QD-TTg,2023-11-27,Prime Minister,rice; by-products; climate,100% rơm được thu gom khỏi đồng ruộng và được chế biến tái sử dụng,"1 million ha of specialised high-quality, low-emission rice; 100% of straw collected from fields and processed for reuse; GHG more than 10% below conventional; chemical inputs 30% lower; irrigation water 20% lower",Area; straw collection,"1,000,000; 100",ha; % of straw,2030,3,in force,projection,NTS-32,VN-direct,Medium,"2025 interim: 180,000 ha and 70% straw collection. End uses of straw not named. Our rough estimate of straw from 1 million ha: 7 to 15 Mt a year (2 to 2.5 crops x 5 to 6 t paddy per ha x straw-to-grain 0.7 to 1.0); [estimate], Low. A lignocellulosic feedstock for mushrooms, ruminant feed, biogas or future biomass fermentation, competing with biomass power."
NT-093,Plan to develop the biotech industry in agriculture and environment,1466/QD-TTg (replaces 429/QD-TTg of 24 Mar 2021),2026-07-31,Prime Minister (signed by a Deputy Prime Minister),biotechnology; agriculture; feed,thay thế ít nhất 50% sản phẩm công nghệ sinh học nhập khẩu,2026 to 2030: agri and environment biotech firms +50% in investment and growth scale; replace at least 50% of imported biotech products; contribute 7% of the biotech industry's value added,Import replacement; share of biotech value added,at least 50; 7,% of imported biotech products; % of biotech industry value added,2030,3,in force (new; replaces 429/QD-TTg),projection,NTS-35; NTS-36,VN-direct,Medium,"Most relevant new long-horizon instrument found. Lead: MAE. No budget figure. Also 10 to 15 new-generation crop, livestock and aquatic varieties; 5 to 10 new-generation vaccines and biologicals; at least 5 key and 5 specialised laboratories; 500 high-level biotech staff and 2,000 technician trainings by 2030."
NT-094,Plan to develop the biotech industry in agriculture and environment,1466/QD-TTg,2026-07-31,Prime Minister,biotechnology; agriculture,thay thế tối thiểu 60% sản phẩm nhập khẩu,2031 to 2035 and vision to 2045: biotech firms formed under the plan +70% in investment and growth scale; plan products replace at least 60% of imports; contribute 15% of biotech industry value added; biotech-applying firms +50%,Import replacement; share of biotech value added,at least 60; 15,% of imports; % of biotech industry value added,2035; 2045,3,in force (new),projection,NTS-35,VN-direct,Medium,Heading confirmed as 'Giai đoạn 2031 - 2035 và tầm nhìn đến năm 2045'. The first official 2035 biotech target we found. Base for the 70% and the import basket are not defined.
NT-095,Plan to develop the biotech industry in agriculture and environment,1466/QD-TTg,2026-07-31,Prime Minister,feed; microbial; enzymes; by-products,"nghiên cứu, ứng dụng công nghệ enzym, protein, vi sinh tạo sản phẩm nâng cao hiệu quả sử dụng dinh dưỡng","Research and apply enzyme, protein and microbial technology for products that raise nutrient-use efficiency in livestock and aquaculture; biological products to add value to post-harvest processing by-products",Direction (no metric),n/a,n/a,2030; 2035,3,in force (new),projection,NTS-35,VN-direct,Medium,"The closest official text to microbial feed ingredients. Terms not found: 'protein thay thế', 'đạm thay thế', 'thực phẩm mới', 'lên men chính xác', 'sinh khối vi sinh', 'nấm men', 'côn trùng'. Alternative protein is not named."
NT-096,Scheme to develop the biotech industry in agriculture to 2030,429/QD-TTg,2021-03-24,Prime Minister,biotechnology; talent,"Đào tạo được 30 tiến sĩ, 100 thạc sĩ ... 2.000 kỹ thuật viên","Agri-biotech firms +20% by 2025 and a further +30% by 2030; train 30 PhDs, 100 masters and 2,000 technicians",Firm growth; training,"+20; +30; 30 PhD; 100 MSc; 2,000 technicians",%; persons,2025; 2030,2,replaced by 1466/QD-TTg (31 Jul 2026),projection,NTS-33; REG-53,VN-direct,Medium,Edition 1.0 INS-043 lists this as in force; it should be marked replaced.
NT-097,Directive on developing biotechnology as an important economic-technical sector,13/CT-TTg,2026-04-21,Prime Minister,biotechnology,"đẩy nhanh tiến độ xây dựng, hoàn thiện Đề án phát triển công nghiệp sinh học","MOST: special mechanisms and pilot models (May 2026), national S&T programmes on biotech, biotech product standards; MAE: agri biotech scheme (May 2026; delivered as Decision 1466 on 31 Jul 2026) and biotech zones and clusters (Dec 2026); MOIT: scheme to make biotech an economic sector (May 2026); MOF: budget for priority programmes",Tasks and deadlines,May 2026; Dec 2026,deadline,2030,3,in force,signal,NTS-37; FTB-50,VN-direct,Medium,Read directly from Bao Chinh phu full text. MOIT scheme status not found.
NT-098,MOIT scheme to develop the biotech industry into an economic-technical sector in industry and trade,1355/QD-BCT,2026-06-05,Ministry of Industry and Trade,biotechnology; food processing; fermentation,các sản phẩm công nghệ sinh học thay thế từ 30% đến 50% hàng nhập khẩu,2030: 30 to 50% of scheme products commercialised; scheme products replace at least 20% of imports. 2045: at least 50% commercialised; biotech products replace 30 to 50% of imports,Import replacement; commercialisation rate,at least 20 (2030); 30 to 50 (2045),% of imports; % of products,2030; 2045,3,in force (continues Decision 1600/QD-TTg of 22 Sep 2021),projection,NTS-38,VN-direct,Medium,"Names enzyme and fermentation technology and high-value products from domestic farm and aquatic materials (tea, meat, milk); probiotics, postbiotics, feed additives. Lower import-replacement ambition (20% in 2030) than Res 36 (50%) and Decision 1466 (50%): see disagreements log. Delivers the MOIT task in Directive 13/CT-TTg."
