record_id,indicator,year,geography,group,value,unit,source_ids,evidence_label,confidence,demand_evidence_type,notes
DFS-166,Eating-out spending per person per month,2010,"Vietnam, urban",all households,224.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-167,Eating-out spending per person per month,2010,"Vietnam, rural",all households,75.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-168,Eating-out spending per person per month,2018,"Vietnam, urban",all households,469.2,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-169,Eating-out spending per person per month,2018,"Vietnam, rural",all households,189.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-170,Eating-out spending per person per month,2020,"Vietnam, urban",all households,545.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-171,Eating-out spending per person per month,2020,"Vietnam, rural",all households,213.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-172,Eating-out spending per person per month,2022,"Vietnam, urban",all households,340.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-173,Eating-out spending per person per month,2022,"Vietnam, rural",all households,172.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-174,Eating-out spending per person per month,2024,"Vietnam, urban",all households,482.7,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-175,Eating-out spending per person per month,2024,"Vietnam, rural",all households,179.1,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.10
DFS-176,Average income per person per month,2024,Vietnam,all households,5.4,million VND,DIE-06,VN-direct,High,revealed,"Urban 6.9, rural 4.5; quintile 5 11.8, quintile 1 1.6 million VND. 46,995 households."
DFS-177,Implied unit value of meat for home use,2024,Vietnam,all households,134.5,thousand VND per kg,DIE-05,VN-direct,Medium,inferred,Our derivation: 349.8 thousand VND / 2.60 kg per person per month (tables 6.16 and 6.20).
DFS-178,Implied unit value of tofu for home use,2024,Vietnam,all households,21.4,thousand VND per kg,DIE-05,VN-direct,Medium,inferred,Our derivation: 9.2 thousand VND / 0.43 kg.
DFS-179,Implied unit value of eggs for home use,2024,Vietnam,all households,3.37,thousand VND per egg,DIE-05,VN-direct,Medium,inferred,Our derivation: 17.2 thousand VND / 5.10 eggs; includes duck eggs.
