sku_id,date,city,store,channel_type,product_name,brand_raw,brand,origin_raw,category_raw,format_raw,product_type,as_sold_form,formulation_archetype,primary_protein_source,secondary_protein_sources,non_vegan_flag,key_ingredients,protein_g_per_100,protein_unit,protein_value_basis,energy_kcal_per_100,fat_g_per_100,carbs_g_per_100,sodium_mg_per_100,price_vnd,pack_size,pack_unit,price_per_100g_vnd,price_per_100g_protein_vnd,price_confidence,conv_equiv_price_per_100g_vnd,chay_vs_conv_price_diff_pct,likely_imported_protein_ingredient,brand_owner,ownership_country,manufacturer,plant_location,product_group,data_confidence,source_ids,evidence_label,confidence,notes,field_notes_original
P026,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Thịt Bò / Thịt Nguội Chay (canned soy-based vegetarian meat),NOSA,Ông Chà Và / NOSAFOOD,Imported,Plant-based (modern/branded),Canned meat analog,canned analog,ready-to-eat,A6,soybean 17%,soy protein 2.5%,,"Nước, đậu nành (17%), dầu thực vật, đạm đậu nành (2.5%), tinh bột bắp biến tính, đường, muối, bột nấm men, hương thịt giống tự nhiên, men đỏ, hương khói tự nhiên.",,per 100 g,field log (label or collector OSINT),,,,,57000.0,185.0,g,30811.0,,High,,,Y,"NOSAFOOD (brand owner; Vietnamese spice brand owner per analyst recollection, unverified)",Vietnam brand owner (unverified); product origin disputed (China vs Vietnam),Not verified,Not verified,NOSA-luncheon,Medium,FORM-01; FORM-09; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,Origin reported as China in Nha Trang OSINT.,"OSINT-confirmed: NOSA brand, origin China. Same category and positioning as the Ông Chà Và cans above. No numeric nutrition table found."
P027,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Mì Chay (instant vegetarian noodle cup),Vifon,Vifon,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Instant noodles,other,dry,A0,wheat flour (instant noodle),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,8700.0,,g,,,High,,,Y,Vifon JSC,Vietnam,Not verified,Not verified,VIF-mi,Low,FORM-01,[VN-direct],Low,Instant noodle; not a protein product.,"One representative SKU from a large ambient/dry chay-noodle aisle — 10+ brands observed. Not itemized SKU-by-SKU, and no ingredients/nutrition looked up for this specific cup flavor."
P028,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"Sữa Hạt, Yến Mạch (Oat milk)",Vinamilk,Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,oat,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,27000.0,,ml,,,High,,,Y,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,VNM-oat,Low,FORM-01,[VN-direct],Low,Flavour read from carton colour.,"TAXONOMY FLAG: doesn't fit cleanly into the current category list — this is a dairy alternative, not a meat one. Flavor read off box color/position rather than confirmed text. No nutrition table found for Vinamilk's oat variant specifically (their soy and ""cao đạm""/high-protein lines are documented, this flavor isn't)."
P029,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Sữa Đậu Nành (Soy milk),Vinamilk,Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A7,soybean,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,29000.0,,ml,,,Low,,,Y,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,VNM-soy,Low,FORM-01; FORM-09,[VN-direct],Low,,Price and flavor-to-carton pairing approximate. Couldn't confirm nutrition for Vinamilk's own soy-milk line specifically as distinct from the related Fami/Vinasoy brand (logged separately below).
P030,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"Sữa Hạt, likely 9 Loại Hạt or Đậu Nành Hạt Óc Chó (9-seed or soy-walnut blend)",Vinamilk,Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A0,unknown (Vinamilk seed blend; soybean or pea base),,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,27000.0,,ml,,,Low,,,Y,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,VNM-hat-unk,Low,FORM-01; FORM-09,[VN-direct],Low,Flavour low confidence.,"LOW CONFIDENCE on flavor: inferred from an orange carton, not confirmed text. Skipping nutrition rather than compounding a flavor guess with a nutrition guess."
P031,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"Sữa Hạt, flavor unconfirmed (pink carton)",Vinamilk,Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A0,unknown (Vinamilk seed blend),,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,29000.0,,ml,,,Low,,,Y,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,VNM-hat-unk2,Low,FORM-01,[VN-direct],Low,Flavour low confidence.,LOW CONFIDENCE: flavor genuinely unclear from the photo — flagging its existence rather than guessing further.
P032,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Fami Nguyên Chất (Original soy milk),Fami (Vinasoy),Fami / Vinasoy,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A7,soybean,,,Not found,1.9,per 100 ml,field log (label or collector OSINT),54.0,1.5,9.0,,25300.0,,ml,,,High,,,Y,"Quang Ngai Sugar JSC (QNS), Vinasoy soy milk unit",Vietnam,Vinasoy (QNS),Quảng Ngãi (Vinasoy factory); other plants not verified this wave,FAMI-nc,Low,FORM-01; FORM-09,[VN-direct],Low,"Protein 1.9 is a brand-wide average quoted by collector, not this carton; Fami labels read in HCMC show 2.5.","Flavor inferred from a green carton, not confirmed text. Nutrition figures are Fami's published brand-wide averages (protein 1.9g, fat ~1-1.9g, energy ~54kcal, sugar ~9g per 100ml) — reasonably reliable if this carton is genuinely the Nguyên Chất variant, less so if it's a different Fami flavor."
P033,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"Fami, flavor uncertain — possibly Vị Đậu Đỏ Nếp Cẩm or Green Soy",Fami (Vinasoy),Fami / Vinasoy,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A7,soybean,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,25300.0,,ml,,,Low,,,Y,"Quang Ngai Sugar JSC (QNS), Vinasoy soy milk unit",Vietnam,Vinasoy (QNS),Quảng Ngãi (Vinasoy factory); other plants not verified this wave,FAMI-unk,Low,FORM-01; FORM-09,[VN-direct],Low,,"LOW CONFIDENCE on flavor: read off a yellow carton, not confirmed text — skipping nutrition to avoid compounding the flavor guess."
P034,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Fami Canxi (calcium-fortified soy milk),Fami (Vinasoy),Fami / Vinasoy,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A7,soybean,,,Confirmed as a real Fami product line via OSINT.,,per 100 ml,field log (label or collector OSINT),58.0,,10.0,28.0,26000.0,,ml,,,Low,,,Y,"Quang Ngai Sugar JSC (QNS), Vinasoy soy milk unit",Vietnam,Vinasoy (QNS),Quảng Ngãi (Vinasoy factory); other plants not verified this wave,FAMI-canxi,Medium,FORM-01; FORM-09,[VN-direct],Medium,,"Energy and carbs are Fami Canxi's published figures (57.7 kcal, 9.5g carbs per 100ml, regular — not the low-sugar variant); sodium ~28mg/100ml. Protein specifically for the Canxi variant wasn't separately published, likely similar to Nguyên Chất's 1.9g/100ml. Price/carton pairing on this shelf still approximate."
P035,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Sữa Gạo Lứt (brown-rice milk),Nutifood,Nutifood,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,rice (brown rice),,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,24800.0,,ml,,,High,,,N,Nutifood Nutrition Food JSC,Vietnam,Nutifood,Not verified,NUTI-gaolut,Low,FORM-01,[VN-direct],Low,,"Part of a promo-tagged Nutifood cluster (""3 hộp bằng giá"" discount signage nearby). No ingredients/nutrition looked up."
P036,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Sữa Ngô (corn milk),Nutifood,Nutifood,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,corn,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,24800.0,,ml,,,High,,,N,Nutifood Nutrition Food JSC,Vietnam,Nutifood,Not verified,NUTI-ngo,Low,FORM-01,[VN-direct],Low,Corn milk likely uses domestic sweet corn (not verified).,Same Nutifood cluster as the row above.
P037,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"TH true NUT — Hạt Óc Chó / Hạt Mắc Ca / Hạnh Nhân (walnut / macadamia / almond, 3 flavors on shelf)",TH,TH true NUT,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,nuts (walnut 60%),oat; dates; cow milk,DAIRY,"Walnut variant: dịch hạt óc chó (60%), dịch quả chà là, dịch yến mạch, sữa bò tươi, chất ổn định (E418, 471, 410).",1.0,per 100 ml,field log (label or collector OSINT),43.0,2.4,4.3,,58900.0,,ml,,,Low,,,Y,TH Group (TH true milk),Vietnam,TH,Not verified (TH dairy complex is in Nghệ An; not verified for nut milks),TH-nut,Medium,FORM-01,[VN-direct],Medium,"Walnut variant contains fresh cow milk (""sữa bò tươi""): not vegan. Price is a placeholder (collector).","PRICE CORRECTION from my first pass: I'd read a ""137"" tag near these cartons as 137,000đ. OSINT shows TH true NUT actually retails around 52,300-64,900đ depending on format — using 58,900đ (1L reference) as a placeholder. ""137"" is far more likely the name of a separate premium brand, ""137 Degrees"" (confirmed real via OSINT) — see the row below. Nutrition figures shown (42.8 kcal, 1g protein, 2.4g fat, 4.3g carbs per 100ml) are for the walnut flavor specifically; macadamia/almond weren't individually looked up, and the three flavors weren't individually price-tagged in the photo, so this one row stands in for all three."
P038,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"137 Degrees (premium nut milk — likely the brand behind the ""137"" tag I misread as a price)",137 Degrees,137 Degrees,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,nuts,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,,,ml,,,High,,,Y,"Simple Foods Co., Ltd (believed Thailand; site does not state)",Thailand (log records Vietnam for Nha Trang rows),Not verified,Not verified,137D-unk,Low,FORM-01,[VN-direct],Low,"Presence only, no price. Brand is imported (Thailand), log says local.","Flagging this brand's likely presence rather than guessing a price: ""137 Degrees"" is a real, separate premium nut-milk brand — almond, walnut, macadamia variants. If genuinely on this shelf, worth its own confirmed price and ingredients on a return visit."
P039,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Bánh Mandu Chay Nấm (Healthy Mandu Chay — mushroom vegetarian dumplings),bibigo (CJ Cầu Tre),bibigo (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A2,soy protein/TVP,wheat flour (wrapper 29.2%); lotus seed; mushroom,,"Wrapper 29.2% (wheat flour, water, salt, tapioca); yam bean, king oyster mushroom, carrot, shiitake, soy protein, lotus seed, enoki, onion, breadcrumbs, wood-ear mushroom, taro, sesame, mushroom-flavoured vegan oyster sauce, sugar, soy sauce, herbs, vegetable oils, yeast extract, garlic, pepper, salt, fermented rice vinegar, chili and corn starch",,per 100 g,field log (label or collector OSINT),,,,322.0,43000.0,300.0,g,14333.0,,High,,,Y,CJ CheilJedang (South Korea),South Korea,"CJ Foods Vietnam Co., Ltd","Made in Vietnam (collector OSINT names Kizuna IP, Tây Ninh (former Long An); not verified)",BIB-mandu,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,,"On promotion: 53,500đ struck through -> 43,000đ (red price-cut tag), matches the 300g pack called out on the tag itself. Same product line logged at Lotte Mart Nha Trang (Healthy Mandu Chay, 52,900đ, no promo) — GO!'s promo price undercuts it by ~19%. Price/tag read with reasonably high confidence. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://aeoneshop.com/product/14817/cj-foods-banh-mandu-healthy-nhan-nam-300g-300g."
P040,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Chả Giò Rế Chay ""Giòn Ngon"" (net-wrapped vegetarian spring rolls)",Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown (Cầu Tre line),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,45000.0,,g,,,Low,,,unknown,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-re-gn,Low,FORM-01,[VN-direct],Low,,"VERIFY price — read off a shelf tag row shared with several adjacent SKUs, digits not fully certain. Compare: same product line at Lotte Mart Nha Trang (Cầu Tre, ""reasonably confident"" brand read) priced 51,900đ."
P041,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Chả Giò Chay ""Giòn Ngon"", smaller pack (vegetarian spring rolls)",Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown (Cầu Tre line),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,39000.0,,g,,,Low,,,unknown,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-gn,Low,FORM-01,[VN-direct],Low,,"VERIFY price — same shelf-tag caveat as the net-wrapped SKU above; likely a smaller pack size of the same product line, size not legible on the pack itself."
P042,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Chả Giò Đa Xốp Chay (crispy multi-layer-wrapper vegetarian spring rolls),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Crispy spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,soy protein/TVP,wheat flour (pastry 31%); mung bean,,"Pastry wrapper 31% (wheat flour, rice flour, palm oil, salt, emulsifier E322i), yam bean, taro, soy protein, mung bean, carrot, wood-ear mushroom, glass noodles, sugar, palm oil, leek, dextrose, salt, pepper and flavour enhancers E631/E627",4.59,per 100 g,borrowed from same product label (P118),,,,,56000.0,,g,,,Low,,,Y,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-daxop,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,"Protein 4.59 taken from same product label (P118, 400 g).",VERIFY price. New format/subtype vs. the other Cầu Tre spring-roll SKUs already logged for Lotte Mart / Co.opmart — worth a return-visit confirm. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://mualienluon.com/products/cha-gio-da-xop-chay-cau-tre-400g/607055a9aae8fe164feeb901.
P043,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Chả Giò Bánh Rế Chay Đặc Biệt (special net-wrapped vegetarian spring rolls),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,rice flour and some wheat flour (wrapper 31%),,"Net rice wrapper 31% (refined rice flour, water, tapioca starch, palm oil, sugar, wheat flour, salt, emulsifier E322i); yam bean, sweet potato, mung bean, taro, wood-ear mushroom, sugar, flavour enhancer E621, palm oil, mushroom vegan oyster sauce, pepper and salt",3.36,per 100 g,field log (label or collector OSINT),172.0,2.07,33.6,,44800.0,,g,,,Low,,,N,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-re-db,Medium,FORM-01; FORM-22,[VN-direct],Medium,,"Shelf tag showed a ""-25,000đ"" discount sticker against this 44,800đ price — original price and whether it matches the standard Chả Giò Rế Chay SKU above is unconfirmed, verify on a return visit. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://cjfoods.com.vn/product/cha-gio-banh-re-chay-dac-biet/."
P044,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Hà Cảo Chay (vegetarian dumplings),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,none (wrapper is potato/wheat starch),,"Wrapper 52% (water, potato starch, wheat starch, thickeners E1414/E1420, palm oil, trehalose, salt); yam bean, mung bean, taro, wood-ear mushroom, glass noodles, carrot, sugar, shiitake, palm oil, leek, corn starch, flavour enhancer E621, sesame, salt and pepper",1.68,per 100 g,field log (label or collector OSINT),189.0,,,,,,g,,,High,,,N,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-hacao,Medium,FORM-01; FORM-23,[VN-direct],Medium,,"Spotted on shelf (Cầu Tre packaging) but price tag not legible in photo — left blank rather than guessed. Same product line priced 41,500đ at Co.opmart Nha Trang. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://cjfoods.com.vn/product/ha-cao-chay/."
P045,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Chả Giò Rế Chay (net-wrapped vegetarian spring rolls),Vissan,Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,tofu skin; soy protein,,"Rice wrapper (rice, water, tapioca starch, salt), yam bean, taro, carrot, mung bean, tofu skin, wood-ear mushroom, shiitake, soy protein, onion, sugar, iodized salt, pepper and flavour enhancer E621",,per 100 g,field log (label or collector OSINT),,,,,52000.0,,g,,,Low,,,partial,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",VIS-chagio-re,Medium,FORM-01; FORM-25; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,,"VERIFY price — reads notably higher than the same Vissan SKU at Lotte Mart Nha Trang (40,900đ, OSINT-confirmed brand there). Worth a return-visit re-read before treating this as a genuine cross-store price gap. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://vissanmart.com/cha-gio-chay-500g.html."
P046,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Chả Giò Chay (vegetarian spring rolls, standard pack)",Vissan,Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,tofu skin; soy protein,,"Rice wrapper (rice, water, tapioca starch, salt), yam bean, taro, carrot, mung bean, tofu skin, wood-ear mushroom, shiitake, soy protein, onion, sugar, iodized salt, pepper and flavour enhancer E621",4.26,per 100 g,borrowed from same product label (P116),,,,,60000.0,,g,,,Low,,,partial,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",VIS-chagio,Medium,FORM-01; FORM-25; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,Protein 4.26 from same product label (P116).,"VERIFY price — reads notably higher than the same Vissan SKU at Co.opmart Nha Trang (44,900đ). Same caveat as the net-wrapped Vissan row above. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://vissanmart.com/cha-gio-chay-500g.html."
P047,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,Chả Quế Chay (vegetarian cinnamon-scent sausage roll),brand tag not legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Sausage/cured-meat analog,frozen meat/seafood analog,ready-to-eat,A0,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,50500.0,,g,,,High,,,unknown,n/a,n/a,Not verified,Not verified,UNB-chaque-GO,Low,FORM-01,[VN-direct],Low,,"Brand tag not legible in photo, pack size unconfirmed. Compare P.G.P-brand Chả Quế Chay at Lotte Mart Nha Trang, 75,900đ/500g — if this GO! SKU is a comparable size it reads notably cheaper, but size isn't confirmed so treat as illustrative only."
P048,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Mì Chay ly (instant vegetarian noodle cup, flavor unconfirmed)",Vifon,Vifon,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Instant noodles (cup),other,dry,A0,wheat flour (instant noodle),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,11500.0,,g,,,High,,,Y,Vifon JSC,Vietnam,Not verified,Not verified,VIF-mi,Low,FORM-01,[VN-direct],Low,Instant noodle; not a protein product.,"Shelf explicitly signed ""Thực phẩm chay / Vegetarian food"" (hanging aisle sign photographed). Flavor not confirmed. Compare Vifon Mì Chay cup at Co.opmart Nha Trang, 8,700đ (likely a different flavor/size)."
P049,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Phở Chay gói (instant vegetarian pho, bag)",Nhu Ý,Nhu Ý,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Instant noodles (bag),other,dry,A0,rice (rice noodle),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,6300.0,,g,,,High,,,N,Not verified,Vietnam,Not verified,Not verified,NHUY-pho,Low,FORM-01,[VN-direct],Low,Instant rice noodle; not a protein product.,Same signed vegetarian-food aisle as the Vifon cup above. New brand not yet logged at the other two Nha Trang stores.
P050,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Phở Chay gói (instant vegetarian pho, bag)",Miliket,Miliket,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Instant noodles (bag),other,dry,A0,rice (rice noodle),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,5500.0,,g,,,High,,,N,Miliket (Colusa-Miliket),Vietnam,Not verified,Not verified,MLK-pho,Low,FORM-01,[VN-direct],Low,Instant rice noodle; not a protein product.,Same signed vegetarian-food aisle. Miliket is a long-running Vietnamese instant-noodle brand; new to this dataset.
P051,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Bò Lát Chay (dried vegetarian ""beef"" slices, soy-protein cooking ingredient)",brand not legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dried mock-meat slices,dried TVP/soy chunks,dry,A5,soy protein/TVP (inferred),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,,,g,,,High,,,Y,n/a,n/a,Not verified,Not verified,UNB-bolat,Low,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Low,Brand and label illegible; category inferred from product name.,"Dry-goods format (not frozen/refrigerated) shelved near seasonings, in the same signed vegetarian-food aisle. Price tag not legible — left blank. Worth a return visit to confirm brand and price; new format/subtype not yet in this dataset."
P052,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Gà Lát Chay (dried vegetarian ""chicken"" slices, soy-protein cooking ingredient)",brand not legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dried mock-meat slices,dried TVP/soy chunks,dry,A5,soy protein/TVP (inferred),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,,,g,,,High,,,Y,n/a,n/a,Not verified,Not verified,UNB-galat,Low,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Low,Brand and label illegible.,"Shelved next to the Bò Lát Chay SKU above, same caveats (price not legible, brand unconfirmed)."
P053,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,137 Degrees Sữa Hạnh Nhân (premium almond milk),137 Degrees,137 Degrees,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,"nuts (almond 94% milk, California almonds)",sunflower seed 5%,,"Fresh almond milk 94% (from whole California almonds), sunflower seeds 5% and organic coconut-flower nectar 1%",,per 100 ml,field log (label or collector OSINT),,,,,133500.0,,ml,,,High,,,Y,"Simple Foods Co., Ltd (believed Thailand; site does not state)",Thailand (log records Vietnam for Nha Trang rows),Not verified,Not verified,137D-almond,Medium,FORM-01; FORM-38,[VN-direct],Medium,Imported finished product (Thailand); log records local.,"Confirms 137 Degrees' actual presence and shelf price — the Co.opmart Nha Trang visit only flagged this brand as a likely explanation for an unread ""137"" tag, unconfirmed. GO!'s plant-milk aisle spans ~4 shelf bays, the largest seen across the three Nha Trang stores so far. Carton also showed a ""2+1"" promo tag nearby. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://www.simplefoods.net/almondoriginal."
P054,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,137 Degrees Sữa Yến Mạch (premium oat milk),137 Degrees,137 Degrees,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A9,oat,,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,104500.0,,ml,,,High,,,Y,"Simple Foods Co., Ltd (believed Thailand; site does not state)",Thailand (log records Vietnam for Nha Trang rows),Not verified,Not verified,137D-oat,Low,FORM-01,[VN-direct],Low,Imported (Thailand).,Same 137 Degrees shelf block as the almond-milk row above.
P055,2026-09-06,Nha Trang,GO! Nha Trang,Modern Retail,"Sữa Hạt, flavor unconfirmed (mixed-nut milk)",Vinamilk,Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,plant milk,beverage,A0,unknown (Vinamilk nut blend),,,Not found,,per 100 ml,field log (label or collector OSINT),,,,,41100.0,,ml,,,High,,,Y,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,VNM-hat-unk3,Low,FORM-01,[VN-direct],Low,,"Vinamilk's nut-milk line was on a -24% storewide promo tag at the time of the photo — price above may be the discounted figure, not the shelf/list price. Vinamilk plant milk already logged (different flavors) at Co.opmart Nha Trang."
