name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes
Enzym Group (via ShrimpVet trial),Enzym Group,feed SCP/yeast,n/a (Ukraine),Imported,unknown,Ukraine,SME,EnzActive yeast feed additive,"Saccharomyces cerevisiae (functional additive at 0.5 g/kg, not a bulk protein)",Lab trial at ShrimpVet HCMC: +42.86% survival vs control under Vibrio challenge,n/a,,unknown (checked 2026-09-23),ECO-70,VN-direct,Low,Shows VN has contract shrimp-trial labs (ShrimpVet) usable by novel feed ingredient makers.
Calysta (FeedKind),Calysta,feed SCP/yeast,n/a (USA/UK),China plant (JV),2012,USA,multinational,FeedKind methanotroph SCP,Methane-fed bacterial biomass,"No VN supply, distributor or trial found; trials with Thai Union in Thailand",n/a,calysta.com,no VN activity found (checked 2026-09-23),ECO-66,VN-adjacent,Low,Absence of evidence after limited search.
Unibio (Uniprotein),Unibio,feed SCP/yeast,n/a (Denmark),n/a,2001,Denmark,SME,Uniprotein methane-fed SCP,Methane-fed bacterial biomass,Featured in VN aquaculture press May 2025; no VN supply found,n/a,unibio.dk,no VN activity found (checked 2026-09-23),ECO-67,VN-adjacent,Low,Digestibility 81-88% by species (company claim reported in VN press).
Spirulina Vinh Hao JSC,Cong ty CP Tao Vinh Hao,microalgae,Lam Dong (former Binh Thuan),"Vinh Hao commune, Tuy Phong, Lam Dong (former Binh Thuan); grown on Vinh Hao mineral water",2008 (company); site chosen 1976; technology transfer 1979,Vietnam,SME,"Spirulina powder and tablets (Nutri, Piramin, Spivital)",Spirulina (Arthrospira) biomass,"Over 12,000 m2 ponds (company, undated); nearly 17 t/yr (2013 figure)",None found,spiviha.com,active (checked 2026-09-23),ECO-52,VN-direct,Medium,"Prior lead said 5,000 m2; company says >12,000 m2. Output figure is 13 years old."
Dai Viet Spirulina Group,Tao xoan Dai Viet,microalgae,Ha Noi,Lang Son and Thanh Hoa farms,2014 (project); main facility 2019,Vietnam,SME,"100+ spirulina products (fresh, powder, tablets, gel, liquid)",Spirulina biomass,"50,000 m2 cultivation (company); VND 150 bn investment (claimed)",Private,taoxoandaiviet.vn,active (checked 2026-09-23),ECO-54,VN-direct,Low,"Claims 'FDA certification' (Feb 2022) which is likely a registration, not approval. Output tonnage not stated."
VN Vastcom Biotechnology JSC,Cong ty CP khoa hoc cong nghe tao VN Vastcom,microalgae,Nghe An,Nghe An,2017 (VAST technology transfer),Vietnam,SME,Spirulina functional foods and feed supplements; OCOP 4-star,Spirulina biomass,"About 2 ha, about 5 t dry biomass/yr, 50+ workers (Jul 2023)",MOST-selected commercialisation project (amount not stated),,active as of 2023 (checked 2026-09-23),ECO-53,VN-direct,Medium,Article claims over 70% of spirulina products in VN are imported.
Tao Viet High-Tech Agricultural Cooperative,HTX nong nghiep cong nghe cao Tao Viet,microalgae,Ninh Binh,"Dong Son, Tam Diep, Ninh Binh",unknown,Vietnam,SME,Fresh spirulina,Spirulina biomass,"1,400 m2 (40 tanks x 10 m3) expanding to 20,000 m2 (Apr 2023); fresh algae sold >VND 1.5 m/kg",n/a,,active as of 2023 (checked 2026-09-23),ECO-55,VN-direct,Low,Revenue claims (VND 40-50 m/month per tank) look implausible; treat as promotional.
"ECOFARM High-Tech Agriculture Co., Ltd (MTE Spirulina)",Cong ty TNHH Nong nghiep Ky thuat Cong nghe cao ECOFARM,microalgae,Ho Chi Minh City,"Binh My, HCMC (former Cu Chi)",c.2017,Vietnam,SME,"Fresh spirulina (MTE Spirulina), distributed by PHATA JSC",Spirulina biomass,Not stated,n/a,mtespirulina.vn,active (checked 2026-09-23),ECO-56,VN-direct,Low,
"Institute of Biotechnology, Vietnam Academy of Science and Technology (VAST)","Vien Cong nghe Sinh hoc, VAST",other,Ha Noi,Ha Noi,n/a,Vietnam,other,Spirulina strain and cultivation technology source (to Vastcom 2017; to Vinh Hao via Institute of Biology 1970s),n/a,n/a,Public,,active (checked 2026-09-23),ECO-52; ECO-53,VN-direct,Medium,Public research source of VN spirulina know-how.
Can Tho University (duckweed feed research; lead),Dai hoc Can Tho,duckweed,Can Tho,n/a,n/a,Vietnam,other,"1990s duckweed-for-livestock research (Men et al. 1996, LRRD; prior lead)",Lemna/duckweed,Research only,Public,,not verified this wave (checked 2026-09-23),,VN-direct,Low,No commercial duckweed food or feed producer found in VN this wave.
FiBL / Binca Seafoods duckweed project (lead),FiBL - Binca Seafoods,duckweed,unknown,unknown,2019 (lead),Switzerland / Vietnam,other,Duckweed for aquafeed pilot (prior lead),Duckweed,Outcome unpublished (prior lead),unknown,,not verified this wave (checked 2026-09-23),,VN-direct,Low,Prior lead only.
"Shiok Meats (assets acquired by UMAMI Bioworks, 2024)",Shiok Meats,cultivated,n/a (Singapore),Proposed joint R&D centre in VN with Minh Phu (never evidenced),2018,Singapore,startup,Cultivated shrimp and crustacean meat,Crustacean cell lines,MOU with Minh Phu (27-28 Jul 2022) for VN R&D centre and feasibility of VN plant; Series B (~USD 18 m round) included Vinh Hoan (2021),About USD 30 m raised by 2021,,"merged into UMAMI Bioworks (stock deal, 12 Mar 2024); MOU status unknown (checked 2026-09-23)",ECO-60; ECO-61; ECO-62; ECO-63; ECO-23,VN-direct,Medium,Only cultivated project ever proposed for VN soil. No sign it proceeded.
UMAMI Bioworks,UMAMI Bioworks,cultivated,n/a (Singapore),n/a,2020,Singapore,startup,Cultivated seafood; acquired Shiok assets incl. crustacean cell-line IP,Cell lines,No VN activity found,n/a,,active; no VN activity found (checked 2026-09-23),ECO-63,VN-adjacent,Medium,"Holder of the Shiok-Minh Phu relationship, if any survives."
Minh Phu Seafood Corp,Tap doan Thuy san Minh Phu,cultivated,Ca Mau,Ca Mau (Ca Mau incl. former Bac Lieu),1992 (not verified),Vietnam,corporate,Shrimp processor and exporter; cultivated-shrimp MOU partner,n/a,VN's largest shrimp exporter (press),Listed (UPCoM: MPC),,active; cultivated MOU dormant (checked 2026-09-23),ECO-61; ECO-62,VN-direct,Medium,CEO Le Van Quang said parties 'will continue to discuss' (2022).
Avant Meats,Avant,cultivated,n/a (Hong Kong),Hong Kong Science Park,2018,Hong Kong,startup,Cultivated fish (fish maw) and cell-derived skincare,Fish cell lines,USD 3.1 m seed (Dec 2020); minority stake held by Vinh Hoan via Vinh Technology (Jan 2021),USD 3.1 m seed,,status 2026 unknown (checked 2026-09-23),ECO-58; ECO-59,VN-direct,Medium,Partnership aimed at using Vinh Hoan's manufacturing and sales network; no VN facility announced.
Vinh Hoan Corp (Vinh Technology Pte Ltd),Cong ty CP Vinh Hoan,other,Dong Thap,"Cao Lanh, Dong Thap (Dong Thap incl. former Tien Giang)",1997 (not verified),Vietnam,corporate,Pangasius exporter; corporate venture unit Vinh Technology (Singapore) for agri/food/biotech incl. alt protein,n/a (buyer of insect meal),"Stake in Avant (2021); Shiok Series B (2021); Entobel offtake >=15,000 t insect protein 2025-2027 (Feb 2024)",Listed (HOSE: VHC),vinhhoan.com,active (checked 2026-09-23),ECO-05; ECO-58; ECO-59; ECO-60,VN-direct,High,"The most active VN corporate in alternative protein, as investor and as feed buyer."
Entobel,Entobel,insect (benchmark),HCMC (former Ba Ria-Vung Tau) (main plant); HQ Singapore,"Dong Nai (1,000 t/yr, since 2019, R&D centre); Vung Tau area, HCMC (former Ba Ria-Vung Tau) (10,000 t/yr, opened 23 Nov 2023)",2014 (not verified this wave),Singapore (Belgian founders),startup (scale-up),"H-Meal (BSF larvae meal, min 53% crude protein), H-Oil (lauric-rich), H-Ferti (frass)",Black soldier fly larvae on agri-food by-products incl. HEINEKEN Vietnam brewery by-products,"Design capacity about 11,000 t/yr insect protein (1,000 + 10,000); 150 jobs (2023), >200 staff (2026); capacity 12x since 2022; 50-level vertical rearing; Indonesia expansion planned","Series B 2022: Mekong Capital USD 25 m, Dragon Capital USD 5 m; IFC USD 2.5 m (board 23 Feb 2023); project cost USD 32.5 m; company cites USD 33 m Series B",entobel.com,active (checked 2026-09-23),ECO-01; ECO-02; ECO-03; ECO-04; ECO-05; ECO-06,VN-direct,High,"Benchmark incumbent for any novel feed protein. Capacity is design capacity, not measured output."
Cricket One,Cricket One,insect (benchmark),Dong Nai (former Binh Phuoc) / HCMC office,"Loc Ninh area, Dong Nai (former Binh Phuoc): 4 company farms + about 20 satellite farms; processing plant",c.2016,Vietnam (Singapore investors),startup,"Cricket powders (defatted, full-fat, ultra-fine), whole crickets, oil, restructured cricket meat, frass",House crickets fed plant-based feed (developed with HCMC Nong Lam University),"Claims: >100 m crickets/month (2020); about 100 t fresh/month at full capacity (Feb 2023); 1,000 t/yr processing with 10,000 t/yr 5-yr target (Oct 2023); about 150 t live/month (Oct 2024); exports to EU, North America, Japan (20+ countries); HACCP, FSSC 22000","Pre-Series A 7-figure USD (Nov 2020, lead Corecam Capital, Masik Enterprises); Series A 7-figure USD (Oct 2023, Robert Alexander Stone, Cub Capital)",,active as of Oct 2024 (last evidence); 2025-26 unknown (checked 2026-09-23),ECO-07; ECO-08; ECO-09; ECO-10; ECO-11,VN-direct,Medium,"All volumes are company claims and inconsistent in unit (count, fresh t, live t)."
HEINEKEN Vietnam,HEINEKEN Viet Nam,other,Ho Chi Minh City,Breweries (not itemised),1991 in VN,Netherlands,multinational,Brewery by-products supplied to Entobel,Spent grain / brewery by-products,Volumes not disclosed,n/a,,active (checked 2026-09-23),ECO-01,VN-direct,Medium,Feedstock partner in Entobel's 'circular ecosystem'.
Nong Lam University HCMC,Dai hoc Nong Lam TP.HCM,other,Ho Chi Minh City,HCMC,n/a,Vietnam,other,Co-developed cricket feed formulas with Cricket One,n/a,n/a,Public,,active (checked 2026-09-23),ECO-10,VN-direct,Medium,
GFI APAC,The Good Food Institute Asia Pacific,other,n/a (Singapore),n/a,2019 (not verified),Singapore/USA (NGO),other,"Regional alt-protein NGO; VN included in 6-country SE Asia consumer survey (about 6,000 respondents)",n/a,GFI ecosystem database lists 2 VN companies (both plant-based); 2023 SOTIR notes GNPD logged no VN plant-based meat launches (2022-Q2 2023),NGO,gfi-apac.org,active; no VN-specific programme found (checked 2026-09-23),ECO-22; ECO-23; ECO-24; ECO-73,VN-direct,High,VN is peripheral in GFI APAC's published work.
VinaCapital Ventures,VinaCapital Ventures,other,Ho Chi Minh City,n/a,2019 (not verified),Vietnam,other,VC arm of VinaCapital; invested in INNOHAS (Korea) Jul 2024,n/a,n/a,n/a,,active (checked 2026-09-23),ECO-65,VN-direct,Medium,Only VN VC alt-protein deal found.
Mekong Capital,Mekong Capital,other,Ho Chi Minh City,n/a,2001,Vietnam,other,Mekong Enterprise Fund IV invested USD 25 m in Entobel (2022),n/a,n/a,n/a,mekongcapital.com,active (checked 2026-09-23),ECO-02; ECO-03,VN-direct,High,
Dragon Capital,Dragon Capital,other,Ho Chi Minh City,n/a,1994,Vietnam/UK,other,USD 5 m in Entobel (2022),n/a,n/a,n/a,,active (checked 2026-09-23),ECO-03,VN-direct,High,
IFC (World Bank Group),IFC,other,n/a,n/a,1956,Multilateral,other,"USD 2.5 m to Entobel (project IFC-46903, board 23 Feb 2023)",n/a,n/a,n/a,ifc.org,active (checked 2026-09-23),ECO-03,VN-direct,High,Only DFI alt-protein investment in VN found.
ADB #SheExports / We-Fi / WISE,ADB SheExports,other,n/a,n/a,n/a,Multilateral / Vietnam NGO (WISE),other,Export accelerator for women-led SMEs; Emmay a 2023 participant,n/a,n/a,Grant-funded programme,we-fi.org,active (checked 2026-09-23),ECO-13,VN-direct,Medium,"Generic SME support, not alt-protein specific."
